A0471	艱難梭菌引起的小腸結腸炎，復發性
C8396	非濾泡性（瀰漫性）淋巴瘤，未特指的盆腔內淋巴結
C8397	非濾泡性（瀰漫性）淋巴瘤，未明確，脾臟
C8398	非濾泡性（瀰漫性）淋巴瘤，未明確，多部位淋巴結
C8399	非濾泡性（瀰漫性）淋巴瘤，未明確的結外和實體器官部位
C841	塞扎里病
C8410	Sézary 病，未指定部位
C8411	Sézary 病，頭部、面部和頸部淋巴結
C8412	Sézary 病，胸內淋巴結
C8413	Sézary 病，腹內淋巴結
C8414	Sézary 病，腋窩和上肢淋巴結
C8415	Sézary 病，腹股溝區和下肢淋巴結
C8416	Sézary 病，盆腔內淋巴結
C8417	Sézary 病，脾臟
C8418	Sézary 病，多部位淋巴結
C8419	Sézary 病，結外和實體器官部位
C8442	外周 T 細胞淋巴瘤，未分類，胸內淋巴結
C84A	皮膚 T 細胞淋巴瘤，未明確
C84A0	皮膚 T 細胞淋巴瘤，未指定，未指定部位
C84A1	皮膚 T 細胞淋巴瘤，未特指的頭部、面部和頸部淋巴結
C84A2	皮膚 T 細胞淋巴瘤，未明確，胸內淋巴結
C84A3	皮膚 T 細胞淋巴瘤，未明確，腹內淋巴結
C84A4	皮膚 T 細胞淋巴瘤，未明確，腋窩和上肢淋巴結
C84A5	皮膚 T 細胞淋巴瘤，未明確，腹股溝區和下肢淋巴結
C84A6	皮膚 T 細胞淋巴瘤，未明確，盆腔內淋巴結
C84A7	皮膚 T 細胞淋巴瘤，未明確，脾臟
C84A8	皮膚 T 細胞淋巴瘤，未明確，多部位淋巴結
C84A9	皮膚 T 細胞淋巴瘤，未明確的結外和實體器官部位
C84Z	其他成熟 T/NK 細胞淋巴瘤
C84Z0	其他未明確部位的成熟 T/NK 細胞淋巴瘤
C84Z1	其他成熟的 T/NK 細胞淋巴瘤，頭部、面部和頸部淋巴結
C84Z2	其他成熟 T/NK 細胞淋巴瘤、胸內淋巴結
C84Z3	其他成熟 T/NK 細胞淋巴瘤、腹內淋巴結
C84Z4	其他成熟 T/NK 細胞淋巴瘤、腋窩和上肢淋巴結
C84Z5	其他成熟 T/NK 細胞淋巴瘤、腹股溝區和下肢淋巴結
C84Z6	其他成熟 T/NK 細胞淋巴瘤、盆腔內淋巴結
C84Z7	其他成熟 T/NK 細胞淋巴瘤，脾臟
C84Z8	其他成熟 T/NK 細胞淋巴瘤、多部位淋巴結
C84Z9	其他成熟 T/NK 細胞淋巴瘤、結外和實體器官部位
C85	其他指定和未指定類型的非霍奇金淋巴瘤
C880	華氏巨球蛋白血症
C882	重鏈病
C901	漿細胞白血病
C910	急性淋巴細胞白血病 [ALL]
C914	毛細胞白血病
C916	T細胞型幼淋巴細胞白血病
C91A	成熟 B 細胞白血病 Burkitt 型
C91A0	未達到緩解的成熟 B 細胞白血病 Burkitt 型
C91A1	成熟 B 細胞白血病 Burkitt 型，緩解期
C91A2	成熟 B 細胞白血病 Burkitt 型，復發
C91Z	其他淋巴白血病
C91Z0	其他未達到緩解的淋巴細胞白血病
C91Z1	其他淋巴細胞白血病，緩解期
C91Z2	其他淋巴樣白血病，復發
C92A	急性髓系白血病伴多係發育不良
C92A0	急性髓系白血病伴多係發育不良，未達到緩解
C92A1	急性髓系白血病伴多係發育不良，緩解期
C92A2	急性髓系白血病伴多係發育不良，復發
C92Z	其他髓系白血病
C92Z0	其他未達到緩解的髓系白血病
C92Z1	其他髓系白血病，緩解期
C92Z2	其他髓系白血病，復發
C93Z	其他單核細胞白血病
C93Z0	未達到緩解的其他單核細胞白血病
C93Z1	其他單核細胞白血病，緩解期
C93Z2	其他單核細胞白血病，復發
C940	急性紅系白血病
C9400	急性紅系白血病，未達到緩解
C9401	急性紅系白血病，緩解期
C9402	急性紅系白血病，復發
C951	不明細胞類型的慢性白血病
C960	多灶性和多系統（播散性）朗格漢斯細胞組織細胞增生症
C962	惡性肥大細胞腫瘤
C9620	未明確的惡性肥大細胞腫瘤
C9621	侵襲性系統性肥大細胞增多症
C9622	肥大細胞肉瘤
C9629	其他惡性肥大細胞腫瘤
C96A	組織細胞肉瘤
C96Z	淋巴、造血和相關組織的其他特定惡性腫瘤
D01	其他和未特指消化器官的原位癌
D0220	未特指的支氣管和肺原位癌
D0310	未特指的眼瞼原位黑色素瘤，包括眼角
D03111	右上眼瞼原位黑色素瘤，包括眼角
D03112	右下眼瞼原位黑色素瘤，包括眼角
D03121	左上眼瞼原位黑色素瘤，包括眼角
D03122	左下眼瞼原位黑色素瘤，包括眼角
D0320	未特指的耳和外耳道原位黑色素瘤
D0360	未指明的上肢原位黑色素瘤，包括肩部
D0370	未特指的下肢原位黑色素瘤，包括髖部
D0410	未特指的眼瞼皮膚原位癌，包括眼角
D04111	右上眼瞼皮膚原位癌，包括眼角
D04112	右下眼瞼皮膚原位癌，包括眼角
D04121	左上眼瞼皮膚原位癌，包括眼角
D04122	左下眼瞼皮膚原位癌，包括眼角
D0420	未特指的耳朵和外耳道皮膚原位癌
D0460	未特指的上肢皮膚原位癌，包括肩部
D0470	未特指的下肢皮膚原位癌，包括髖部
D0500	未特指乳腺原位小葉癌
D0510	未特指乳腺導管內原位癌
D058	其他特定類型的乳腺原位癌
D0580	其他指定類型的未指定乳腺原位癌
D0581	其他特定類型的右乳房原位癌
D0582	其他特定類型的左乳房原位癌
D059	未指明類型的乳腺原位癌
D0590	未指定乳腺原位癌的未指定類型
