E083211	由潛在疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E133312	其他特定糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E133313	其他特定糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E133319	其他特定糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E133391	其他特定糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E133392	其他特定糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E133393	其他特定的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E133399	其他特指的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，未特指的眼睛
E133411	其他特定糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E133412	其他特定糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E133413	其他特定糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E133419	其他特定的糖尿病伴有嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫，未明確的眼睛
E133491	其他特指的糖尿病伴嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E133492	其他特指的糖尿病伴嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E133493	其他特指的糖尿病伴嚴重的非增殖性糖尿病視網膜病變，雙側無黃斑水腫
E133499	其他特指的糖尿病伴嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，未特指的眼睛
E133511	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E133512	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E133513	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E133519	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，未特指的眼睛
E133521	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑、右眼
E133522	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及左眼黃斑
E133523	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，雙側
E133529	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，未特指的眼睛
E133531	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及右眼黃斑
E133532	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離不累及左眼黃斑
E133533	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及黃斑，雙側
E133539	其他特指的糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離不累及黃斑，未特指的眼睛
E133541	其他特指的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，右眼
E133542	其他特指的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，左眼
E133543	其他特指的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，雙側
E133549	其他特指的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，未特指的眼睛
E133551	其他特定糖尿病伴穩定增殖性糖尿病視網膜病變，右眼
E133552	其他特定糖尿病伴穩定增殖性糖尿病視網膜病變，左眼
E133553	具有穩定增殖性糖尿病視網膜病變的其他特定糖尿病，雙側
E133559	其他特指的糖尿病伴穩定增殖性糖尿病視網膜病變，未特指的眼睛
E133591	其他特指的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E133592	其他特指的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E133593	其他特指的糖尿病伴增殖性糖尿病視網膜病變，雙側無黃斑水腫
E133599	其他特指的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，未特指的眼睛
E1337X1	其他特定糖尿病伴糖尿病性黃斑水腫，治療後痊癒，右眼
E1337X2	其他特定糖尿病伴糖尿病性黃斑水腫，治療後痊癒，左眼
E1337X3	其他特定糖尿病伴糖尿病性黃斑水腫，治療後痊癒，雙側
E1337X9	其他特定的糖尿病合併糖尿病性黃斑水腫，治療後痊癒，未指明的眼睛
H348110	視網膜中央靜脈阻塞，右眼，黃斑水腫
H348111	視網膜中央靜脈阻塞，右眼，視網膜新生血管形成
H348112	視網膜中央靜脈阻塞，右眼，穩定
H348120	視網膜中央靜脈阻塞，左眼，黃斑水腫
H348121	視網膜中央靜脈阻塞，左眼，視網膜新生血管形成
H348122	視網膜中央靜脈阻塞，左眼，穩定
H348130	視網膜中央靜脈阻塞，雙側，黃斑水腫
H348131	雙側視網膜中央靜脈阻塞，伴有視網膜新生血管
H348132	視網膜中央靜脈阻塞，雙側，穩定
H348190	視網膜中央靜脈阻塞，不明眼，黃斑水腫
H348191	視網膜中央靜脈阻塞，不明眼，視網膜新生血管形成
H348192	視網膜中央靜脈阻塞，不明眼，穩定
H348310	支（支）視網膜靜脈阻塞，右眼，黃斑水腫
H348311	支流（分支）視網膜靜脈阻塞，右眼，視網膜新生血管形成
H348312	支（支）視網膜靜脈阻塞，右眼，穩定
H348320	支（支）視網膜靜脈阻塞，左眼，黃斑水腫
H348321	支路（分支）視網膜靜脈阻塞，左眼，視網膜新生血管形成
H348322	支（支）視網膜靜脈阻塞，左眼，穩定
H348330	支流（分支）視網膜靜脈阻塞，雙側，伴有黃斑水腫
H348331	雙側支路（分支）視網膜靜脈阻塞，伴有視網膜新生血管
