V00	Pedestrian conveyance accident
    V00132A	Skateboarder colliding with stationary object, initial encounter
	玩滑板者與靜止物體碰撞之初期照護
    V00132D	Skateboarder colliding with stationary object, subsequent encounter
	玩滑板者與靜止物體碰撞之後續照護
    V00132S	Skateboarder colliding with stationary object, sequela
	玩滑板者與靜止物體碰撞之後遺症
   V00138	Other skateboard accident
	其他滑板意外事故
    V00138A	Other skateboard accident, initial encounter
	其他滑板意外事故之初期照護
    V00138D	Other skateboard accident, subsequent encounter
	其他滑板意外事故之後續照護
    V00138S	Other skateboard accident, sequela
	其他滑板意外事故之後遺症
  V0014	Scooter (nonmotorized) accidnet
	踏板車（非機動車）之意外事故
   V00141	Fall from scooter (nonmotorized)
	從踏板車（非機動車）上跌落
    V00141A	Fall from scooter (nonmotorized), initial encounter
	從踏板車（非機動車）上跌落之初期照護
    V00141D	Fall from scooter (nonmotorized), subsequent encounter
	從踏板車（非機動車）上跌落之後續照護
    V00141S	Fall from scooter (nonmotorized), sequela
	從踏板車（非機動車）上跌落之後遺症
   V00142	Scooter (nonmotorized) colliding with stationary object
	踏板車（非機動車）與靜止物體碰撞
    V00142A	Scooter (nonmotorized) colliding with stationary object, initial encounter
	踏板車（非機動車）與靜止物體碰撞之初期照護
    V00142D	Scooter (nonmotorized) colliding with stationary object, subsequent encounter
	踏板車（非機動車）與靜止物體碰撞碰撞之後續照護
    V00142S	Scooter (nonmotorized) colliding with stationary object, sequela
	踏板車（非機動車）與靜止物體碰撞之後遺症
   V00148	Other scooter (nonmotorized) accident
	其他踏板車（非機動車）意外事故
    V00148A	Other scooter (nonmotorized) accident, initial encounter
	其他踏板車（非機動車）意外事故之初期照護
    V00148D	Other scooter (nonmotorized) accident, subsequent encounter
	其他踏板車（非機動車）意外事故之後續照護
    V00148S	Other scooter (nonmotorized) accident, sequela
	其他踏板車（非機動車）意外事故之後遺症
  V0015	Heelies accidnet
	暴走鞋之意外事故
   V00151	Fall from heelies
	從暴走鞋上跌落
    V00151A	Fall from heelies, initial encounter
	從暴走鞋上跌落之初期照護
    V00151D	Fall from heelies, subsequent encounter
	從 暴走鞋上跌落之後續照護
    V00151S	Fall from heelies, sequela
	從 暴走鞋上跌落之後遺症
   V00152	Heelies colliding with stationary object
	暴走鞋與靜止物體碰撞
    V00152A	Heelies colliding with stationary object, initial encounter
	暴走鞋與靜止物體碰撞之初期照護
    V00152D	Heelies colliding with stationary object, subsequent encounter
	暴走鞋與靜止物體碰撞之後續照護
    V00152S	Heelies colliding with stationary object, sequela
	暴走鞋最初遭遇之後遺症
   V00158	Other heelies accident
	其他暴走鞋意外事故
    V00158A	Other heelies accident, initial encounter
	其他暴走鞋意外事故之初期照護
    V00158D	Other heelies accident, subsequent encounter
	其他暴走鞋意外事故之後續照護
    V00158S	Other heelies accident, sequela
	其他暴走鞋意外事故之後遺症
  V0018	Aaccidnet on other rolling-type pedestrian conveyance
	其他滾動式行人運輸工具之意外事故
   V00181	Fall from other rolling-type pedestrian conveyance
	從其他滾動式行人運輸工具上跌落
    V00181A	Fall from other rolling-type pedestrian conveyance, initial encounter
	從其他滾動式行人運輸工具上跌落之初期照護
    V00181D	Fall from other rolling-type pedestrian conveyance, subsequent encounter
	從其他滾動式行人運輸工具上跌落之後續照護
    V00181S	Fall from other rolling-type pedestrian conveyance, sequela
	從其他滾動式行人運輸工具上跌落之後遺症
   V00182	Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object
	行人在其他滾動式行人運輸工具上與靜止物體碰撞
    V00182A	Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, initial encounter
	行人在其他滾動式行人運輸工具上與靜止物體碰撞之初期照護
    V00182D	Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, subsequent encounter
	行人在其他滾動式行人運輸工具上與靜止物體碰撞之後續照護
    V00182S	Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, sequela
	行人在其他滾動式行人運輸工具上與靜止物體碰撞之後遺症
   V00188	Other accident on other rolling-type pedestrian conveyance
	其他滾動式行人運輸工具所致之其他意外事故
    V00188A	Other accident on other rolling-type pedestrian conveyance, initial encounter
	其他滾動式行人運輸工具所致之其他意外事故之初期照護
    V00188D	Other accident on other rolling-type pedestrian conveyance, subsequent encounter
	其他滾動式行人運輸工具所致之其他意外事故之後續照護
    V00188S	Other accident on other rolling-type pedestrian conveyance, sequela
	其他滾動式行人運輸工具所致之其他意外事故之後遺症
 V002	Gliding-type pedestrian conveyance accident
	滑動式行人運輸工具之意外事故
  V0021	Ice-skates accident
	溜冰鞋之意外事故
   V00211	Fall from ice-skates
	從溜冰鞋上跌倒
    V00211A	Fall from ice-skates, initial encounter
	從溜冰鞋上跌倒之初期照護
    V00211D	Fall from ice-skates, subsequent encounter
	從溜冰鞋上跌倒之後續照護
    V00211S	Fall from ice-skates, sequela
	從溜冰鞋上跌倒之後遺症
   V00212	Ice-skater colliding with stationary object
	溜冰者與靜止物體碰撞
    V00212A	Ice-skater colliding with stationary object, initial encounter
	溜冰者與靜止物體碰撞之初期照護
    V00212D	Ice-skater colliding with stationary object, subsequent encounter
	溜冰者與靜止物體碰撞之後續照護
    V00212S	Ice-skater colliding with stationary object, sequela
	溜冰者與靜止物體碰撞之後遺症
   V00218	Other ice-skates accident
	其他溜冰意外事故
    V00218A	Other ice-skates accident, initial encounter
	其他溜冰意外事故之初期照護
    V00218D	Other ice-skates accident, subsequent encounter
	其他溜冰意外事故之後續照護
    V00218S	Other ice-skates accident, sequela
	其他溜冰意外事故之後遺症
  V0022	Sled accident
	雪橇之意外事故
   V00221	Fall from sled
	從雪橇上跌落
    V00221A	Fall from sled, initial encounter
	從雪橇上跌落之初期照護 
    V00221D	Fall from sled, subsequent encounter
	從雪橇上跌落之後續照護 
    V00221S	Fall from sled, sequela
	從雪橇上跌落之後遺症
   V00222	Sledder colliding with stationary object
	雪橇駕駛與靜止物體碰撞
    V00222A	Sledder colliding with stationary object, initial encounter
	雪橇駕駛與靜止物體碰撞之初期照護
    V00222D	Sledder colliding with stationary object, subsequent encounter
	雪橇駕駛與靜止物體碰撞之後續照護
    V00222S	Sledder colliding with stationary object, sequela
	雪橇駕駛與靜止物體碰撞之後遺症
   V00228	Other sled accident
	其他雪橇意外事故
    V00228A	Other sled accident, initial encounter
	其他雪橇意外事故之初期照護
    V00228D	Other sled accident, subsequent encounter
	其他雪橇意外事故之後續照護
    V00228S	Other sled accident, sequela
	其他雪橇意外事故之後遺症
  V0028	Other gliding-type pedestrian conveyance accident
	其他滑動式行人運輸工具之意外事故
   V00281	Fall from other gliding-type pedestrian conveyance
	從其他滑動式行人運輸工具上跌落
    V00281A	Fall from other gliding-type pedestrian conveyance, initial encounter
	從其他滑動式行人運輸工具上跌落之初期照護
    V00281D	Fall from other gliding-type pedestrian conveyance, subsequent encounter
	從其他滑動式行人運輸工具上跌落之後續照護
    V00281S	Fall from other gliding-type pedestrian conveyance, sequela
	從其他滑動式行人運輸工具上跌落之後遺症
   V00282	Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object
	行人在其他滑動式行人運輸工具上與靜止物體碰撞
    V00282A	Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, initial encounter
	行人在其他滑動式行人運輸工具上與靜止物體碰撞之初期照護
    V00282D	Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, subsequent encounter
	行人在其他滑動式行人運輸工具上與靜止物體碰撞之後續照護
    V00282S	Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, sequela
	行人在其他滑動式行人運輸工具上與靜止物體碰撞之後遺症
   V00288	Other accident on other gliding-type pedestrian conveyance
	其他滑動式行人運輸工具上之其他意外事故
    V00288A	Other accident on other gliding-type pedestrian conveyance, initial encounter
	其他滑動式行人運輸工具上之其他意外事故之初期照護
    V00288D	Other accident on other gliding-type pedestrian conveyance, subsequent encounter
	其他滑動式行人運輸工具上之其他意外事故之後續照護
    V00288S	Other accident on other gliding-type pedestrian conveyance, sequela
	其他滑動式行人運輸工具上之其他意外事故之後遺症
 V003	Flat-bottomed pedestrian conveyance accident
	平底的行人運輸工具之意外事故
  V0031	Snowboard accident
	滑雪板之意外事故
   V00311	Fall from snowboard
	從滑雪板上跌落
    V00311A	Fall from snowboard, initial encounter
	從滑雪板上跌落之初期照護 
    V00311D	Fall from snowboard, subsequent encounter
	從滑雪板上跌落之後續照護 
    V00311S	Fall from snowboard, sequela
	從滑雪板上跌落之後遺症
   V00312	Snowboarder colliding with stationary object
	滑雪者與靜止物體碰撞
    V00312A	Snowboarder colliding with stationary object, initial encounter
	滑雪者與靜止物體碰撞之初期照護
    V00312D	Snowboarder colliding with stationary object, subsequent encounter
	滑雪者與靜止物體碰撞之後續照護
    V00312S	Snowboarder colliding with stationary object, sequela
	滑雪者與靜止物體碰撞之後遺症
   V00318	Other snowboard accident
	其他滑雪板意外事故
    V00318A	Other snowboard accident, initial encounter
	其他滑雪板意外事故之初期照護
    V00318D	Other snowboard accident, subsequent encounter
	其他滑雪板意外事故之後續照護
    V00318S	Other snowboard accident, sequela
	其他滑雪板意外事故之後遺症
  V0032	Snow-skis accident
	滑雪屐之意外事故
   V00321	Fall from snow-skis
	從滑雪屐上跌落
    V00321A	Fall from snow-skis, initial encounter
	從滑雪屐上跌落之初期照護 
    V00321D	Fall from snow-skis, subsequent encounter
	從滑雪屐上跌落之後續照護
    V00321S	Fall from snow-skis, sequela
	從滑雪屐上跌落之後遺症 
   V00322	Snow-skier colliding with stationary object
	滑雪者與靜止物體碰撞
    V00322A	Snow-skier colliding with stationary object, initial encounter
	滑雪者與靜止物體碰撞之初期照護
    V00322D	Snow-skier colliding with stationary object, subsequent encounter
	滑雪者與靜止物體碰撞之後續照護
    V00322S	Snow-skier colliding with stationary object, sequela
	滑雪者與靜止物體碰撞之後遺症 
   V00328	Other snow-ski accident
	其他滑雪意外事故
    V00328A	Other snow-ski accident, initial encounter
	其他滑雪意外事故之初期照護
    V00328D	Other snow-ski accident, subsequent encounter
	其他滑雪意外事故之後續照護
    V00328S	Other snow-ski accident, sequela
	其他滑雪意外事故之後遺症
  V0038	Other flat-bottomed pedestrian conveyance accident
	其他平底的行人運輸工具之意外事故
   V00381	Fall from other flat-bottomed pedestrian conveyance
	從其他平底的行人運輸工具上跌落
    V00381A	Fall from other flat-bottomed pedestrian conveyance, initial encounter
	從其他平底的行人運輸工具上跌落之初期照護
    V00381D	Fall from other flat-bottomed pedestrian conveyance, subsequent encounter
	從其他平底的行人運輸工具上跌落之後續照護
    V00381S	Fall from other flat-bottomed pedestrian conveyance, sequela
	從其他平底的行人運輸工具上跌落之後遺症
   V00382	Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object
	行人在其他平底的行人運輸工具上與靜止物體碰撞
    V00382A	Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, initial encounter
	行人在其他平底的行人運輸工具上與靜止物體碰撞之初期照護
    V00382D	Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, subsequent encounter
	行人在其他平底的行人運輸工具上與靜止物體碰撞之後續照護
    V00382S	Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, sequela
	行人在其他平底的行人運輸工具上與靜止物體碰撞之後遺症
   V00388	Other accident on other flat-bottomed pedestrian conveyance
	其他平底的行人運輸工具之其他意外事故
    V00388A	Other accident on other flat-bottomed pedestrian conveyance, initial encounter
	其他平底的行人運輸工具之其他意外事故之初期照護
    V00388D	Other accident on other flat-bottomed pedestrian conveyance, subsequent encounter
	其他平底的行人運輸工具之其他意外事故之後續照護
    V00388S	Other accident on other flat-bottomed pedestrian conveyance, sequela
	其他平底的行人運輸工具之其他意外事故之後遺症
 V008	Accident on other pedestrian conveyance
	其他行人運輸工具之意外事故
  V0081	Accident with wheelchair (powered)
	移動中的輪椅上（電動）之意外事故
   V00811	Fall from moving wheelchair (powered)
	從移動中的輪椅上跌落（電動）
    V00811A	Fall from moving wheelchair (powered), initial encounter
	從移動中的輪椅上跌落（電動）之初期照護
    V00811D	Fall from moving wheelchair (powered), subsequent encounter
	從移動中的輪椅上跌落（電動）之後續照護
    V00811S	Fall from moving wheelchair (powered), sequela
	從移動中的輪椅上跌落（電動）之後遺症
   V00812	Wheelchair (powered) colliding with stationary object
	輪椅（電動）與靜止物體碰撞
    V00812A	Wheelchair (powered) colliding with stationary object, initial encounter
	輪椅（電動）與靜止物體碰撞之初期照護
    V00812D	Wheelchair (powered) colliding with stationary object, subsequent encounter
	輪椅（電動）與靜止物體碰撞之後續照護
    V00812S	Wheelchair (powered) colliding with stationary object, sequela
	輪椅（電動）與靜止物體碰撞之後遺症
   V00818	Other accident with wheelchair (powered)
	其他輪椅（電動）意外事故
    V00818A	Other accident with wheelchair (powered), initial encounter
	其他輪椅（電動）意外事故之初期照護
    V00818A	Other accident with wheelchair (powered), initial encounter
	其他輪椅（電動）意外事故之初期照護
    V00818D	Other accident with wheelchair (powered), subsequent encounter
	其他輪椅（電動）意外事故之後續照護
    V00818S	Other accident with wheelchair (powered), sequela
	其他輪椅（電動）意外事故之後遺症
  V0082	Accident with babystroller
	摺疊式嬰兒車之意外事故
   V00821	Fall from babystroller
	從摺疊式嬰兒車上跌落
    V00821A	Fall from babystroller, initial encounter
	從摺疊式嬰兒車上跌落之初期照護
    V00821D	Fall from babystroller, subsequent encounter
	從摺疊式嬰兒車上跌落之後續照護
    V00821S	Fall from babystroller, sequela
	從摺疊式嬰兒車上跌落之後遺症
   V00822	Babystroller colliding with stationary object
	摺疊式嬰兒車與靜止物體碰撞
    V00822A	Babystroller colliding with stationary object, initial encounter
	摺疊式嬰兒車與靜止物體碰撞之初期照護
    V00822D	Babystroller colliding with stationary object, subsequent encounter
	摺疊式嬰兒車與靜止物體碰撞之後續照護
    V00822S	Babystroller colliding with stationary object, sequela
	摺疊式嬰兒車與靜止物體碰撞之後遺症
   V00828	Other accident with babystroller
	摺疊式嬰兒車之其他意外事故
    V00828A	Other accident with babystroller, initial encounter
	摺疊式嬰兒車之其他意外事故之初期照護
    V00828D	Other accident with babystroller, subsequent encounter
	摺疊式嬰兒車之其他意外事故之後續照護
    V00828S	Other accident with babystroller, sequela
	摺疊式嬰兒車之其他意外事故之後遺症
  V0089	Accident on other pedestrian conveyance
	其他行人運輸工具之意外事故
   V00891	Fall from other pedestrian conveyance
	從其他行人運輸工具上跌落
    V00891A	Fall from other pedestrian conveyance, initial encounter
	從其他行人運輸工具上跌落之初期照護
    V00891D	Fall from other pedestrian conveyance, subsequent encounter
	從其他行人運輸工具上跌落之後續照護
    V00891S	Fall from other pedestrian conveyance, sequela
	從其他行人運輸工具上跌落之後遺症
   V00892	Pedestrian on other pedestrian conveyance colliding with stationary object
	行人在其他行人運輸工具上與靜止物體碰撞
    V00892A	Pedestrian on other pedestrian conveyance colliding with stationary object, initial encounter
	行人在其他行人運輸工具上與靜止物體碰撞之初期照護
    V00892D	Pedestrian on other pedestrian conveyance colliding with stationary object, subsequent encounter
	行人在其他行人運輸工具上與靜止物體碰撞之後續照護
    V00892S	Pedestrian on other pedestrian conveyance colliding with stationary object, sequela
	行人在其他行人運輸工具上與靜止物體碰撞之後遺症
   V00898	Other accident on other pedestrian conveyance
	在其他行人運輸工具上之其他意外事故
    V00898A	Other accident on other pedestrian conveyance, initial encounter
	在其他行人運輸工具上之其他意外事故之初期照護
    V00898D	Other accident on other pedestrian conveyance, subsequent encounter
	在其他行人運輸工具上之其他意外事故之後續照護
    V00898S	Other accident on other pedestrian conveyance, sequela
	在其他行人運輸工具上之其他意外事故之後遺症
V01	Pedestrian injured in collision with pedal cycle
	行人與腳踏車碰撞受傷
 V010	Pedestrian injured in collision with pedal cycle in nontraffic accident
	行人在非交通意外事故中與腳踏車碰撞受傷
  V0100	Pedestrian on foot injured in collision with pedal cycle in nontraffic accident
	行人步行時，在非交通意外事故中與腳踏車碰撞受傷
    V0100xA	Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, initial encounter
	行人步行時，在非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0100xD	Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, subsequent encounter
	行人步行時，在非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0100xS	Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, sequela
	行人步行時，在非交通意外事故中與腳踏車碰撞受傷之後遺症
  V0101	Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident
	行人溜直排輪時，在非交通意外事故中與腳踏車碰撞受傷
    V0101xA	Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, initial encounter
	行人溜直排輪時，在非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0101xD	Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, subsequent encounter
	行人溜直排輪時，在非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0101xS	Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, sequela
	行人溜直排輪時，在非交通意外事故中與腳踏車碰撞受傷之後遺症
  V0102	Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident
	行人溜滑板時，在非交通意外事故中與腳踏車碰撞受傷
    V0102xA	Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, initial encounter
	行人溜滑板時，在非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0102xD	Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, subsequent encounter
	行人溜滑板時，在非交通意外事故中與腳踏車碰撞受傷之之後續照護
    V0102xS	Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, sequela
	行人溜滑板時，在非交通意外事故中與腳踏車碰撞受傷之後遺症
  V0109	Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident
	行人搭乘其他運輸工具時，在非交通意外事故中與腳踏車碰撞受傷
    V0109xA	Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, initial encounter
	行人搭乘其他運輸工具時，在非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0109xD	Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0109xS	Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, sequela
	行人搭乘其他運輸工具時，在非交通意外事故中與腳踏車碰撞受傷之後遺症
 V011	Pedestrian injured in collision with pedal cycle in traffic accident
	行人與腳踏車碰撞受傷
  V0110	Pedestrian on foot injured in collision with pedal cycle in traffic accident
	行人在交通意外事故中與腳踏車碰撞受傷
    V0110xA	Pedestrian on foot injured in collision with pedal cycle in traffic accident, initial encounter
	行人在交通意外事故中與腳踏車碰撞受傷之初期照護
    V0110xD	Pedestrian on foot injured in collision with pedal cycle in traffic accident, subsequent encounter
	行人在交通意外事故中與腳踏車碰撞受傷之後續照護
    V0110xS	Pedestrian on foot injured in collision with pedal cycle in traffic accident, sequela
	行人在交通意外事故中與腳踏車碰撞受傷之後遺症
  V0111	Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident
	行人溜直排輪時，在交通意外事故中與腳踏車碰撞受傷
    V0111xA	Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, initial encounter
	行人溜直排輪時，在交通意外事故中與腳踏車碰撞受傷之初期照護
    V0111xD	Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, subsequent encounter
	行人溜直排輪時，在交通意外事故中與腳踏車碰撞受傷之後續照護
    V0111xS	Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, sequela
	行人溜直排輪時，在交通意外事故中與腳踏車碰撞受傷之後遺症
  V0112	Pedestrian on skateboard injured in collision with pedal cycle in traffic accident
	行人溜滑板時，在交通意外事故中與腳踏車碰撞受傷
    V0112xA	Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, initial encounter
	行人溜滑板時，在交通意外事故中與腳踏車碰撞受傷之初期照護
    V0112xD	Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, subsequent encounter
	行人溜滑板時，在交通意外事故中與腳踏車碰撞受傷之後續照護
    V0112xS	Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, sequela
	行人溜滑板時，在交通意外事故中與腳踏車碰撞受傷之後遺症
  V0119	Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident
	行人搭乘其他運輸工具時，在交通意外事故中與腳踏車碰撞受傷
    V0119xA	Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, initial encounter
	行人搭乘其他運輸工具時，在交通意外事故中與腳踏車碰撞受傷之初期照護
    V0119xD	Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在交通意外事故中與腳踏車碰撞受傷之後續照護
    V0119xS	Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, sequela
	行人搭乘其他運輸工具時，在交通意外事故中與腳踏車碰撞受傷之後遺症
 V019	Pedestrian injured in collision with pedal cycle unspecified whether traffic or nontraffic accident
	行人在交通或非交通意外事故中與腳踏車碰撞受傷
  V0190	Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident
	行人步行時，在交通或非交通意外事故中與腳踏車碰撞受傷
    V0190xA	Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter
	行人步行時，在交通或非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0190xD	Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人步行時，在交通或非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0190xS	Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela
	行人步行時，在交通或非交通意外事故中與腳踏車碰撞受傷之後遺症
  V0191	Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident
	行人溜直排輪時，在交通或非交通意外事故中與腳踏車碰撞受傷
    V0191xA	Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜直排輪時，在交通或非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0191xD	Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人溜直排輪時，在交通或非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0191xS	Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela
	行人溜直排輪時，在交通或非交通意外事故中與腳踏車碰撞受傷之後遺症
  V0192	Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident
	行人溜滑板時，在交通或非交通意外事故中與腳踏車碰撞受傷
    V0192xA	Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜滑板時，在交通或非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0192xD	Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人溜滑板時，在未特定是否為交通或非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0192xS	Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela
