O00	Ectopic pregnancy
  O0900	Supervision of pregnancy with history of infertility, unspecified trimester
	具有不孕病史之妊娠監測，未特定妊娠期
  O0901	Supervision of pregnancy with history of infertility, first trimester
	具有不孕病史之妊娠監測，妊娠第一期
  O0902	Supervision of pregnancy with history of infertility, second trimester
	具有不孕病史之妊娠監測，妊娠第二期
  O0903	Supervision of pregnancy with history of infertility, third trimester
	具有不孕病史之妊娠監測，妊娠第三期
 O091	Supervision of pregnancy with history of ectopic or molar pregnancy
	具有子宮外孕及葡萄胎病史之妊娠監測
  O0910	Supervision of pregnancy with history of ectopic or molar pregnancy, unspecified trimester
	具有子宮外孕及葡萄胎病史之妊娠監測，未特定妊娠期
  O0911	Supervision of pregnancy with history of ectopic or molar pregnancy, first trimester
	具有子宮外孕及葡萄胎病史之妊娠監測，妊娠第一期
  O0912	Supervision of pregnancy with history of ectopic or molar pregnancy, second trimester
	具有子宮外孕及葡萄胎病史之妊娠監測，妊娠第二期
  O0913	Supervision of pregnancy with history of ectopic or molar pregnancy, third trimester
	具有子宮外孕及葡萄胎病史之妊娠監測，妊娠第三期
 O092	Supervision of pregnancy with other poor reproductive or obstetric history
	具有其他不良生殖或產科病史之妊娠監測
  O0921	Supervision of pregnancy with history of pre-term labor
	具有早產病史妊娠監測
   O09211	Supervision of pregnancy with history of pre-term labor, first trimester
	具有早產病史之妊娠監測，妊娠第一期
   O09212	Supervision of pregnancy with history of pre-term labor, second trimester
	具有早產病史之妊娠監測，妊娠第二期
   O09213	Supervision of pregnancy with history of pre-term labor, third trimester
	具有早產病史之妊娠監測，妊娠第三期
   O09219	Supervision of pregnancy with history of pre-term labor, unspecified trimester
	具有早產病史之妊娠監測，未特定妊娠期
  O0929	Supervision of pregnancy with other poor reproductive or obstetric history
	具有其他不良生殖或產科病史之妊娠監測
   O09291	Supervision of pregnancy with other poor reproductive or obstetric history, first trimester
	具有其他不良生殖或產科病史之妊娠監測，妊娠第一期
   O09292	Supervision of pregnancy with other poor reproductive or obstetric history, second trimester
	具有其他不良生殖或產科病史之妊娠監測，妊娠第二期
   O09293	Supervision of pregnancy with other poor reproductive or obstetric history, third trimester
	具有其他不良生殖或產科病史之妊娠監測，妊娠第三期
   O09299	Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester
	具有其他不良生殖或產科病史之妊娠監測，未特定妊娠期
 O093	Supervision of pregnancy with insufficient antenatal care
	產前照護不足之妊娠監測
  O0930	Supervision of pregnancy with insufficient antenatal care, unspecified trimester
	產前照護不足之妊娠監測，未特定妊娠期
  O0931	Supervision of pregnancy with insufficient antenatal care, first trimester
	產前照護不足之妊娠監測，妊娠第一期
  O0932	Supervision of pregnancy with insufficient antenatal care, second trimester
	產前照護不足之妊娠監測，妊娠第二期
  O0933	Supervision of pregnancy with insufficient antenatal care, third trimester
	產前照護不足之妊娠監測，妊娠第三期
 O094	Supervision of pregnancy with grand multiparity
	多產婦妊娠監測
  O0940	Supervision of pregnancy with grand multiparity, unspecified trimester
	多產婦妊娠之監測，未特定妊娠期
  O0941	Supervision of pregnancy with grand multiparity, first trimester
	多產婦妊娠之監測，妊娠第一期
  O0942	Supervision of pregnancy with grand multiparity, second trimester
	多產婦妊娠之監測，妊娠第二期
  O0943	Supervision of pregnancy with grand multiparity, third trimester
	多產婦妊娠之監測，妊娠第三期
 O095	Supervision of elderly primigravida and multigravida
	高齡初產及多產婦妊娠監測
  O0951	Supervision of elderly primigravida
	高齡初產婦妊娠監測
   O09511	Supervision of elderly primigravida, first trimester
	高齡初產婦妊娠之監測，妊娠第一期
   O09512	Supervision of elderly primigravida, second trimester
	高齡初產婦妊娠之監測，妊娠第二期
   O09513	Supervision of elderly primigravida, third trimester
	高齡初產婦妊娠之監測，妊娠第三期
   O09519	Supervision of elderly primigravida, unspecified trimester
	高齡初產婦妊娠之監測，未特定妊娠期
  O0952	Supervision of elderly multigravida
	高齡多產婦妊娠監測
   O09521	Supervision of elderly multigravida, first trimester
	高齡多產婦妊娠之監測，妊娠第一期
   O09522	Supervision of elderly multigravida, second trimester
	高齡多產婦妊娠之監測，妊娠第二期
   O09523	Supervision of elderly multigravida, third trimester
	高齡多產婦妊娠之監測，妊娠第三期
   O09529	Supervision of elderly multigravida, unspecified trimester
	高齡多產婦妊娠之監測，未特定妊娠期
 O096	Supervision of young primigravida and multigravida
	年輕初孕婦及經產婦的監測
  O0961	Supervision of young primigravida
	年輕初孕婦的監測
   O09611	Supervision of young primigravida, first trimester
	年輕初孕婦的監測，妊娠第一期
   O09612	Supervision of young primigravida, second trimester
	年輕初孕婦的監測，妊娠第二期
   O09613	Supervision of young primigravida, third trimester
	年輕初孕婦的監測，妊娠第三期
   O09619	Supervision of young primigravida, unspecified trimester
	年輕初孕婦的監測，未特定妊娠期
  O0962	Supervision of young multigravida
	年輕經產婦的監測
   O09621	Supervision of young multigravida, first trimester
	年輕經產婦的監測，妊娠第一期
   O09622	Supervision of young multigravida, second trimester
	年輕經產婦的監測，妊娠第二期
   O09623	Supervision of young multigravida, third trimester
	年輕經產婦的監測，妊娠第三期
   O09629	Supervision of young multigravida, unspecified trimester
	年輕經產婦的監測，未特定妊娠期
 O097	Supervision of high risk pregnancy due to social problems
	因社會問題造成高危險妊娠的監測
  O0970	Supervision of high risk pregnancy due to social problems, unspecified trimester
	因社會問題造成高危險妊娠的監測，未特定妊娠期
  O0971	Supervision of high risk pregnancy due to social problems, first trimester
	因社會問題造成高危險妊娠的監測，妊娠第一期
  O0972	Supervision of high risk pregnancy due to social problems, second trimester
	因社會問題造成高危險妊娠的監測，妊娠第二期
  O0973	Supervision of high risk pregnancy due to social problems, third trimester
	因社會問題造成高危險妊娠的監測，妊娠第三期
 O098	Supervision of other high risk pregnancies
	其他高危險妊娠的監測
  O0981	Supervision of pregnancy resulting from assisted reproductive technology
	生殖技術協助妊娠的監測
   O09811	Supervision of pregnancy resulting from assisted reproductive technology, first trimester
	生殖技術協助妊娠的監測，妊娠第一期
   O09812	Supervision of pregnancy resulting from assisted reproductive technology, second trimester
	生殖技術協助妊娠的監測，妊娠第二期
   O09813	Supervision of pregnancy resulting from assisted reproductive technology, third trimester
	生殖技術協助妊娠的監測，妊娠第三期
   O09819	Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester
	生殖技術協助妊娠的監測，未特定妊娠期
  O0982	Supervision of pregnancy with history of in utero procedure during previous pregnancy
	前次妊娠有子宮內處置病史之妊娠監測
   O09821	Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester
	前次妊娠有子宮內處置病史之妊娠監測，妊娠第一期
   O09822	Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester
	前次妊娠有子宮內處置病史之妊娠監測，妊娠第二期
   O09823	Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester
	前次妊娠有子宮內處置病史之妊娠監測，妊娠第三期
   O09829	Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester
	前次妊娠有子宮內處置病史之妊娠監測，未特定妊娠期
  O0989	Supervision of other high risk pregnancies
	其他高危險妊娠的監測
   O09891	Supervision of other high risk pregnancies, first trimester
	其他高危險妊娠之監測，妊娠第一期
   O09892	Supervision of other high risk pregnancies, second trimester
	其他高危險妊娠之監測，妊娠第二期
   O09893	Supervision of other high risk pregnancies, third trimester
	其他高危險妊娠之監測，妊娠第三期
   O09899	Supervision of other high risk pregnancies, unspecified trimester
	其他高危險妊娠之監測，未特定妊娠期
 O099	Supervision of high risk pregnancy, unspecified
	未特定高危險妊娠的監測
  O0990	Supervision of high risk pregnancy, unspecified, unspecified trimester
	高危險妊娠之監測，未特定妊娠期
  O0991	Supervision of high risk pregnancy, unspecified, first trimester
	高危險妊娠之監測，妊娠第一期
  O0992	Supervision of high risk pregnancy, unspecified, second trimester
	高危險妊娠之監測，妊娠第二期
  O0993	Supervision of high risk pregnancy, unspecified, third trimester
	高危險妊娠之監測，妊娠第三期
O10	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium
	妊娠、生產及產褥期伴有即存本態性高血壓
 O100	Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium
	妊娠、生產及產褥期伴有即存高血壓
  O1001	Pre-existing essential hypertension complicating pregnancy
	妊娠伴有即存本態性高血壓
   O10011	Pre-existing essential hypertension complicating pregnancy, first trimester
	妊娠伴有即存本態性高血壓，妊娠第一期
   O10012	Pre-existing essential hypertension complicating pregnancy, second trimester
	妊娠伴有即存本態性高血壓，妊娠第二期
   O10013	Pre-existing essential hypertension complicating pregnancy, third trimester
	妊娠伴有即存本態性高血壓，妊娠第三期
   O10019	Pre-existing essential hypertension complicating pregnancy, unspecified trimester
	妊娠伴有即存本態性高血壓，未特定妊娠期
  O1002	Pre-existing essential hypertension complicating childbirth
	生產伴有即存本態性高血壓
  O1003	Pre-existing essential hypertension complicating the puerperium
	產後伴有即存本態性高血壓
 O101	Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium
	妊娠、生產及產褥期伴有即存高血壓性心臟病
  O1011	Pre-existing hypertensive heart disease complicating pregnancy
	妊娠伴有即存高血壓性心臟病
   O10111	Pre-existing hypertensive heart disease complicating pregnancy, first trimester
	妊娠伴有即存高血壓性心臟病，妊娠第一期
   O10112	Pre-existing hypertensive heart disease complicating pregnancy, second trimester
	妊娠伴有即存高血壓性心臟病，妊娠第二期
   O10113	Pre-existing hypertensive heart disease complicating pregnancy, third trimester
	妊娠伴有即存高血壓性心臟病，妊娠第三期
   O10119	Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester
	妊娠伴有即存高血壓性心臟病，未特定妊娠期
  O1012	Pre-existing hypertensive heart disease complicating childbirth
	生產伴有即存高血壓性心臟病
  O1013	Pre-existing hypertensive heart disease complicating the puerperium
	產後伴有即存高血壓性心臟病
 O102	Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium
	妊娠、生產及產褥期伴有即存高血壓性慢性腎臟病
  O1021	Pre-existing hypertensive chronic kidney disease complicating pregnancy
	妊娠伴有即存高血壓性慢性腎臟病
   O10211	Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester
	妊娠伴有即存高血壓性慢性腎臟病，妊娠第一期
   O10212	Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester
	妊娠伴有即存高血壓性慢性腎臟病，妊娠第二期
   O10213	Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester
	妊娠併高血壓性慢性腎臟病，妊娠第三期
   O10219	Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester
	妊娠伴有即存高血壓性慢性腎臟病，未特定妊娠期
  O1022	Pre-existing hypertensive chronic kidney disease complicating childbirth
	生產伴有即存高血壓性慢性腎臟病
  O1023	Pre-existing hypertensive chronic kidney disease complicating the puerperium
	產後伴有即存高血壓性慢性腎臟病
 O103	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium
	妊娠、生產及產褥期伴有即存高血壓性心臟病及慢性腎臟病
  O1031	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy
	妊娠伴有即存高血壓性心臟病及慢性腎臟病
   O10311	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester
	妊娠伴有即存高血壓性心臟病及慢性腎臟病，妊娠第一期
   O10312	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester
	妊娠伴有即存高血壓性心臟病及慢性腎臟病，妊娠第二期
   O10313	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester
	妊娠伴有即存高血壓性心臟病及慢性腎臟病，妊娠第三期
   O10319	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester
	妊娠伴有即存高血壓性心臟病及慢性腎臟病，未特定妊娠期
  O1032	Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
	生產伴有即存高血壓性心臟病及慢性腎臟病
  O1033	Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
	產後伴有即存高血壓性心臟病及慢性腎臟病
 O104	Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium
	妊娠、生產及產褥期伴有即存續發性高血壓
  O1041	Pre-existing secondary hypertension complicating pregnancy
	妊娠伴有即存續發性高血壓
   O10411	Pre-existing secondary hypertension complicating pregnancy, first trimester
	妊娠伴有即存續發性高血壓，妊娠第一期
   O10412	Pre-existing secondary hypertension complicating pregnancy, second trimester
	妊娠伴有即存續發性高血壓，妊娠第二期
   O10413	Pre-existing secondary hypertension complicating pregnancy, third trimester
	妊娠伴有即存續發性高血壓，妊娠第三期
   O10419	Pre-existing secondary hypertension complicating pregnancy, unspecified trimester
	妊娠伴有即存續發性高血壓，未特定妊娠期
  O1042	Pre-existing secondary hypertension complicating childbirth
	生產伴有即存續發性高血壓
  O1043	Pre-existing secondary hypertension complicating the puerperium
	產後伴有即存續發性高血壓
 O109	Unspecified pre-existing hypertension complicating pregnancy, childirth and the puerperium
	妊娠、生產及產褥期伴有未特定的即存續發性高血壓
  O1091	Unspecified pre-existing hypertension complicating pregnancy
	妊娠伴有未特定的即存高血壓
   O10911	Unspecified pre-existing hypertension complicating pregnancy, first trimester
	妊娠伴有即存高血壓，妊娠第一期
   O10912	Unspecified pre-existing hypertension complicating pregnancy, second trimester
	妊娠伴有即存高血壓，妊娠第二期
   O10913	Unspecified pre-existing hypertension complicating pregnancy, third trimester
	妊娠伴有即存高血壓，妊娠第三期
   O10919	Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester
	妊娠伴有即存高血壓，未特定妊娠期
  O1092	Unspecified pre-existing hypertension complicating childbirth
	生產伴有即存高血壓
  O1093	Unspecified pre-existing hypertension complicating the puerperium
	產後伴有即存高血壓
O11	Pre-existing hypertensive disorder with superimposed proteinuria
	即存高血壓性疾患伴有加重蛋白尿
 O111	Pre-existing hypertensive disorder with superimposed proteinuria, first trimester
	妊娠伴有即存高血壓性疾患伴有加重蛋白尿，妊娠第一期
 O112	Pre-existing hypertensive disorder with superimposed proteinuria, second trimester
	妊娠伴有即存高血壓性疾患伴有加重蛋白尿，妊娠第二期
 O113	Pre-existing hypertensive disorder with superimposed proteinuria, third trimester
	妊娠伴有即存高血壓性疾患伴有加重蛋白尿，妊娠第三期
 O119	Pre-existing hypertensive disorder with superimposed proteinuria, unspecified trimester
	妊娠伴有即存高血壓性疾患伴有加重蛋白尿，未特定妊娠期
O12	Gestational [pregnancy-induced] edema and proteinuria without hypertension
	妊娠性水腫及蛋白尿無高血壓
 O120	Gestational edema
	妊娠性水腫
  O1200	Gestational edema, unspecified trimester
	妊娠性水腫，未特定妊娠期
  O1201	Gestational edema, first trimester
	妊娠性水腫，妊娠第一期
  O1202	Gestational edema, second trimester
	妊娠性水腫，妊娠第二期
  O1203	Gestational edema, third trimester
	妊娠性水腫，妊娠第三期
 O121	Gestational proteinuria
	妊娠性蛋白尿
  O1210	Gestational proteinuria, unspecified trimester
	妊娠性蛋白尿，未特定妊娠期
  O1211	Gestational proteinuria, first trimester
	妊娠性蛋白尿，妊娠第一期
  O1212	Gestational proteinuria, second trimester
	妊娠性蛋白尿，妊娠第二期
  O1213	Gestational proteinuria, third trimester
	妊娠性蛋白尿，妊娠第三期
 O122	Gestational edema with proteinuria
	妊娠性水腫併蛋白尿
  O1220	Gestational edema with proteinuria, unspecified trimester
	妊娠水腫併蛋白尿，未特定妊娠期
  O1221	Gestational edema with proteinuria, first trimester
	妊娠水腫併蛋白尿，妊娠第一期
  O1222	Gestational edema with proteinuria, second trimester
	妊娠水腫併蛋白尿，妊娠第二期
  O1223	Gestational edema with proteinuria, third trimester
	妊娠水腫併蛋白尿，妊娠第三期
O13	Gestational [pregnancy-induced] hypertension without significant proteinuria
	妊娠性高血壓無明顯蛋白尿
 O131	Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester
	妊娠性高血壓沒有明顯蛋白尿，妊娠第一期
 O132	Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester
	妊娠性高血壓沒有明顯蛋白尿，妊娠第二期
 O133	Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester
	妊娠性高血壓沒有明顯蛋白尿，妊娠第三期
 O139	Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester
	妊娠性高血壓沒有明顯蛋白尿，未特定妊娠期
O14	Gestational [pregnancy-induced] hypertension with significant proteinuria
	妊娠性高血壓併明顯蛋白尿
 O140	Mild pre-eclampsia
	輕度子癇前症
  O1400	Mild pre-eclampsia, unspecified trimester
	輕度子癇前症，未特定妊娠期
  O1402	Mild pre-eclampsia, second trimester
	輕度子癇前症，妊娠第二期
  O1403	Mild pre-eclampsia, third trimester
	輕度子癇前症，妊娠第三期
 O141	Severe pre-eclampsia
	重度子癇前症
  O1410	Severe pre-eclampsia, unspecified trimester
	重度子癇前症，未特定妊娠期
  O1412	Severe pre-eclampsia, second trimester
	重度子癇前症，妊娠第二期
  O1413	Severe pre-eclampsia, third trimester
	重度子癇前症，妊娠第三期
 O142	HELLP syndrome (HELLP)
	HELLP症候群
  O1420	HELLP syndrome (HELLP), unspecified trimester
	HELLP症候群，未特定妊娠期
  O1422	HELLP syndrome (HELLP), second trimester
	HELLP症候群，妊娠第二期
  O1423	HELLP syndrome (HELLP), third trimester
	HELLP症候群，妊娠第三期
 O149	Unspecified pre-eclampsia
	未特定子癇前症
  O1490	Unspecified pre-eclampsia, unspecified trimester
	子癇前症，未特定妊娠期
  O1492	Unspecified pre-eclampsia, second trimester
	子癇前症，妊娠第二期
  O1493	Unspecified pre-eclampsia, third trimester
	子癇前症，妊娠第三期
O15	Eclampsia
	子癇症
 O150	Eclampsia in pregnancy
	妊娠子癇症
  O1500	Eclampsia in pregnancy, unspecified trimester
	子癇症，未特定妊娠期
  O1502	Eclampsia in pregnancy, second trimester
	子癇症，妊娠第二期
  O1503	Eclampsia in pregnancy, third trimester
	子癇症，妊娠第三期
 O151	Eclampsia in labor
	生產時子癇症發作
 O152	Eclampsia in the puerperium
	產褥期子癇症發作
 O159	Eclampsia, unspecified as to time period
	子癇症，未特定期間
O16	Unspecified maternal hypertension
	未特定的母體高血壓
 O161	Unspecified maternal hypertension, first trimester
	母體高血壓，妊娠第一期
 O162	Unspecified maternal hypertension, second trimester
	母體高血壓，妊娠第二期
 O163	Unspecified maternal hypertension, third trimester
	母體高血壓，妊娠第三期
 O169	Unspecified maternal hypertension, unspecified trimester
	母體高血壓，未特定妊娠期
O20	Hemorrhage in early pregnancy
	早期妊娠出血
 O200	Threatened abortion
	迫切流產
 O208	Other hemorrhage in early pregnancy
	其他早期妊娠出血
 O209	Hemorrhage in early pregnancy, unspecified
	早期妊娠出血，未特定
O21	Excessive vomiting in pregnancy
	妊娠嚴重孕吐
 O210	Mild hyperemesis gravidarum
	輕度妊娠孕吐
 O211	Hyperemesis gravidarum with metabolic disturbance
	妊娠孕吐伴有代謝障礙
 O212	Late vomiting of pregnancy
	妊娠晚期嘔吐
 O218	Other vomiting complicating pregnancy
	妊娠併發其他嘔吐
 O219	Vomiting of pregnancy, unspecified
	妊娠嘔吐，未特定
O22	Venous complications in pregnancy
	妊娠靜脈併發症
 O220	Varicose veins of lower extremity in pregnancy
	妊娠下肢靜脈曲張
  O2200	Varicose veins of lower extremity in pregnancy, unspecified trimester
	下肢靜脈曲張，未特定妊娠期
  O2201	Varicose veins of lower extremity in pregnancy, first trimester
	下肢靜脈曲張，妊娠第一期
  O2202	Varicose veins of lower extremity in pregnancy, second trimester
	下肢靜脈曲張，妊娠第二期
  O2203	Varicose veins of lower extremity in pregnancy, third trimester
	下肢靜脈曲張，妊娠第三期
 O221	Genital varices in pregnancy
	妊娠生殖器靜脈曲張
  O2210	Genital varices in pregnancy, unspecified trimester
	生殖器靜脈曲張，未特定妊娠期
  O2211	Genital varices in pregnancy, first trimester
	生殖器靜脈曲張，妊娠第一期
  O2212	Genital varices in pregnancy, second trimester
	生殖器靜脈曲張，妊娠第二期
  O2213	Genital varices in pregnancy, third trimester
