L00	Staphylococcal scalded skin syndrome
	手指急性淋巴管炎
   L03021	Acute lymphangitis of right finger
	右手指急性淋巴管炎
   L03022	Acute lymphangitis of left finger
	左手指急性淋巴管炎
   L03029	Acute lymphangitis of unspecified finger
	手指急性淋巴管炎
  L0303	Cellulitis of toe
	腳趾蜂窩組織炎
   L03031	Cellulitis of right toe
	右腳趾蜂窩組織炎
   L03032	Cellulitis of left toe
	左腳趾蜂窩組織炎
   L03039	Cellulitis of unspecified toe
	腳趾蜂窩組織炎
  L0304	Acute lymphangitis of toe
	腳趾急性淋巴管炎
   L03041	Acute lymphangitis of right toe
	右腳趾急性淋巴管炎
   L03042	Acute lymphangitis of left toe
	左腳趾急性淋巴管炎
   L03049	Acute lymphangitis of unspecified toe
	腳趾急性淋巴管炎
 L031	Cellulitis and acute lymphangitis of other parts of limb
	其他肢體蜂窩組織炎和急性淋巴管炎
  L0311	Cellulitis of other parts of  limb
	其他肢體蜂窩組織炎
   L03111	Cellulitis of right axilla
	右腋下蜂窩組織炎
   L03112	Cellulitis of left axilla
	左腋下蜂窩組織炎
   L03113	Cellulitis of right upper limb
	右上肢蜂窩組織炎
   L03114	Cellulitis of left upper limb
	左上肢蜂窩組織炎
   L03115	Cellulitis of right lower limb
	右下肢蜂窩組織炎
   L03116	Cellulitis of left lower limb
	左下肢蜂窩組織炎
   L03119	Cellulitis of unspecified part of limb
	肢體蜂窩組織炎
  L0312	Acute lymphangitis of other parts of limb
	其他肢體急性淋巴管炎
   L03121	Acute lymphangitis of right axilla
	右腋下急性淋巴管炎
   L03122	Acute lymphangitis of left axilla
	左腋下急性淋巴管炎
   L03123	Acute lymphangitis of right upper limb
	右上肢急性淋巴管炎
   L03124	Acute lymphangitis of left upper limb
	左上肢急性淋巴管炎
   L03125	Acute lymphangitis of right lower limb
	右下肢急性淋巴管炎
   L03126	Acute lymphangitis of left lower limb
	左下肢急性淋巴管炎
   L03129	Acute lymphangitis of unspecified part of limb
	肢體急性淋巴管炎
 L032	Cellulitis and acute lymphangitis of face and neck Acute lymphangitis of finger
	臉部和頸部蜂窩組織炎和急性淋巴管炎，手指急性淋巴管炎
  L0321	Cellulitis and acute lymphangitis of face
	臉部蜂窩組織炎和急性淋巴管炎
   L03211	Cellulitis of face
	臉部蜂窩組織炎
   L03212	Acute lymphangitis of face
	臉部急性淋巴管炎
  L0322	Cellulitis and acute lymphangitis of neck
	頸部蜂窩組織炎和急性淋巴管炎
   L03221	Cellulitis of neck
	頸部蜂窩組織炎
   L03222	Acute lymphangitis of neck
	頸部急性淋巴管炎
 L033	Cellulitis and acute lymphangitis of trunk
	軀幹蜂窩組織炎和急性淋巴管炎
  L0331	Cellulitis of trunk
	軀幹蜂窩組織炎
   L03311	Cellulitis of abdominal wall
	腹壁蜂窩組織炎
   L03312	Cellulitis of back [any part except buttock]
	背部蜂窩組織炎(臀部除外)
   L03313	Cellulitis of chest wall
	胸壁蜂窩組織炎
   L03314	Cellulitis of groin
	腹股溝蜂窩組織炎
   L03315	Cellulitis of perineum
	會陰蜂窩組織炎
   L03316	Cellulitis of umbilicus
	臍蜂窩組織炎
   L03317	Cellulitis of buttock
	臀部蜂窩組織炎
   L03319	Cellulitis of trunk, unspecified
	軀幹蜂窩組織炎，未特定
  L0332	Acute lymphangitis of trunk
	軀幹急性淋巴管炎
   L03321	Acute lymphangitis of abdominal wall
	腹壁急性淋巴管炎
   L03322	Acute lymphangitis of back [any part except buttock]
	背部急性淋巴管炎(臀部除外)
   L03323	Acute lymphangitis of chest wall
	胸壁急性淋巴管炎
   L03324	Acute lymphangitis of groin
	腹股溝急性淋巴管炎
   L03325	Acute lymphangitis of perineum
	會陰急性淋巴管炎
   L03326	Acute lymphangitis of umbilicus
	臍急性淋巴管炎
   L03327	Acute lymphangitis of buttock
	臀部急性淋巴管炎
   L03329	Acute lymphangitis of trunk, unspecified
	軀幹急性淋巴管炎，未特定
 L038	Cellulitis of acute lymphangitis of other sites
	其他部位急性淋巴管炎蜂窩組織炎
  L0381	Cellulitis of other sites
	其他部位蜂窩組織炎
   L03811	Cellulitis of head [any part, except face]
	頭部蜂窩組織炎(臉部除外)
   L03818	Cellulitis of other sites
	其他部位蜂窩組織炎
  L0389	Acute lymphangitis of other sites
	其他部位急性淋巴管炎
   L03891	Acute lymphangitis of head [any part, except face]
	頭部急性淋巴管炎(臉部除外)
   L03898	Acute lymphangitis of other sites
	其他部位急性淋巴管炎
 L039	Cellulitis and acute lymphangitis, unspecified
	蜂窩組織炎和急性淋巴管炎，未特定
  L0390	Cellulitis, unspecified
	蜂窩組織炎，未特定
  L0391	Acute lymphangitis, unspecified
	急性淋巴管炎，未特定
L04	Acute lymphadenitis
	急性淋巴管炎
 L040	Acute lymphadenitis of face, head and neck
	臉,頭及頸部急性淋巴腺炎
 L041	Acute lymphadenitis of trunk
	軀幹急性淋巴腺炎
 L042	Acute lymphadenitis of upper limb
	上肢急性淋巴腺炎
 L043	Acute lymphadenitis of lower limb
	下肢急性淋巴腺炎
 L048	Acute lymphadenitis of other sites
	其他部位急性淋巴腺炎
 L049	Acute lymphadenitis, unspecified
	急性淋巴腺炎，未特定
L05	Pilonidal cyst and sinus
	潛毛性囊腫和瘻管
 L050	Pilonidal cyst and sinus with abscess
	潛毛性囊腫和瘻管伴有膿瘍
  L0501	Pilonidal cyst with abscess
	潛毛性囊腫伴有膿瘍
  L0502	Pilonidal sinus with abscess
	潛毛性瘻管伴有膿瘍
 L059	Pilonidal cyst and sinus without abscess
	潛毛性囊腫和瘻管未伴有膿瘍
  L0591	Pilonidal cyst without abscess
	潛毛性囊腫未伴有膿瘍
  L0592	Pilonidal sinus without abscess
	潛毛性瘻管未伴有膿瘍
L08	Other local infections of skin and subcutaneous tissue
	皮膚及皮下組織的其他局部感染
 L080	Pyoderma
	膿皮病
 L081	Erythrasma
	紅癬
 L088	Other specified local infections of the skin and subcutaneous tissue
	皮膚及皮下組織的其他特定局部感染
  L0881	Pyoderma vegetans
	增殖性膿皮症
  L0882	Omphalitis not of newborn
	非新生兒的臍炎
  L0889	Other specified local infections of the skin and subcutaneous tissue
	皮膚及皮下組織的其他特定局部感染
 L089	Local infection of the skin and subcutaneous tissue, unspecified
	皮膚及皮下組織局部感染，未特定
L10	Pemphigus
	天疱瘡
 L100	Pemphigus vulgaris
	尋常性天疱瘡
 L101	Pemphigus vegetans
	增殖性天疱瘡
 L102	Pemphigus foliaceous
	落葉性天疱瘡
 L103	Brazilian pemphigus [fogo selvagem]
	巴西天疱瘡
 L104	Pemphigus erythematosus
	紅斑性天疱瘡
 L105	Drug-induced pemphigus
	藥物導致之天疱瘡
 L108	Other pemphigus
	其他天疱瘡
  L1081	Paraneoplastic pemphigus
	腫瘤伴生性天疱瘡
  L1089	Other pemphigus
	其他天疱瘡
 L109	Pemphigus, unspecified
	天疱瘡，未特定
L11	Other acantholytic disorders
	其他棘層鬆解性疾患
 L110	Acquired keratosis follicularis
	後天性毛囊角化症
 L111	Transient acantholytic dermatosis [Grover]
	暫時性棘層鬆解性皮膚病
 L118	Other specified acantholytic disorders
	其他特定的棘層鬆解性疾患
 L119	Acantholytic disorder, unspecified
	棘層鬆解性疾患，未特定
L12	Pemphigoid
	類天疱瘡
 L120	Bullous pemphigoid
	水疱性類天疱瘡
 L121	Cicatricial pemphigoid
	疤痕性類天疱瘡
 L122	Chronic bullous disease of childhood
	兒童慢性水疱病
 L123	Acquired epidermolysis bullosa
	後天性水疱性表皮鬆解症
  L1230	Acquired epidermolysis bullosa, unspecified
	後天性水疱性表皮鬆解症，未特定
  L1231	Epidermolysis bullosa due to drug
	藥物性水疱性表皮鬆解症
  L1235	Other acquired epidermolysis bullosa
	其他後天性水疱性表皮鬆解症
 L128	Other pemphigoid
	其他類天疱瘡
 L129	Pemphigoid, unspecified
	類天疱瘡，未特定
L13	Other bullous disorders
	其他水疱性疾患
 L130	Dermatitis herpetiformis
	疱疹樣皮膚炎
 L131	Subcorneal pustular dermatitis
	角質層下膿疱性皮膚炎
 L138	Other specified bullous disorders
	其他特定水疱性疾患
 L139	Bullous disorder, unspecified
	水疱性疾患，未特定
L14	Bullous disorders in diseases classified elsewhere
	歸類於他處疾病所致之水疱性疾患
L20	Atopic dermatitis
	異位性皮膚炎
 L200	Besnier's prurigo
	貝斯尼耶氏癢疹
 L208	Other atopic dermatitis
	其他異位性皮膚炎
  L2081	Atopic neurodermatitis
	異位性神經皮膚炎
  L2082	Flexural eczema
	屈側皮膚濕疹
  L2083	Infantile (acute) (chronic) eczema
	嬰兒型(急或慢性)濕疹
  L2084	Intrinsic (allergic) eczema
	內因性(過敏性)濕疹
  L2089	Other atopic dermatitis
	其他異位性皮膚炎
 L209	Atopic dermatitis, unspecified
	異位性皮膚炎，未特定
L21	Seborrheic dermatitis
	脂漏性皮膚炎
 L210	Seborrhea capitis
	頭皮脂漏
 L211	Seborrheic infantile dermatitis
	嬰兒型脂漏性皮膚炎
 L218	Other seborrheic dermatitis
	其他脂漏性皮膚炎
 L219	Seborrheic dermatitis, unspecified
	脂漏性皮膚炎，未特定
L22	Diaper dermatitis
	尿布疹
L23	Allergic contact dermatitis
	過敏性接觸性皮膚炎
 L230	Allergic contact dermatitis due to metals
	金屬所致之過敏性接觸性皮膚炎
 L231	Allergic contact dermatitis due to adhesives
	膠黏劑所致之過敏性接觸性皮膚炎
 L232	Allergic contact dermatitis due to cosmetics
	化妝品所致之過敏性接觸性皮膚炎
 L233	Allergic contact dermatitis due to drugs in contact with skin
	藥物與皮膚接觸所致之過敏性接觸性皮膚炎
 L234	Allergic contact dermatitis due to dyes
	染料所致之過敏性接觸性皮膚炎
 L235	Allergic contact dermatitis due to other chemical products
	其他化學產品所致之過敏性接觸性皮膚炎
 L236	Allergic contact dermatitis due to food in contact with the skin
	食物與皮膚接觸所致之過敏性接觸性皮膚炎
 L237	Allergic contact dermatitis due to plants, except food
	植物所致之過敏性接觸性皮膚炎，食物除外
 L238	Allergic contact dermatitis due to other agents
	其他物質所致之過敏性接觸性皮膚炎
  L2381	Allergic contact dermatitis due to animal (cat) (dog) dander
	動物(貓)(狗)皮屑所致之過敏性接觸性皮膚炎
  L2389	Allergic contact dermatitis due to other agents
	其他物質所致之過敏性接觸性皮膚炎
 L239	Allergic contact dermatitis, unspecified cause
	過敏性接觸性皮膚炎，未特定原因
L24	Irritant contact dermatitis
	刺激性接觸性皮膚炎
 L240	Irritant contact dermatitis due to detergents
	清潔劑所致之刺激性接觸性皮膚炎
 L241	Irritant contact dermatitis due to oils and greases
	油脂類所致之刺激性接觸性皮膚炎
 L242	Irritant contact dermatitis due to solvents
	溶劑所致之刺激性接觸性皮膚炎
 L243	Irritant contact dermatitis due to cosmetics
	化妝品所致之刺激性接觸性皮膚炎
 L244	Irritant contact dermatitis due to drugs in contact with skin
	藥物與皮膚接觸所致之刺激性接觸性皮膚炎
 L245	Irritant contact dermatitis due to other chemical products
	其他化學產品所致之刺激性接觸性皮膚炎
 L246	Irritant contact dermatitis due to food in contact with skin
	食物與皮膚接觸所致之刺激性接觸性皮膚炎
 L247	Irritant contact dermatitis due to plants, except food
	植物所致之刺激性接觸性皮膚炎，食物除外
 L248	Irritant contact dermatitis due to other agents
	其他物質所致之刺激性接觸性皮膚炎
  L2481	Irritant contact dermatitis due to metals
	金屬所致之刺激性接觸性皮膚炎
  L2489	Irritant contact dermatitis due to other agents
	其他物質所致之刺激性接觸性皮膚炎
 L249	Irritant contact dermatitis, unspecified cause
	刺激性接觸性皮膚炎，未特定原因
L25	Unspecified contact dermatitis
	接觸性皮膚炎
 L250	Unspecified contact dermatitis due to cosmetics
	化妝品接觸性皮膚炎
 L251	Unspecified contact dermatitis due to drugs in contact with skin
	藥物接觸性皮膚炎
 L252	Unspecified contact dermatitis due to dyes
	染料接觸性皮膚炎
 L253	Unspecified contact dermatitis due to other chemical products
	其他化學產品所致之接觸性皮膚炎
 L254	Unspecified contact dermatitis due to food in contact with skin
	食物接觸性皮膚炎
 L255	Unspecified contact dermatitis due to plants, except food
	植物接觸性皮膚炎，食物除外
 L258	Unspecified contact dermatitis due to other agents
	其他物質所致之接觸性皮膚炎
 L259	Unspecified contact dermatitis, unspecified cause
	接觸性皮膚炎，未特定原因
L26	Exfoliative dermatitis
	剝落性皮膚炎
L27	Dermatitis due to substances taken internally
	內服物質所致之皮膚炎
 L270	Generalized skin eruption due to drugs and medicaments taken internally
	內服藥所致之全身性皮疹
 L271	Localized skin eruption due to drugs and medicaments taken internally
	內服藥所致之局部性皮疹
 L272	Dermatitis due to ingested food
	攝取食物所致之皮膚炎
 L278	Dermatitis due to other substances taken internally
	其他內服物質所致之皮膚炎
 L279	Dermatitis due to unspecified substance taken internally
	內服未特定物質所致之皮膚炎
L28	Lichen simplex chronicus and prurigo
	慢性單純苔癬和癢疹
 L280	Lichen simplex chronicus
	慢性單純苔癬
 L281	Prurigo nodularis
	結節性癢疹
 L282	Other prurigo
	其他癢疹
L29	Pruritus
	癢疹
 L290	Pruritus ani
	肛門搔癢症
 L291	Pruritus scroti
	陰囊搔癢症
 L292	Pruritus vulvae
	女陰搔癢症
 L293	Anogenital pruritus, unspecified
	肛門生殖器官搔癢症，未特定
 L298	Other pruritus
	其他搔癢症
 L299	Pruritus, unspecified
	搔癢症，未特定
L30	Other and unspecified dermatitis
	其他和未特定的皮膚炎
 L300	Nummular dermatitis
	錢幣狀皮膚炎
 L301	Dyshidrosis [pompholyx]
	發汗異常
 L302	Cutaneous autosensitization
	皮膚自體敏感作用
 L303	Infective dermatitis
	感染性皮膚炎
 L304	Erythema intertrigo
	對磨性紅斑
 L305	Pityriasis alba
	白色糠疹
 L308	Other specified dermatitis
	其他特定的皮膚炎
 L309	Dermatitis, unspecified
	皮膚炎，未特定
L40	Psoriasis
	乾癬
 L400	Psoriasis vulgaris
	尋常性乾癬
 L401	Generalized pustular psoriasis
	全身性膿疱性乾癬
 L402	Acrodermatitis continua
	連續性肢端皮膚炎
 L403	Pustulosis palmaris et plantaris
	掌蹠膿疱症
 L404	Guttate psoriasis
	滴狀乾癬
 L405	Arthropathic psoriasis
	關節病型乾癬
  L4050	Arthropathic psoriasis, unspecified
	關節病型乾癬，未特定
  L4051	Distal interphalangeal psoriatic arthropathy
	遠端指骨間乾癬性關節病變
  L4052	Psoriatic arthritis mutilans
	乾癬性關節炎變形
  L4053	Psoriatic spondylitis
	乾癬性脊椎炎
  L4054	Psoriatic juvenile arthropathy
	青年型乾癬性關節病變
  L4059	Other psoriatic arthropathy
	其他乾癬性關節病變
 L408	Other psoriasis
	其他乾癬
 L409	Psoriasis, unspecified
	乾癬，未特定
L41	Parapsoriasis
	類乾癬
 L410	Pityriasis lichenoides et varioliformis acuta
	急性苔蘚樣痘瘡狀糠疹
 L411	Pityriasis lichenoides chronica
	慢性苔蘚樣糠疹
 L412	Lymphomatoid papulosis
	淋巴瘤樣丘疹症
 L413	Small plaque parapsoriasis
	小班塊狀類乾癬
 L414	Large plaque parapsoriasis
	大板塊狀類乾癬+F881
 L415	Retiform parapsoriasis
	網狀類乾癬
 L418	Other parapsoriasis
	其他類乾癬
 L419	Parapsoriasis, unspecified
	類乾癬，未特定
L42	Pityriasis rosea
	玫瑰糠疹
L43	Lichen planus
	扁平苔癬
 L430	Hypertrophic lichen planus
	肥厚性扁平苔癬
 L431	Bullous lichen planus
	水疱性扁平苔癬
 L432	Lichenoid drug reaction
	苔癬樣藥疹
 L433	Subacute (active) lichen planus
	亞急性扁平苔癬
 L438	Other lichen planus
	其他扁平苔癬
 L439	Lichen planus, unspecified
	扁平苔癬，未特定
L44	Other papulosquamous disorders
	其他鱗屑性丘疹樣疾患
 L440	Pityriasis rubra pilaris
	毛孔性紅糠疹
 L441	Lichen nitidus
	光澤苔癬
 L442	Lichen striatus
	線狀苔癬
 L443	Lichen ruber moniliformis
	念珠樣紅苔癬
 L444	Infantile papular acrodermatitis [Gianotti-Crosti]
	嬰兒丘疹性肢體皮膚炎
 L448	Other specified papulosquamous disorders
	其他特定的鱗屑性丘疹樣疾患
 L449	Papulosquamous disorder, unspecified
	鱗屑性丘疹樣疾患，未特定
L45	Papulosquamous disorders in diseases classified elsewhere
	歸類於他處疾患所致之鱗屑性丘疹樣疾患
L49	Exfoliation due to erythematous conditions according to extent of body surface involved
	紅疹剝落依據體表面積的程度
 L490	Exfoliation due to erythematous condition involving less than 10 percent of body surface
	紅疹佔體表面積10%以下的剝落
 L491	Exfoliation due to erythematous condition involving 10-19 percent of body surface
	紅疹佔體表面積10-19%的剝落
 L492	Exfoliation due to erythematous condition involving 20-29 percent of body surface
	紅疹佔體表面積20-29%的剝落
 L493	Exfoliation due to erythematous condition involving 30-39 percent of body surface
	紅疹佔體表面積30-39%的剝落
 L494	Exfoliation due to erythematous condition involving 40-49 percent of body surface
	紅疹佔體表面積40-49%的剝落
 L495	Exfoliation due to erythematous condition involving 50-59 percent of body surface
	紅疹佔體表面積50-59%的剝落
 L496	Exfoliation due to erythematous condition involving 60-69 percent of body surface
	紅疹佔體表面積60-69%的剝落
 L497	Exfoliation due to erythematous condition involving 70-79 percent of body surface
	紅疹佔體表面積70-79%的剝落
 L498	Exfoliation due to erythematous condition involving 80-89 percent of body surface
	紅疹佔體表面積80-89%的剝落
 L499	Exfoliation due to erythematous condition involving 90 or more percent of body surface
	紅疹佔體表面積90%或更多的剝落
L50	Urticaria
	蕁麻疹
 L500	Allergic urticaria
	過敏性蕁麻疹
 L501	Idiopathic urticaria
	特發性蕁麻疹
 L502	Urticaria due to cold and heat
	冷及熱所致之蕁麻疹
 L503	Dermatographic urticaria
	皮膚劃紋性蕁麻疹
 L504	Vibratory urticaria
	震動性蕁麻疹
 L505	Cholinergic urticaria
	膽鹼激性蕁麻疹
 L506	Contact urticaria
	接觸性蕁麻疹
 L508	Other urticaria
	其他蕁麻疹
 L509	Urticaria, unspecified
	蕁麻疹，未特定
L51	Erythema multiforme
	多形性紅斑
 L510	Nonbullous erythema multiforme
	非水疱性多形性紅斑
 L511	Stevens-Johnson syndrome
	史帝芬-強生氏症候群
 L512	Toxic epidermal necrolysis [Lyell]
	毒性表皮壞死鬆解症
 L513	Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome
	史帝芬-強生氏症候群 - 毒性表皮壞死鬆解症重疊症候群
 L518	Other erythema multiforme
	其他多形性紅斑
 L519	Erythema multiforme, unspecified
	多形性紅斑，未特定
L52	Erythema nodosum
	結節性紅斑
L53	Other erythematous conditions
	其他紅斑狀態
 L530	Toxic erythema
	毒性紅斑
 L531	Erythema annulare centrifugum
	遠心性環狀紅斑
 L532	Erythema marginatum
	邊緣性紅斑
 L533	Other chronic figurate erythema
	其他慢性圖案狀紅斑
 L538	Other specified erythematous conditions
	其他特定之紅斑狀態
 L539	Erythematous condition, unspecified
	紅斑狀態，未特定
L54	Erythema in diseases classified elsewhere
	歸類於他處疾病所致之紅斑
L55	Sunburn
	曬傷
 L550	Sunburn of first degree
	一度曬傷
 L551	Sunburn of second degree
	二度曬傷
 L552	Sunburn of third degree
	三度曬傷
 L559	Sunburn, unspecified
	曬傷，未特定
L56	Other acute skin changes due to ultraviolet radiation
	紫外線照射所致之其他急性皮膚變化
 L560	Drug phototoxic response
	藥物光毒性反應
 L561	Drug photoallergic response
	藥物光過敏性反應
 L562	Photocontact dermatitis [berloque dermatitis]
	光接觸性皮膚炎(香精皮膚炎)
 L563	Solar urticaria
	日光性蕁麻疹
 L564	Polymorphous light eruption
	多形性日光疹
 L565	Disseminated superficial actinic porokeratosis (DSAP)
	播散性表淺性日光性汗孔角化症
 L568	Other specified acute skin changes due to ultraviolet radiation
	紫外線照射所致之其他特定的急性皮膚變化
 L569	Acute skin change due to ultraviolet radiation, unspecified
	紫外線輻射所致之急性皮膚變化，未特定
L57	Skin changes due to chronic exposure to nonionizing radiation
	慢性暴露於非游離輻射之皮膚改變
 L570	Actinic keratosis
	日光性角化症
 L571	Actinic reticuloid
	日光性網狀細胞類瘤
 L572	Cutis rhomboidalis nuchae
	項部菱樣皮
 L573	Poikiloderma of Civatte
	Civatte型多形皮膚萎縮症
 L574	Cutis laxa senilis
	老年性皮膚鬆垂症
 L575	Actinic granuloma
	日光性肉芽腫
 L578	Other skin changes due to chronic exposure to nonionizing radiation
	慢性暴露於非游離輻射之其他皮膚變化
 L579	Skin changes due to chronic exposure to nonionizing radiation, unspecified
	慢性暴露於非游離輻射之皮膚改變，未特定
L58	Radiodermatitis
	輻射性皮膚炎
 L580	Acute radiodermatitis
	急性輻射性皮膚炎
 L581	Chronic radiodermatitis
