D50	Iron deficiency anemia
 D642	Secondary sideroblastic anemia due to drugs and toxins
	藥物或毒素導致的續發性含鐵芽母細胞性貧血
 D643	Other sideroblastic anemias
	其他含鐵芽母細胞性貧血
 D644	Congenital dyserythropoietic anemia
	先天性紅血球生成不良性貧血
 D648	Other specified anemias
	其他特定貧血
  D6481	Anemia due to antineoplastic chemotherapy
	抗腫瘤化學治療導致的貧血
  D6489	Other specified anemias
	其他特定之貧血
 D649	Anemia, unspecified
	貧血，未特定
D65	Disseminated intravascular coagulation [defibrination syndrome]
	瀰漫性血管內凝血症[去纖維蛋白徵候群]
D66	Hereditary factor VIII deficiency
	遺傳性第Ⅷ凝血因子缺乏症
D67	Hereditary factor IX deficiency
	遺傳性第Ⅸ凝血因子缺乏症
D68	Other coagulation defects
	其他凝血缺乏
 D680	Von Willebrand's disease
	von Willebrand(馮維布蘭德)氏疾病
 D681	Hereditary factor XI deficiency
	遺傳性第XI凝血因子缺乏症
 D682	Hereditary deficiency of other clotting factors
	其他遺傳性凝血因子缺乏症
 D683	Hemorrhagic disorder due to circulating anticoagulants
	循環抗凝血物質導致的出血性疾患
  D6831	Hemorrhagic disorder due to intrinsic circulating anticoagulants
	內在循環抗凝血物質導致的出血性疾患
  D6832	Hemorrhagic disorder due to extrinsic circulating anticoagulants
	循環中抗凝血物質所致的出血性疾患
 D684	Acquired coagulation factor deficiency
	後天性凝血因子缺乏症
 D685	Primary thrombophilia
	原發栓塞質
  D6851	Activated protein C resistance
	活化的蛋白質C抗性
  D6852	Prothrombin gene mutation
	凝血脢原基因突變
  D6859	Other primary thrombophilia
	其他原發栓塞質
 D686	Other thrombophilia
	其他栓塞質
  D6861	Anticardiolipin syndrome
	抗心磷脂症候群
  D6862	Lupus anticoagulant syndrome
	狼瘡抗凝症候群
  D6869	Other thrombophilia
	其他栓塞質
 D688	Other specified coagulation defects
	其他特定凝血缺陷
 D689	Coagulation defect, unspecified
	凝血缺陷，未特定
D69	Purpura and other hemorrhagic conditions
	紫斑症及其他出血性病態
 D690	Allergic purpura
	過敏性紫斑症
 D691	Qualitative platelet defects
	血小板機能缺陷
 D692	Other nonthrombocytopenic purpura
	其他非血小板缺乏性紫斑症
 D693	Immune thrombocytopenic purpura
	免疫性血小板缺乏性紫斑症
 D694	Other primary thrombocytopenia
	其他原發性血小板缺乏症
  D6941	Evans syndrome
	伊文斯氏(Evans)症候群
  D6942	Congenital and hereditary thrombocytopenia purpura
	先天性或遺傳性血小板缺乏性紫斑症
  D6949	Other primary thrombocytopenia
	其他原發性血小板缺乏症
 D695	Secondary thrombocytopenia
	續發性血小板缺乏症
 D696	Thrombocytopenia, unspecified
	血小板缺乏症，未特定
 D698	Other specified hemorrhagic conditions
	其他特定之出血性病態
 D699	Hemorrhagic condition, unspecified
	出血性病態，未特定
D70	Neutropenia
	嗜中性白血球缺乏症
 D700	Congenital agranulocytosis
	先天性顆粒性白血球缺乏症
 D701	Agranulocytosis secondary to cancer chemotherapy
	癌症化療引發的顆粒性白血球缺乏症
 D702	Other drug-induced agranulocytosis
	其他藥物導致之顆粒性白血球缺乏症
 D703	Neutropenia due to infection
	感染引起的嗜中性白血球缺乏症
 D704	Cyclic neutropenia
	週期性嗜中性白血球缺乏症
 D708	Other neutropenia
	其他嗜中性白血球缺乏症
 D709	Neutropenia, unspecified
	嗜中性白血球缺乏症，未特定
D71	Functional disorders of polymorphonuclear neutrophils
	嗜中性多核白血球功能疾患
D72	Other disorders of white blood cells
	其他白血球疾患
 D720	Genetic anomalies of leukocytes
	白血球基因異常
 D721	Eosinophilia
	嗜酸性白血球增多症
 D728	Other specified disorders of  white blood cells
	其他特定之白血球疾患
  D7281	Decreased white blood cell count
	白血球計數下降
   D72810	Lymphocytopenia
	淋巴球減少症
   D72818	Other decreased white blood cell count
	其他白血球計數下降
   D72819	Decreased white blood cell count, unspecified
	白血球計數下降，未特定
  D7282	Elevated white blood cell count
	白血球計數上升
   D72820	Lymphocytosis (symptomatic)
	白血球增多症（有症狀）
   D72821	Monocytosis (symptomatic)
	單核球增多症（有症狀）
   D72822	Plasmacytosis
	漿細胞增多症
   D72823	Leukemoid reaction
	類白血病反應
   D72824	Basophilia
	嗜鹼性白血球增多症
   D72825	Bandemia
	中性桿狀核粒細胞增加
   D72828	Other elevated white blood cell count
	其他白血球計數上升
   D72829	Elevated white blood cell count, unspecified
	白血球計數上升，未特定
  D7289	Other specified disorders of white blood cells
	其他特定之白血球疾患
 D729	Disorder of white blood cells, unspecified
	白血球疾患，未特定
D73	Diseases of spleen
	脾臟疾病
 D730	Hyposplenism
	脾臟機能不足
 D731	Hypersplenism
	脾臟功能亢進症
 D732	Chronic congestive splenomegaly
	慢性充血性脾腫大
 D733	Abscess of spleen
	脾膿瘍
 D734	Cyst of spleen
	脾囊腫
 D735	Infarction of spleen
	脾梗塞
 D738	Other diseases of spleen
	其他脾臟疾病
  D7381	Neutropenic splenomegaly
	嗜中性白血球缺乏性脾腫大
  D7389	Other diseases of spleen
	其他脾臟疾病
 D739	Disease of spleen, unspecified
	脾臟疾病，未特定
D74	Methemoglobinemia
	變性血色素血症
 D740	Congenital methemoglobinemia
	先天性變性血色素血症
 D748	Other methemoglobinemias
	其他變性血色素血症
 D749	Methemoglobinemia, unspecified
	變性血色素血症，未特定
D75	Other and unspecified diseases of blood and blood-forming organs
	其他及未特定之血液與造血器官疾病
 D750	Familial erythrocytosis
	家族性紅血球增多症
 D751	Secondary polycythemia
	續發性紅血球過多症
 D758	Other specified diseases of blood and blood-forming organs
	其他特定之血液與造血器官疾病
  D7581	Myelofibrosis
	骨髓纖維化
  D7582	Heparin induced thrombocytopenia (HIT)
	肝素導致之血小板缺乏症(HIT)
  D7589	Other specified diseases of blood and blood-forming organs
	其他特定之血液與造血器官疾病
 D759	Disease of blood and blood-forming organs, unspecified
	血液與造血器官疾病，未特定
D76	Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
	侵及淋巴網狀組織及網狀組織球系統之其他特定疾病
 D761	Hemophagocytic lymphohistiocytosis
	噬血球淋巴組織球增多症(噬血症候群)
 D762	Hemophagocytic syndrome, infection-associated
	與感染有關的噬血症候群
 D763	Other histiocytosis syndromes
	其他組織球增生症候群
D77	Other disorders of blood and blood-forming organs in diseases classified elsewhere
	歸類於他處疾病所致之其他血液與造血器官疾患
D78	Intraoperative and postprocedural complications of the spleen
	脾臟術中及術後併發症
 D780	Intraoperative hemorrhage and hematoma of spleen complicating a procedure
	併發術中脾出血或血腫
  D7801	Intraoperative hemorrhage and hematoma of spleen complicating a procedure on the spleen
	脾處置併發術中脾出血或血腫
  D7802	Intraoperative hemorrhage and hematoma of spleen complicating other procedure
	其他處置併發術中脾出血或血腫
 D781	Accidental puncture and laceration of spleen during a procedure
	併發脾意外刺穿或撕裂傷
  D7811	Accidental puncture and laceration of spleen during a procedure on the spleen
	脾處置中併發脾意外刺穿或撕裂傷
  D7812	Accidental puncture and laceration of spleen during other procedure
	其他處置中併發脾意外刺穿或撕裂傷
 D782	Postprocedural hemorrhage and hematoma of spleen following a procedure
	併發術後脾出血或血腫
  D7821	Postprocedural hemorrhage and hematoma of spleen following a procedure on the spleen
	脾處置併發術後脾出血或血腫
  D7822	Postprocedural hemorrhage and hematoma of spleen following other procedure
	期它處置併發術後脾出血或血腫
 D788	Other intraoperative and postprocedural complications of spleen
	脾臟其他術中及術後併發症
  D7881	Other intraoperative complications of spleen
	脾臟其他術中併發症
  D7889	Other postprocedural complications of spleen
	脾臟其他術後併發症
D80	Immunodeficiency with predominantly antibody defects
	免疫缺乏症伴有主要抗體缺陷
 D800	Hereditary hypogammaglobulinemia
	遺傳性丙型球蛋白過低血症
 D801	Nonfamilial hypogammaglobulinemia
	非家族性丙型球蛋白過低血症
 D802	Selective deficiency of immunoglobulin A [IgA]
	選擇性免疫球蛋白A[IgA]缺乏症
 D803	Selective deficiency of immunoglobulin G [IgG] subclasses
	選擇性免疫球蛋白G[IgG]亞群缺乏症
 D804	Selective deficiency of immunoglobulin M [IgM]
	選擇性免疫球蛋白M[IgM]缺乏症
 D805	Immunodeficiency with increased immunoglobulin M [IgM]
	免疫缺乏症伴有免疫球蛋白M[IgM]增加
 D806	Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia
	抗體缺乏伴有接近於正常的免疫球蛋白或伴有高免疫球蛋白血症
 D807	Transient hypogammaglobulinemia of infancy
	嬰兒暫時性丙型球蛋白過低血症
 D808	Other immunodeficiencies with predominantly antibody defects
	其他免疫缺乏症伴有主要抗體缺陷
 D809	Immunodeficiency with predominantly antibody defects, unspecified
	免疫缺乏症伴有主要抗體缺陷，未特定
D81	Combined immunodeficiencies
	複合性免疫缺乏症
 D810	Severe combined immunodeficiency [SCID] with reticular dysgenesis
	複合性嚴重型免疫缺乏症[SCID]伴有網狀組織發育不良
 D811	Severe combined immunodeficiency [SCID] with low T- and B-cell numbers
	複合性嚴重型免疫缺乏症[SCID]伴有低Ｔ–及Ｂ–細胞數目者
 D812	Severe combined immunodeficiency [SCID] with low or normal B-cell numbers
	複合性嚴重型免疫缺乏症[SCID]伴有低或正常Ｂ–細胞數目者
 D813	Adenosine deaminase [ADA] deficiency
	腺甘脫胺脢[ADA]缺乏症
 D814	Nezelof's syndrome
	Nezelof氏症候群
 D815	Purine nucleoside phosphorylase [PNP] deficiency
	嘌呤核甘磷酸化脢[PNP]缺乏症
 D816	Major histocompatibility complex class I deficiency
	主要組織相容複合體Ⅰ級缺乏症
 D817	Major histocompatibility complex class II deficiency
	主要組織相容複合體Ⅱ級缺乏症
 D818	Other combined immunodeficiencies
	其他複合性免疫缺乏症
  D8181	Biotin-dependent carboxylase deficiency
	生物素依賴性羧化脢缺乏症
   D81810	Biotinidase deficiency
	生物素脢缺乏症
   D81818	Other biotin-dependent carboxylase deficiency
	其他生物素依賴性羧化脢缺乏症
   D81819	Biotin-dependent carboxylase deficiency, unspecified
	生物素依賴性羧化脢缺乏症，未特定
  D8189	Other combined immunodeficiencies
	其他複合性免疫缺乏症
 D819	Combined immunodeficiency, unspecified
	複合性免疫缺乏症，未特定
D82	Immunodeficiency associated with other major defects
	與其他重大缺陷相關的免疫缺乏症
 D820	Wiskott-Aldrich syndrome
	Wiskott-Aldrich症候群
 D821	Di George's syndrome
	DiGeorge氏症候群
 D822	Immunodeficiency with short-limbed stature
	免疫缺乏症伴有短肢身材
 D823	Immunodeficiency following hereditary defective response to Epstein-Barr virus
	遺傳性Epstein-Barr病毒反應缺陷性免疫缺乏症
 D824	Hyperimmunoglobulin E [IgE] syndrome
	高免疫球蛋白E[IgE]症候群
 D828	Immunodeficiency associated with other specified major defects
	與其他特定重大缺陷相關的免疫缺乏症
 D829	Immunodeficiency associated with major defect, unspecified
	與重大缺陷相關的免疫缺乏症，未特定
D83	Common variable immunodeficiency
	常見多樣性免疫缺乏症
 D830	Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function
	以B–細胞數目及功能異常為主的常見多樣性免疫缺乏症
 D831	Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
	以免疫調節T–細胞疾患為主的常見多樣性免疫缺乏症
 D832	Common variable immunodeficiency with autoantibodies to B- or T-cells
	伴有B–或T–細胞自體抗體的常見多樣性免疫缺乏症
 D838	Other common variable immunodeficiencies
	其他常見多樣性免疫缺乏症
 D839	Common variable immunodeficiency, unspecified
	常見多樣性免疫缺乏症，未特定
D84	Other immunodeficiencies
	其他免疫缺乏症
 D840	Lymphocyte function antigen-1 [LFA-1] defect
	淋巴球功能抗原–1[LFA-1]缺陷
 D841	Defects in the complement system
	補體系統缺陷
 D848	Other specified immunodeficiencies
	其他特定免疫缺乏症
 D849	Immunodeficiency, unspecified
	免疫缺乏症，未特定
D86	Sarcoidosis
	類肉瘤病
 D860	Sarcoidosis of lung
	肺類肉瘤病
 D861	Sarcoidosis of lymph nodes
	淋巴結類肉瘤病
 D862	Sarcoidosis of lung with sarcoidosis of lymph nodes
	肺類肉瘤病伴有淋巴結類肉瘤病
 D863	Sarcoidosis of skin
	皮膚類肉瘤病
 D868	Sarcoidosis of other sites
	其他部位之類肉瘤病
  D8681	Sarcoid meningitis
	類肉瘤腦膜炎
  D8682	Multiple cranial nerve palsies in sarcoidosis
	類肉瘤病所致的多發性顱內神經麻痺
  D8683	Sarcoid iridocyclitis
	類肉瘤虹膜睫狀體炎
  D8684	Sarcoid pyelonephritis
	類肉瘤腎盂腎炎
  D8685	Sarcoid myocarditis
	類肉瘤心肌炎
  D8686	Sarcoid arthropathy
	類肉瘤關節病變
  D8687	Sarcoid myositis
	類肉瘤肌炎
  D8689	Sarcoidosis of other sites
	其他部位的類肉瘤病
 D869	Sarcoidosis, unspecified
	類肉瘤病，未特定
D89	Other disorders involving the immune mechanism, not elsewhere classified
	涉及免疫機轉的其他疾患，他處未歸類者
 D890	Polyclonal hypergammaglobulinemia
	多株性高丙型球蛋白血症
 D891	Cryoglobulinemia
	冷凝球蛋白血症
 D892	Hypergammaglobulinemia, unspecified
	高丙型球蛋白血症，未特定
 D893	Immune reconstitution syndrome
	免疫重建症候群
 D898	Other specified disorders involving the immune mechanism, not elsewhere classified
	涉及免疫機轉的其他特定疾患，他處未歸類者
  D8981	Graft-versus-host disease
	移植物對抗宿主疾病
   D89810	Acute graft-versus-host disease
	急性移植物對抗宿主疾病
   D89811	Chronic graft-versus-host disease
	慢性移植物對抗宿主疾病
   D89812	Acute on chronic graft-versus-host disease
	慢性移植物對抗宿主疾病急性發作
   D89813	Graft-versus-host disease, unspecified
	移植物對抗宿主疾病，未特定
  D8982	Autoimmune lymphoproliferative syndrome [ALPS]
	自體免疫淋巴增生症候群
  D8989	Other specified disorders involving the immune mechanism, not elsewhere classified
	涉及免疫機轉的其他特定疾患，他處未歸類者
 D899	Disorder involving the immune mechanism, unspecified
	涉及免疫機轉之疾患，未特定
