N00	Acute nephritic syndrome
 N050	Unspecified nephritic syndrome with minor glomerular abnormality
	非特異性的腎炎症候群伴有輕微腎絲球異常
 N051	Unspecified nephritic syndrome with focal and segmental glomerular lesions
	非特異性的腎炎症候群伴有局部及節段性腎絲球病灶
 N052	Unspecified nephritic syndrome with diffuse membranous glomerulonephritis
	非特異性的腎炎症候群伴有瀰漫性膜性腎絲球腎炎
 N053	Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
	非特異性的腎炎症候群伴有瀰漫性腎絲球間質細胞增生性腎絲球腎炎
 N054	Unspecified nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
	非特異性的腎炎症候群伴有瀰漫性微血管內增生性腎絲球腎炎
 N055	Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
	非特異性的腎炎症候群伴有瀰漫性腎絲球間質微血管腎絲球腎炎
 N056	Unspecified nephritic syndrome with dense deposit disease
	非特異性的腎炎症候群伴有緻密性免疫沈積疾病
 N057	Unspecified nephritic syndrome with diffuse crescentic glomerulonephritis
	非特異性的腎炎症候群伴有瀰漫性新月形腎絲球腎炎
 N058	Unspecified nephritic syndrome with other morphologic changes
	非特異性的腎炎症候群伴有其他組織形態改變
 N059	Unspecified nephritic syndrome with unspecified morphologic changes
	非特異性的腎炎症候群伴有非特異性的組織形態改變
N06	Isolated proteinuria with specified morphological lesion
	單獨性蛋白尿伴有特異性的組織形態病灶
 N060	Isolated proteinuria with minor glomerular abnormality
	單獨性蛋白尿伴有輕微腎絲球異常
 N061	Isolated proteinuria with focal and segmental glomerular lesions
	單獨性蛋白尿伴有局部及節段性腎絲球病灶
 N062	Isolated proteinuria with diffuse membranous glomerulonephritis
	單獨性蛋白尿伴有瀰漫性膜性腎絲球腎炎
 N063	Isolated proteinuria with diffuse mesangial proliferative glomerulonephritis
	獨發性蛋白尿伴有瀰漫性腎絲球間質細胞增生性腎絲球腎炎
 N064	Isolated proteinuria with diffuse endocapillary proliferative glomerulonephritis
	單獨性蛋白尿伴有特定瀰漫性微血管內增生性腎絲球腎炎
 N065	Isolated proteinuria with diffuse mesangiocapillary glomerulonephritis
	單獨性蛋白尿伴有瀰漫性腎絲球間質微血管腎絲球腎炎
 N066	Isolated proteinuria with dense deposit disease
	單獨性蛋白尿伴有緻密性免疫沈積疾病
 N067	Isolated proteinuria with diffuse crescentic glomerulonephritis
	單獨性蛋白尿伴有瀰漫性新月形腎絲球腎炎
 N068	Isolated proteinuria with other morphologic lesion
	單獨性蛋白尿伴有其他組織形態改變
 N069	Isolated proteinuria with unspecified morphologic lesion
	單獨性蛋白尿伴有非特異性的組織形態改變
N07	Hereditary nephropathy, not elsewhere classified
	遺傳性腎病變，他處未歸類
 N070	Hereditary nephropathy, not elsewhere classified with minor glomerular abnormality
	遺傳性腎病變，他處未歸類之輕微腎絲球異常
 N071	Hereditary nephropathy, not elsewhere classified with focal and segmental glomerular lesions
	遺傳性腎病變，他處未歸類之局部及節段性腎絲球病灶
 N072	Hereditary nephropathy, not elsewhere classified with diffuse membranous glomerulonephritis
	遺傳性腎病變，他處未歸類之瀰漫性膜性腎絲球腎炎
 N073	Hereditary nephropathy, not elsewhere classified with diffuse mesangial proliferative glomerulonephritis
	遺傳性腎病變，他處未歸類之瀰漫性腎絲球間質細胞增生性腎絲球腎炎
 N074	Hereditary nephropathy, not elsewhere classified with diffuse endocapillary proliferative glomerulonephritis
	遺傳性腎病變，他處未歸類之瀰漫性微血管內增生性腎絲球腎炎
 N075	Hereditary nephropathy, not elsewhere classified with diffuse mesangiocapillary glomerulonephritis
	遺傳性腎病變，他處未歸類之瀰漫性腎絲球間質微血管腎絲球腎炎
 N076	Hereditary nephropathy, not elsewhere classified with dense deposit disease
	遺傳性腎病變，他處未歸類之緻密性免疫沈積疾病
 N077	Hereditary nephropathy, not elsewhere classified with diffuse crescentic glomerulonephritis
	遺傳性腎病變，他處未歸類之瀰漫性新月形腎絲球腎炎
 N078	Hereditary nephropathy, not elsewhere classified with other morphologic lesions
	遺傳性腎病變，他處未歸類之其他組織形態改變
 N079	Hereditary nephropathy, not elsewhere classified with unspecified morphologic lesions
	遺傳性腎病變，他處未歸類之非特異性的組織形態改變
N08	Glomerular disorders in diseases classified elsewhere
	歸類於他處疾病所致之腎絲球疾患
N10	Acute tubulo-interstitial nephritis
	急性腎小管－間質腎炎
N11	Chronic tubulo-interstitial nephritis
	慢性腎小管－間質腎炎
 N110	Nonobstructive reflux-associated chronic pyelonephritis
	與非阻塞性逆流相關的慢性腎盂腎炎
 N111	Chronic obstructive pyelonephritis
	慢性阻塞性腎盂腎炎
 N118	Other chronic tubulo-interstitial nephritis
	其他慢性腎小管－間質腎炎
 N119	Chronic tubulo-interstitial nephritis, unspecified
	慢性腎小管－間質腎炎，未特定
N12	Tubulo-interstitial nephritis, not specified as acute or chronic
	腎小管－間質腎炎，未特定為急性或慢性者
N13	Obstructive and reflux uropathy Other and unspecified hydronephrosis
	阻塞性及逆流性泌尿道病變
 N131	Hydronephrosis with ureteral stricture, not elsewhere classified
	腎水腫伴有輸尿管縮窄，他處未歸類者
 N132	Hydronephrosis with renal and ureteral calculous obstruction
	腎水腫伴有腎及輸尿管結石性阻塞
 N133	Other and unspecified hydronephrosis 
	其他及未特定之腎水腫
  N1330	Unspecified hydronephrosis
	未特定之腎水腫
  N1339	Other hydronephrosis
	其他腎水腫
 N134	Hydroureter
	輸尿管水腫
 N135	Crossing vessel and stricture of ureter without hydronephrosis
	輸尿管狹窄處有跨越之血管，未伴有腎水腫
 N136	Pyonephrosis
	腎盂蓄膿
 N137	Vesicoureteral-reflux
	膀胱輸尿管逆流
  N1370	Vesicoureteral-reflux, unspecified
	膀胱輸尿管逆流，未特定
  N1371	Vesicoureteral-reflux without reflux nephropathy
	膀胱輸尿管逆流，未伴有逆流性腎病變
  N1372	Vesicoureteral-reflux with reflux nephropathy without hydroureter
	膀胱輸尿管逆流伴有逆流性腎病變，未伴有輸尿管水腫
   N13721	Vesicoureteral-reflux with reflux nephropathy without hydroureter, unilateral
	單側性膀胱輸尿管逆流伴有逆流性腎病變, 未伴有輸尿管水腫
   N13722	Vesicoureteral-reflux with reflux nephropathy without hydroureter, bilateral
	雙側性膀胱輸尿管逆流伴有逆流性腎病變, 未伴有輸尿管水腫
   N13729	Vesicoureteral-reflux with reflux nephropathy without hydroureter, unspecified
	膀胱輸尿管逆流伴有逆流性腎病變, 未伴有輸尿管水腫,，未特定
  N1373	Vesicoureteral-reflux with reflux nephropathy with hydroureter
	膀胱輸尿管逆流伴有逆流性腎病變，伴有輸尿管水腫
   N13731	Vesicoureteral-reflux with reflux nephropathy with hydroureter, unilateral
	單側性膀胱輸尿管逆流伴有逆流性腎病變及輸尿管水腫
   N13732	Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral
	雙側性膀胱輸尿管逆流伴有逆流性腎病變及輸尿管水腫
   N13739	Vesicoureteral-reflux with reflux nephropathy with hydroureter, unspecified
	膀胱輸尿管逆流伴有逆流性腎病變及輸尿管水腫，未特定
 N138	Other obstructive and reflux uropathy
	其他阻塞性及逆流性泌尿道病變
 N139	Obstructive and reflux uropathy, unspecified
	阻塞性及逆流性泌尿道病變，未特定
N14	Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
	藥物及重金屬所致之腎小管－間質及腎小管病況
 N140	Analgesic nephropathy
	止痛藥所致之腎病變
 N141	Nephropathy induced by other drugs, medicaments and biological substances
	其他藥物、藥劑及生物性製劑導致之腎病變
 N142	Nephropathy induced by unspecified drug, medicament or biological substance
	未特定藥物、藥劑或生物性製劑導致之腎病變
 N143	Nephropathy induced by heavy metals
	重金屬導致之腎病變
 N144	Toxic nephropathy, not elsewhere classified
	中毒性腎病變，他處未歸類者
N15	Other renal tubulo-interstitial diseases
	其他腎小管－間質疾病
 N150	Balkan nephropathy
	巴爾幹半島腎病變
 N151	Renal and perinephric abscess
	腎及腎周圍膿瘍
 N158	Other specified renal tubulo-interstitial diseases
	其他特定之腎小管－間質疾病
 N159	Renal tubulo-interstitial disease, unspecified
	腎小管－間質疾病，未特定
N16	Renal tubulo-interstitial disorders in diseases classified elsewhere
	歸類於他處疾患所致之腎小管－間質疾患
N17	Acute kidney faillure
	急性腎衰竭
 N170	Acute kidney failure with tubular necrosis
	急性腎衰竭伴有腎小管壞死
 N171	Acute kidney failure with acute cortical necrosis
	急性腎衰竭伴有急性腎皮質壞死
 N172	Acute kidney failure with medullary necrosis
	急性腎衰竭伴有腎髓質壞死
 N178	Other acute kidney failure
	其他急性腎衰竭
 N179	Acute kidney failure, unspecified
	急性腎衰竭，未特定
N18	Chronic kidney disease (CKD)
	慢性腎臟疾病
 N181	Chronic kidney disease, stage I
	第一期慢性腎臟疾病
 N182	Chronic kidney disease, stage II (mild)
	第二期慢性腎臟疾病(輕度)
 N183	Chronic kidney disease, stage III (moderate)
	第三期慢性腎臟疾病(中度)
 N184	Chronic kidney disease, stage IV (severe)
	第四期慢性腎臟疾病(重度)
 N185	Chronic kidney disease, stage V
	第五期慢性腎臟疾病
 N186	End stage renal disease
	末期腎疾病
 N189	Chronic kidney disease, unspecified
	慢性腎臟疾病，未特定
N19	Unspecified kidney failure
	未特定之腎衰竭
N20	Calculus of kidney and ureter
	腎結石及輸尿管結石
 N200	Calculus of kidney
	腎結石
 N201	Calculus of ureter
	輸尿管結石
 N202	Calculus of kidney with calculus of ureter
	腎結石伴有輸尿管結石
 N209	Urinary calculus, unspecified
	泌尿道結石，未特定
N21	Calculus of lower urinary tract
	下泌尿道結石
 N210	Calculus in bladder
	膀胱內結石
 N211	Calculus in urethra
	尿道內結石
 N218	Other lower urinary tract calculus
	其他下泌尿道結石
 N219	Calculus of lower urinary tract, unspecified
	下泌尿道結石，未特定
N22	Calculus of urinary tract in diseases classified elsewhere
	歸類於他處疾病所致之泌尿道結石
N23	Unspecified renal colic
	未特定之腎絞痛
N25	Disorders resulting from impaired renal tubular function
	腎小管功能不良所致之疾患
 N250	Renal osteodystrophy
	腎性骨發育不全
 N251	Nephrogenic diabetes insipidus
	腎源性尿崩症
 N258	Other disorders resulting from impaired renal tubular function
	腎小管功能不良所致之其他疾患
  N2581	Secondary hyperparathyroidism of renal origin
	腎源性續發性副甲狀腺機能亢進症
  N2589	Other disorders resulting from impaired renal tubular function
	腎小管功能不良所致之其他疾患
 N259	Disorder resulting from impaired renal tubular function, unspecified
	腎小管功能不良所致之疾患，未特定
N26	Unspecified contracted kidney
	未特定腎臟萎縮
 N261	Atrophy of kidney (terminal)
	腎萎縮(末期)
 N262	Page kidney
	Page腎臟
 N269	Renal sclerosis NOS
	腎硬化
N27	Small kidney of unknown cause
	不明原因之小腎臟
 N270	Small kidney, unilateral
	單側性小腎臟
 N271	Small kidney, bilateral
	雙側性小腎臟
 N279	Small kidney, unspecified
	側性小腎臟，未特定
N28	Other disorders of kidney and ureter, not elsewhere classified
	腎及輸尿管其他疾患，他處未歸類者
 N280	Ischemia and infarction of kidney
	腎缺血及梗塞
 N281	Cyst of kidney, acquired
	後天性腎囊腫
 N288	Other specified disorders of kidney and ureter
	其他特定之腎及輸尿管疾患
  N2881	Hypertrophy of kidney
	腎肥大
  N2882	Megaloureter
	巨輸尿管症
  N2883	Nephroptosis
	腎下垂
  N2884	Pyelitis cystica
	囊性腎盂炎
  N2885	Pyeloureteritis cystica
	囊性腎盂輸尿管炎
  N2886	Ureteritis cystica
	囊性輸尿管炎
  N2889	Other specified disorders of kidney and ureter
	其他特定之腎及輸尿管疾患
 N289	Disorder of kidney and ureter, unspecified
	腎及輸尿管疾患，未特定
N29	Other disorders of kidney and ureter in diseases classified elsewhere
	歸類於他處疾病所致之其他腎及輸尿管疾患
N30	Cystitis
	膀胱炎
 N300	Acute cystitis
	急性膀胱炎
  N3000	Acute cystitis without hematuria
	急性膀胱炎未伴有血尿
  N3001	Acute cystitis with hematuria
	急性膀胱炎伴有血尿
 N301	Interstitial cystitis (chronic)
	(慢性)間質性膀胱炎
  N3010	Interstitial cystitis (chronic) without hematuria
	(慢性)間質性膀胱炎未伴有血尿
  N3011	Interstitial cystitis (chronic) with hematuria
	(慢性)間質性膀胱炎伴有血尿
 N302	Other chronic cystitis
	其他慢性膀胱炎
  N3020	Other chronic cystitis without hematuria
	其他慢性膀胱炎未伴有血尿
  N3021	Other chronic cystitis with hematuria
	其他慢性膀胱炎伴有血尿
 N303	Trigonitis
	膀胱三角炎
  N3030	Trigonitis without hematuria
	膀胱三角炎未伴有血尿
  N3031	Trigonitis with hematuria
	膀胱三角炎伴有血尿
 N304	Irradiation cystitis
	放射線性膀胱炎
  N3040	Irradiation cystitis without hematuria
	放射線性膀胱炎未伴有血尿
  N3041	Irradiation cystitis with hematuria
	放射線性膀胱炎伴有血尿
 N308	Other cystitis
	慢性膀胱炎
  N3080	Other cystitis without hematuria
	其他膀胱炎未伴有血尿
  N3081	Other cystitis with hematuria
	其他膀胱炎伴有血尿
 N309	Cystitis, unspecified
	未特定之膀胱炎
  N3090	Cystitis, unspecified without hematuria
	未特定之膀胱炎未伴有血尿
  N3091	Cystitis, unspecified with hematuria
	未特定之膀胱炎伴有血尿
N31	Neuromuscular dysfunction of bladder, not elsewhere classified
	膀胱神經肌肉機功能障礙，他處未歸類者
 N310	Uninhibited neuropathic bladder, not elsewhere classified
	未被抑制性神經病變性膀胱，他處未歸類者
 N311	Reflex neuropathic bladder, not elsewhere classified
	反射性神經病變性膀胱，他處未歸類者
 N312	Flaccid neuropathic bladder, not elsewhere classified
	鬆弛性神經病變性膀胱，他處未歸類者
 N318	Other neuromuscular dysfunction of bladder
	膀胱其他神經肌肉功能障礙
 N319	Neuromuscular dysfunction of bladder, unspecified
	膀胱神經肌肉機功能障礙，未特定
N32	Other disorders of bladder
	其他膀胱疾患
 N320	Bladder-neck obstruction
	膀胱頸阻塞
 N321	Vesicointestinal fistula
	膀胱－腸瘻管
 N322	Vesical fistula, not elsewhere classified
	膀胱瘻管，他處未歸類者
 N323	Diverticulum of bladder
	膀胱憩室
 N328	Other specified disorders of bladder
	其他特定的膀胱疾患
  N3281	Overactive bladder
	膀胱過動症
  N3289	Other specified disorders of bladder
	其他特定的膀胱疾患
 N329	Bladder disorder, unspecified
	膀胱疾患，未特定
N33	Bladder disorders in diseases classified elsewhere
	歸類於他處疾病所致之膀胱疾患
N34	Urethritis and urethral syndrome
	尿道炎及尿道症候群
 N340	Urethral abscess
	尿道膿瘍
 N341	Nonspecific urethritis
	非特異性的尿道炎
 N342	Other urethritis
	其他尿道炎
 N343	Urethral syndrome, unspecified
	尿道症候群，未特定
N35	Urethral stricture
	尿道狹窄
 N350	Post-traumatic urethral stricture
	創傷後尿道狹窄
  N3501	Post-traumatic urethral stricture, male
	男性創傷後尿道狹窄
   N35010	Post-traumatic urethral stricture, male, meatal
	男性創傷後尿道開口狹窄
   N35011	Post-traumatic bulbous urethral stricture
	創傷後球狀尿道狹窄
   N35012	Post-traumatic membranous urethral stricture
	創傷後膜性尿道狹窄
   N35013	Post-traumatic anterior urethral stricture
	創傷後前尿道狹窄
   N35014	Post-traumatic urethral stricture, male, unspecified
	男性創傷後尿道狹窄，未特定部位，未特定
  N3502	Post-traumatic urethral stricture, female
	女性創傷後尿道狹窄
   N35021	Urethral stricture due to childbirth
	因生產所致之尿道狹窄
   N35028	Other post-traumatic urethral stricture, female
	女性其他創傷後尿道狹窄
 N351	Postinfective urethral stricture, not elsewhere classified
	感染後尿道狹窄，他處未歸類者
  N3511	Postinfective urethral stricture, not elsewhere classified, male
	男性感染後尿道狹窄，他處未歸類者
   N35111	Postinfective urethral stricture, not elsewhere classified, male, meatal
	男性感染後尿道開口狹窄，他處未歸類者 
   N35112	Postinfective bulbous urethral stricture, not elsewhere classified
	感染後球狀尿道狹窄，他處未歸類者
   N35113	Postinfective membranous urethral stricture, not elsewhere classified
	感染後膜性尿道狹窄，他處未歸類者
   N35114	Postinfective anterior urethral stricture, not elsewhere classified
	感染後前段尿道狹窄，他處未歸類者
   N35119	Postinfective urethral stricture, not elsewhere classified, male, unspecified
	男性感染後尿道狹窄，他處未歸類者 ，未特定
  N3512	Postinfective urethral stricture, not elsewhere classified, female
	女性感染後尿道狹窄，他處未歸類者
 N358	Other urethral stricture
	其他尿道狹窄
 N359	Urethral stricture, unspecified
	尿道狹窄，未特定
N36	Other disorders of urethra
	尿道其他疾患
 N360	Urethral fistula
	尿道瘻管
 N361	Urethral diverticulum
	尿道憩室
 N362	Urethral caruncle
	尿道肉阜
 N364	Urethral functional and muscular disorders
	尿道功能及肌肉疾患
  N3641	Hypermobility of urethra
	尿道過動症
  N3642	Intrinsic sphincter deficiency (ISD)
	內因性括約肌內缺損
  N3643	Combined hypermobility of urethra and intrinsic sphincter deficiency
	尿道過動合併內因性括約肌內缺損
  N3644	Muscular disorders of urethra
	尿道肌肉疾患
 N368	Other specified disorders of urethra
	尿道其他特定疾患
 N369	Urethral disorder, unspecified
	尿道疾患，未特定
N37	Urethral disorders in diseases classified elsewhere
	歸類於他處疾病所致之尿道疾患
N39	Other disorders of urinary system
	泌尿系統其他疾患
 N390	Urinary tract infection, site not specified
	未特定部位之泌尿道感染症
 N393	Stress incontinence (female) (male)
	應力性尿失禁
 N394	Other specified urinary incontinence
	其他特定之尿失禁
  N3941	Urge incontinence
	急迫性尿失禁
  N3942	Incontinence without sensory awareness
	未伴有感覺性尿失禁
  N3943	Post-void dribbling
	排尿後滴尿
  N3944	Nocturnal enuresis
	夜間遺尿
  N3945	Continuous leakage
	持續性漏尿
  N3946	Mixed incontinence
	混合性尿失禁
  N3949	Other specified urinary incontinence
	其他特定之尿失禁
   N39490	Overflow incontinence
	滿溢性尿失禁
   N39498	Other specified urinary incontinence
	其他特定之尿失禁
 N398	Other specified disorders of urinary system
	其他特定之泌尿系統疾患
 N399	Disorder of urinary system, unspecified
	泌尿系統疾患，未特定
N40	Enlarged prostate (EP)
	攝護腺增大
 N400	Enlarged prostate without lower urinary tract symptoms (LUTS)
	攝護腺增大未伴有下泌尿道症狀
 N401	Enlarged prostate with lower urinary tract symptoms (LUTS)
	攝護腺增大伴有下泌尿道症狀
N41	Inflammatory diseases of prostate
	攝護腺炎性疾病
 N410	Acute prostatitis
	急性攝護腺炎
  N4100	Acute prostatitis without hematuria
	急性攝護腺炎未伴有血尿
  N4101	Acute prostatitis with hematuria
	急性攝護腺炎伴血尿
 N411	Chronic prostatitis
	慢性攝護腺炎
  N4110	Chronic prostatitis without hematuria
	慢性攝護腺炎未伴有血尿
  N4111	Chronic prostatitis with hematuria
	慢性攝護腺炎伴血尿
 N412	Abscess of prostate
	攝護腺膿瘍
 N413	Prostatocystitis
	攝護腺膀胱炎
 N414	Granulomatous prostatitis
	肉芽性攝護腺炎
 N418	Other inflammatory diseases of prostate
	攝護腺其他炎性疾病
 N419	Inflammatory disease of prostate, unspecified
	攝護腺炎性疾病，未特定
N42	Other and unspecified disorders of prostate
	其他及未特定之攝護腺疾患
 N420	Calculus of prostate
	攝護腺結石
 N421	Congestion and hemorrhage of prostate
	攝護腺充血及出血
 N423	Dysplasia of prostate
	攝護腺發育不良
 N428	Other specified disorders of prostate
	其他特定之攝護腺疾患
  N4281	Prostatodynia syndrome
	攝護腺疼痛症候群
  N4282	Prostatosis syndrome
	攝護腺疾病症候群
  N4289	Other specified disorders of prostate
	其他特定之攝護腺疾患
 N429	Disorder of prostate, unspecified
	攝護腺疾患，未特定
N43	Hydrocele and spermatocele
	陰囊水腫和精液囊腫
 N430	Encysted hydrocele
	被囊性陰囊水腫
 N431	Infected hydrocele
	感染性陰囊水腫
 N432	Other hydrocele
	其他陰囊水腫
 N433	Hydrocele, unspecified
	陰囊水腫，未特定
 N434	Spermatocele of epididymis
	副睪丸精液囊腫
  N4340	Spermatocele of epididymis, unspecified
	副睪丸精液囊腫,未特定
  N4341	Spermatocele of epididymis, single
	單一性副睪丸精液囊腫
  N4342	Spermatocele of epididymis, multiple
	多發性副睪丸精液囊腫
N44	Noninflammatory disorders of testis
	非炎性睪丸疾患
 N440	Torsion of testis
	睪丸扭轉
  N4400	Torsion of testis, unspecified
	睪丸扭轉,未特定
  N4401	Extravaginal torsion of spermatic cord
	精索鞘膜外扭轉
  N4402	Intravaginal torsion of spermatic cord
	精索鞘膜內扭轉
  N4403	Torsion of appendix testis
	睪丸附件扭轉
  N4404	Torsion of appendix epididymis
	副睪丸附件扭轉
 N441	Cyst of tunica albuginea testis
	睪丸鞘膜白膜囊腫
 N442	Benign cyst of testis
	睪丸良性囊腫
 N448	Other noninflammatory disorders of the testis
	睪丸其他非炎性疾患
N45	Orchitis and epididymitis
	睪丸炎和副睪丸炎
 N451	Epididymitis
	副睪丸炎
 N452	Orchitis
	睪丸炎
 N453	Epididymo-orchitis
	副睪－睪丸炎
 N454	Abscess of epididymis or testis
	副睪丸或睪丸膿瘍
N46	Male infertility
	男性不孕症
 N460	Azoospermia
	無精症
  N4601	Organic azoospermia
	器質性無精症
  N4602	Azoospermia due to extratesticular causes
	無精症源於睪丸外因素
   N46021	Azoospermia due to drug therapy
	無精症源於藥物治療
   N46022	Azoospermia due to infection
