S00	Superficial injury of head
	左側眼瞼及眼周圍區域之其他表淺性叮咬之後續照護
    S00272S	Other superficial bite of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域之其他表淺性叮咬之後遺症
   S00279	Other superficial bite of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域之其他表淺性叮咬
    S00279A	Other superficial bite of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域之其他表淺性叮咬之初期照護
    S00279D	Other superficial bite of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域之其他表淺性叮咬之後續照護
    S00279S	Other superficial bite of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域之其他表淺性叮咬之後遺症
 S003	Superficial injury of nose
	鼻子表淺損傷
  S0030	Unspecified superficial injury of nose
	鼻子表淺損傷
    S0030xA	Unspecified superficial injury of nose, initial encounter
	鼻子表淺損傷之初期照護
    S0030xD	Unspecified superficial injury of nose, subsequent encounter
	鼻子表淺損傷之後續照護
    S0030xS	Unspecified superficial injury of nose, sequela
	鼻子表淺損傷之後遺症
  S0031	Abrasion of nose
	鼻子擦傷
    S0031xA	Abrasion of nose, initial encounter
	鼻子擦傷之初期照護
    S0031xD	Abrasion of nose, subsequent encounter
	鼻子擦傷之後續照護
    S0031xS	Abrasion of nose, sequela
	鼻子擦傷之後遺症
  S0032	Blister (nonthermal) of nose
	鼻子水泡(非熱性)
    S0032xA	Blister (nonthermal) of nose, initial encounter
	鼻子水泡(非熱性)之初期照護
    S0032xD	Blister (nonthermal) of nose, subsequent encounter
	鼻子水泡(非熱性)之後續照護
    S0032xS	Blister (nonthermal) of nose, sequela
	鼻子水泡(非熱性)之後遺症
  S0033	Contusion of nose
	鼻子鈍傷
    S0033xA	Contusion of nose, initial encounter
	鼻子鈍傷之初期照護
    S0033xD	Contusion of nose, subsequent encounter
	鼻子鈍傷之後續照護
    S0033xS	Contusion of nose, sequela
	鼻子鈍傷之後遺症
  S0034	External constriction of nose
	鼻子外在攣縮
    S0034xA	External constriction of nose, initial encounter
	鼻子外在攣縮之初期照護
    S0034xD	External constriction of nose, subsequent encounter
	鼻子外在攣縮之後續照護
    S0034xS	External constriction of nose, sequela
	鼻子外在攣縮之後遺症
  S0035	Superficial foreign body of nose
	鼻子表淺性異物
    S0035xA	Superficial foreign body of nose, initial encounter
	鼻子表淺性異物之初期照護
    S0035xD	Superficial foreign body of nose, subsequent encounter
	鼻子表淺性異物之後續照護
    S0035xS	Superficial foreign body of nose, sequela
	鼻子表淺性異物之後遺症
  S0036	Insect bite (nonvenomous) of nose
	鼻子昆蟲叮咬(無毒性)
    S0036xA	Insect bite (nonvenomous) of nose, initial encounter
	鼻子昆蟲叮咬(無毒性)之初期照護
    S0036xD	Insect bite (nonvenomous) of nose, subsequent encounter
	鼻子昆蟲叮咬(無毒性)之後續照護
    S0036xS	Insect bite (nonvenomous) of nose, sequela
	鼻子昆蟲叮咬(無毒性)之後遺症
  S0037	Other superficial bite of nose
	鼻子其他表淺性叮咬
    S0037xA	Other superficial bite of nose, initial encounter
	鼻子其他表淺性叮咬之初期照護
    S0037xD	Other superficial bite of nose, subsequent encounter
	鼻子其他表淺咬傷之後續照護
    S0037xS	Other superficial bite of nose, sequela
	鼻子其他表淺咬傷之後遺症
 S004	Superficial injury of ear
	耳表淺損傷
  S0040	Unspecified superficial injury of ear
	耳表淺損傷
   S00401	Unspecified superficial injury of right ear
	右耳表淺損傷
    S00401A	Unspecified superficial injury of right ear, initial encounter
	右耳表淺損傷之初期照護
    S00401D	Unspecified superficial injury of right ear, subsequent encounter
	右耳表淺損傷之後續照護
    S00401S	Unspecified superficial injury of right ear, sequela
	右耳表淺損傷之後遺症
   S00402	Unspecified superficial injury of left ear
	左耳表淺損傷
    S00402A	Unspecified superficial injury of left ear, initial encounter
	左耳表淺損傷之初期照護
    S00402D	Unspecified superficial injury of left ear, subsequent encounter
	左耳表淺損傷之後續照護
    S00402S	Unspecified superficial injury of left ear, sequela
	左耳表淺損傷之後遺症
   S00409	Unspecified superficial injury of unspecified ear
	未特定側性耳表淺損傷
    S00409A	Unspecified superficial injury of unspecified ear, initial encounter
	未特定側性耳表淺損傷之初期照護
    S00409D	Unspecified superficial injury of unspecified ear, subsequent encounter
	未特定側性耳表淺損傷之後續照護
    S00409S	Unspecified superficial injury of unspecified ear, sequela
	未特定側性耳表淺損傷之後遺症
  S0041	Abrasion of ear
	耳擦傷
   S00411	Abrasion of right ear
	右耳擦傷
    S00411A	Abrasion of right ear, initial encounter
	右耳擦傷之初期照護
    S00411D	Abrasion of right ear, subsequent encounter
	右耳擦傷之後續照護
    S00411S	Abrasion of right ear, sequela
	右耳擦傷之後遺症
   S00412	Abrasion of left ear
	左耳擦傷
    S00412A	Abrasion of left ear, initial encounter
	左耳擦傷之初期照護
    S00412D	Abrasion of left ear, subsequent encounter
	左耳擦傷之後續照護
    S00412S	Abrasion of left ear, sequela
	左耳擦傷之後遺症
   S00419	Abrasion of unspecified ear
	未特定側性耳擦傷
    S00419A	Abrasion of unspecified ear, initial encounter
	未特定側性耳擦傷之初期照護
    S00419D	Abrasion of unspecified ear, subsequent encounter
	未特定側性耳擦傷之後續照護
    S00419S	Abrasion of unspecified ear, sequela
	未特定側性耳擦傷之後遺症
  S0042	Blister (nonthermal) of ear
	耳水泡(非熱性)
   S00421	Blister (nonthermal) of right ear
	右耳水泡(非熱性)
    S00421A	Blister (nonthermal) of right ear, initial encounter
	右耳水泡(非熱性)之初期照護
    S00421D	Blister (nonthermal) of right ear, subsequent encounter
	右耳水泡(非熱性)之後續照護
    S00421S	Blister (nonthermal) of right ear, sequela
	右耳水泡(非熱性)之後遺症
   S00422	Blister (nonthermal) of left ear
	左耳水泡(非熱性)
    S00422A	Blister (nonthermal) of left ear, initial encounter
	左耳水泡(非熱性)之初期照護
    S00422D	Blister (nonthermal) of left ear, subsequent encounter
	左耳水泡(非熱性)之後續照護
    S00422S	Blister (nonthermal) of left ear, sequela
	左耳水泡(非熱性)之後遺症
   S00429	Blister (nonthermal) of unspecified ear
	未特定側性耳水泡(非熱性)
    S00429A	Blister (nonthermal) of unspecified ear, initial encounter
	未特定側性耳水泡(非熱性)之初期照護
    S00429D	Blister (nonthermal) of unspecified ear, subsequent encounter
	未特定側性耳水泡(非熱性)之後續照護
    S00429S	Blister (nonthermal) of unspecified ear, sequela
	未特定側性耳水泡(非熱性)之後遺症
  S0043	Contusion of ear
	耳鈍傷
   S00431	Contusion of right ear
	右耳鈍傷
    S00431A	Contusion of right ear, initial encounter
	右耳鈍傷之初期照護
    S00431D	Contusion of right ear, subsequent encounter
	右耳鈍傷之後續照護
    S00431S	Contusion of right ear, sequela
	右耳鈍傷之後遺症
   S00432	Contusion of left ear
	左耳鈍傷
    S00432A	Contusion of left ear, initial encounter
	左耳鈍傷之初期照護
    S00432D	Contusion of left ear, subsequent encounter
	左耳鈍傷之後續照護
    S00432S	Contusion of left ear, sequela
	左耳鈍傷之後遺症
   S00439	Contusion of unspecified ear
	未特定側性耳鈍傷
    S00439A	Contusion of unspecified ear, initial encounter
	未特定側性耳鈍傷之初期照護
    S00439D	Contusion of unspecified ear, subsequent encounter
	未特定側性耳鈍傷之後續照護
    S00439S	Contusion of unspecified ear, sequela
	未特定側性耳鈍傷之後遺症
  S0044	External constriction of ear
	耳外在攣縮
   S00441	External constriction of right ear
	右耳外在攣縮
    S00441A	External constriction of right ear, initial encounter
	右耳外在攣縮之初期照護
    S00441D	External constriction of right ear, subsequent encounter
	右耳外在攣縮之後續照護
    S00441S	External constriction of right ear, sequela
	右耳外在攣縮之後遺症
   S00442	External constriction of left ear
	左耳外在攣縮
    S00442A	External constriction of left ear, initial encounter
	左耳外在攣縮之初期照護
    S00442D	External constriction of left ear, subsequent encounter
	左耳外在攣縮之後續照護
    S00442S	External constriction of left ear, sequela
	左耳外在攣縮之後遺症
   S00449	External constriction of unspecified ear
	未特定側性耳外在攣縮
    S00449A	External constriction of unspecified ear, initial encounter
	未特定側性耳外在攣縮之初期照護
    S00449D	External constriction of unspecified ear, subsequent encounter
	未特定側性耳外在攣縮之後續照護
    S00449S	External constriction of unspecified ear, sequela
	未特定側性耳外在攣縮之後遺症
  S0045	Superficial foreign body of ear
	耳表淺性異物
   S00451	Superficial foreign body of right ear
	右耳表淺性異物
    S00451A	Superficial foreign body of right ear, initial encounter
	右耳 表淺性異物之初期照護
    S00451D	Superficial foreign body of right ear, subsequent encounter
	右耳 表淺性異物之後續照護
    S00451S	Superficial foreign body of right ear, sequela
	右耳 表淺性異物之後遺症
   S00452	Superficial foreign body of left ear
	左耳表淺性異物之
    S00452A	Superficial foreign body of left ear, initial encounter
	左耳 表淺性異物之初期照護
    S00452D	Superficial foreign body of left ear, subsequent encounter
	左耳 表淺性異物之後續照護
    S00452S	Superficial foreign body of left ear, sequela
	左耳 表淺性異物之後遺症
   S00459	Superficial foreign body of unspecified ear
	未特定側性耳表淺性異物
    S00459A	Superficial foreign body of unspecified ear, initial encounter
	未特定側性耳 表淺性異物之初期照護
    S00459D	Superficial foreign body of unspecified ear, subsequent encounter
	未特定側性耳 表淺性異物之後續照護
    S00459S	Superficial foreign body of unspecified ear, sequela
	未特定側性耳 表淺性異物之後遺症
  S0046	Insect bite (nonvenomous) of ear
	耳昆蟲叮咬(無毒性)
   S00461	Insect bite (nonvenomous) of right ear
	右耳昆蟲叮咬(無毒性)
    S00461A	Insect bite (nonvenomous) of right ear, initial encounter
	右耳昆蟲叮咬(無毒性)之初期照護
    S00461D	Insect bite (nonvenomous) of right ear, subsequent encounter
	右耳昆蟲叮咬(無毒性)之後續照護
    S00461S	Insect bite (nonvenomous) of right ear, sequela
	右耳昆蟲叮咬(無毒性)之後遺症
   S00462	Insect bite (nonvenomous) of left ear
	左耳昆蟲叮咬(無毒性)
    S00462A	Insect bite (nonvenomous) of left ear, initial encounter
	左耳昆蟲叮咬(無毒性)之初期照護
    S00462D	Insect bite (nonvenomous) of left ear, subsequent encounter
	左耳昆蟲叮咬(無毒性)之後續照護
    S00462S	Insect bite (nonvenomous) of left ear, sequela
	左外耳昆蟲叮咬(無毒性)之後遺症
   S00469	Insect bite (nonvenomous) of unspecified ear
	未特定側性耳昆蟲叮咬(無毒性)
    S00469A	Insect bite (nonvenomous) of unspecified ear, initial encounter
	未特定側性耳昆蟲叮咬(無毒性)之初期照護
    S00469D	Insect bite (nonvenomous) of unspecified ear, subsequent encounter
	未特定側性耳昆蟲叮咬(無毒性)之後續照護
    S00469S	Insect bite (nonvenomous) of unspecified ear, sequela
	未特定側性耳昆蟲叮咬(無毒性)之後遺症
  S0047	Other superficial bite of ear
	耳其他表淺性叮咬
   S00471	Other superficial bite of right ear
	右耳其他表淺性叮咬
    S00471A	Other superficial bite of right ear, initial encounter
	右耳其他表淺性叮咬之初期照護
    S00471D	Other superficial bite of right ear, subsequent encounter
	右耳其他表淺性叮咬之後續照護
    S00471S	Other superficial bite of right ear, sequela
	右耳其他表淺性叮咬之後遺症
   S00472	Other superficial bite of left ear
	左耳其他表淺性叮咬
    S00472A	Other superficial bite of left ear, initial encounter
	左耳其他表淺性叮咬之初期照護
    S00472D	Other superficial bite of left ear, subsequent encounter
	左耳其他表淺性叮咬之後續照護
    S00472S	Other superficial bite of left ear, sequela
	左耳其他表淺性叮咬之後遺症
   S00479	Other superficial bite of unspecified ear
	未特定側性耳其他表淺性叮咬
    S00479A	Other superficial bite of unspecified ear, initial encounter
	未特定側性耳其他表淺性叮咬之初期照護
    S00479D	Other superficial bite of unspecified ear, subsequent encounter
	未特定側性耳其他表淺性叮咬之後續照護
    S00479S	Other superficial bite of unspecified ear, sequela
	未特定側性耳其他表淺性叮咬之後遺症
 S005	Superficial injury of lip and oral cavity
	唇及口腔表淺損傷
  S0050	Unspecified superficial injury of lip and oral cavity
	唇及口腔未特定表淺損傷
   S00501	Unspecified superficial injury of lip
	唇表淺損傷
    S00501A	Unspecified superficial injury of lip, initial encounter
	唇表淺損傷之初期照護
    S00501D	Unspecified superficial injury of lip, subsequent encounter
	唇表淺損傷之後續照護
    S00501S	Unspecified superficial injury of lip, sequela
	唇表淺損傷之後遺症
   S00502	Unspecified superficial injury of oral cavity
	口腔表淺損傷
    S00502A	Unspecified superficial injury of oral cavity, initial encounter
	口腔表淺損傷之初期照護
    S00502D	Unspecified superficial injury of oral cavity, subsequent encounter
	口腔表淺損傷之後續照護
    S00502S	Unspecified superficial injury of oral cavity, sequela
	口腔表淺損傷之後遺症
  S0051	Abrasion of lip and oral cavity
	唇及口腔擦傷
   S00511	Abrasion of lip
	唇擦傷
    S00511A	Abrasion of lip, initial encounter
	唇擦傷之初期照護
    S00511D	Abrasion of lip, subsequent encounter
	唇擦傷之後續照護
    S00511S	Abrasion of lip, sequela
	唇擦傷之後遺症
   S00512	Abrasion of oral cavity
	口腔擦傷
    S00512A	Abrasion of oral cavity, initial encounter
	口腔擦傷之初期照護
    S00512D	Abrasion of oral cavity, subsequent encounter
	口腔擦傷之後續照護
    S00512S	Abrasion of oral cavity, sequela
	口腔擦傷之後遺症
  S0052	Blister (nonthermal) of lip and oral cavity
	唇及口腔水泡(非熱性)
   S00521	Blister (nonthermal) of lip
	唇水泡(非熱性)
    S00521A	Blister (nonthermal) of lip, initial encounter
