H00	Hordeolum and chalazion
   H02009	Unspecified entropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼內翻
  H0201	Cicatricial entropion of eyelid
	瘢痕性眼瞼內翻
   H02011	Cicatricial entropion of right upper eyelid
	右側上眼瞼瘢痕性眼瞼內翻
   H02012	Cicatricial entropion of right lower eyelid
	右側下眼瞼瘢痕性眼瞼內翻
   H02013	Cicatricial entropion of right eye, unspecified eyelid
	右側眼瘢痕性眼瞼內翻，未特定上或下眼瞼
   H02014	Cicatricial entropion of left upper eyelid
	左側上眼瞼瘢痕性眼瞼內翻
   H02015	Cicatricial entropion of left lower eyelid
	左側下眼瞼瘢痕性眼瞼內翻
   H02016	Cicatricial entropion of left eye, unspecified eyelid
	左側眼瘢痕性眼瞼內翻，未特定上或下眼瞼
   H02019	Cicatricial entropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之瘢痕性眼瞼內翻
  H0202	Mechanical entropion of eyelid
	機械性眼瞼內翻
   H02021	Mechanical entropion of right upper eyelid
	右側上眼瞼機械性眼瞼內翻
   H02022	Mechanical entropion of right lower eyelid
	右側下眼瞼機械性眼瞼內翻
   H02023	Mechanical entropion of right eye, unspecified eyelid
	右側眼機械性眼瞼內翻，未特定上或下眼瞼
   H02024	Mechanical entropion of left upper eyelid
	左側上眼瞼機械性眼瞼內翻
   H02025	Mechanical entropion of left lower eyelid
	左側下眼瞼機械性眼瞼內翻
   H02026	Mechanical entropion of left eye, unspecified eyelid
	左側眼機械性眼瞼內翻，未特定上或下眼瞼
   H02029	Mechanical entropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之機械性眼瞼內翻
  H0203	Senile entropion of eyelid
	老年性眼瞼內翻
   H02031	Senile entropion of right upper eyelid
	右側上眼瞼老年性眼瞼內翻
   H02032	Senile entropion of right lower eyelid
	右側下眼瞼老年性眼瞼內翻
   H02033	Senile entropion of right eye, unspecified eyelid
	右側眼老年性眼瞼內翻，未特定上或下眼瞼
   H02034	Senile entropion of left upper eyelid
	左側上眼瞼老年性眼瞼內翻
   H02035	Senile entropion of left lower eyelid
	左側下眼瞼老年性眼瞼內翻
   H02036	Senile entropion of left eye, unspecified eyelid
	左側眼老年性眼瞼內翻，未特定上或下眼瞼
   H02039	Senile entropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之老年性眼瞼內翻
  H0204	Spastic entropion of eyelid
	痙攣性眼瞼內翻
   H02041	Spastic entropion of right upper eyelid
	右側上眼瞼痙攣性眼瞼內翻
   H02042	Spastic entropion of right lower eyelid
	右側下眼瞼痙攣性眼瞼內翻
   H02043	Spastic entropion of right eye, unspecified eyelid
	右側眼痙攣性眼瞼內翻，未特定上或下眼瞼
   H02044	Spastic entropion of left upper eyelid
	左側上眼瞼痙攣性眼瞼內翻
   H02045	Spastic entropion of left lower eyelid
	左側下眼瞼痙攣性眼瞼內翻
   H02046	Spastic entropion of left eye, unspecified eyelid
	左側眼痙攣性眼瞼內翻，未特定上或下眼瞼
   H02049	Spastic entropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之痙攣性眼瞼內翻
  H0205	Trichiasis without entropian
	無眼瞼內翻之倒睫
   H02051	Trichiasis without entropian right upper eyelid
	右側上眼瞼無眼瞼內翻之倒睫
   H02052	Trichiasis without entropian right lower eyelid
	右側下眼瞼無眼瞼內翻之倒睫
   H02053	Trichiasis without entropian right eye, unspecified eyelid
	右側眼無眼瞼內翻之倒睫，未特定上或下眼瞼
   H02054	Trichiasis without entropian left upper eyelid
	左側上眼瞼無眼瞼內翻之倒睫
   H02055	Trichiasis without entropian left lower eyelid
	左側下眼瞼無眼瞼內翻之倒睫
   H02056	Trichiasis without entropian left eye, unspecified eyelid
	左側眼無眼瞼內翻之倒睫，未特定上或下眼瞼
   H02059	Trichiasis without entropian unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下眼瞼之無眼瞼內翻性倒睫
 H021	Ectropion of eyelid
	眼瞼外翻
  H0210	Unspecified ectropion of eyelid
	未特定之眼瞼外翻
   H02101	Unspecified ectropion of right upper eyelid
	右側上眼瞼外翻
   H02102	Unspecified ectropion of right lower eyelid
	右側下眼瞼外翻
   H02103	Unspecified ectropion of right eye, unspecified eyelid
	右側眼瞼外翻，未特定上或下眼瞼
   H02104	Unspecified ectropion of left upper eyelid
	左側上眼瞼外翻
   H02105	Unspecified ectropion of left lower eyelid
	左側下眼瞼外翻
   H02106	Unspecified ectropion of left eye, unspecified eyelid
	左側眼瞼外翻，未特定上或下眼瞼
   H02109	Unspecified ectropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼外翻
  H0211	Cicatricial ectropion of eyelid
	瘢痕性眼瞼外翻
   H02111	Cicatricial ectropion of right upper eyelid
	右側上眼瞼瘢痕性眼瞼外翻
   H02112	Cicatricial ectropion of right lower eyelid
	右側下眼瞼瘢痕性眼瞼外翻
   H02113	Cicatricial ectropion of right eye, unspecified eyelid
	右側眼瘢痕性眼瞼外翻，未特定上或下眼瞼
   H02114	Cicatricial ectropion of left upper eyelid
	左側上眼瞼瘢痕性眼瞼外翻
   H02115	Cicatricial ectropion of left lower eyelid
	左側下眼瞼瘢痕性眼瞼外翻
   H02116	Cicatricial ectropion of left eye, unspecified eyelid
	左側眼瘢痕性眼瞼外翻，未特定上或下眼瞼
   H02119	Cicatricial ectropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之瘢痕性眼瞼外翻
  H0212	Mechanical ectropion of eyelid
	機械性眼瞼外翻
   H02121	Mechanical ectropion of right upper eyelid
	右側上眼瞼機械性眼瞼外翻
   H02122	Mechanical ectropion of right lower eyelid
	右側下眼瞼機械性眼瞼外翻
   H02123	Mechanical ectropion of right eye, unspecified eyelid
	右側眼機械性眼瞼外翻，未特定上或下眼瞼
   H02124	Mechanical ectropion of left upper eyelid
	左側上眼瞼機械性眼瞼外翻
   H02125	Mechanical ectropion of left lower eyelid
	左側下眼瞼機械性眼瞼外翻
   H02126	Mechanical ectropion of left eye, unspecified eyelid
	左側眼機械性眼瞼外翻，未特定上或下眼瞼
   H02129	Mechanical ectropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之機械性眼瞼外翻
  H0213	Senile ectropion of eyelid
	老年性眼瞼外翻
   H02131	Senile ectropion of right upper eyelid
	右側上眼瞼老年性眼瞼外翻
   H02132	Senile ectropion of right lower eyelid
	右側下眼瞼老年性眼瞼外翻
   H02133	Senile ectropion of right eye, unspecified eyelid
	右側眼老年性眼瞼外翻，未特定眼瞼
   H02134	Senile ectropion of left upper eyelid
	左側上眼瞼老年性眼瞼外翻
   H02135	Senile ectropion of left lower eyelid
	左側下眼瞼老年性眼瞼外翻
   H02136	Senile ectropion of left eye, unspecified eyelid
	左側眼老年性眼瞼外翻，未特定上或下眼瞼
   H02139	Senile ectropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之老年性眼瞼外翻
  H0214	Spastic ectropion of eyelid
	痙攣性眼瞼外翻
   H02141	Spastic ectropion of right upper eyelid
	右側上眼瞼痙攣性眼瞼外翻
   H02142	Spastic ectropion of right lower eyelid
	右側下眼瞼痙攣性眼瞼外翻
   H02143	Spastic ectropion of right eye, unspecified eyelid
	右側眼痙攣性眼瞼外翻，未特定上或下眼瞼
   H02144	Spastic ectropion of left upper eyelid
	左側上眼瞼痙攣性眼瞼外翻
   H02145	Spastic ectropion of left lower eyelid
	左側下眼瞼痙攣性眼瞼外翻
   H02146	Spastic ectropion of left eye, unspecified eyelid
	左側眼痙攣性眼瞼外翻，未特定上或下眼瞼
   H02149	Spastic ectropion of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之痙攣性眼瞼外翻
 H022	Lagophthalmos
	兔眼
  H0220	Unspecified lagophthalmos
	未特定之兔眼
   H02201	Unspecified lagophthalmos right upper eyelid
	右側上眼瞼兔眼
   H02202	Unspecified lagophthalmos right lower eyelid
	右側下眼瞼兔眼
   H02203	Unspecified lagophthalmos right eye, unspecified eyelid
	右側眼之兔眼，未特定上或下眼瞼
   H02204	Unspecified lagophthalmos left upper eyelid
	左側上眼瞼兔眼
   H02205	Unspecified lagophthalmos left lower eyelid
	左側下眼瞼兔眼
   H02206	Unspecified lagophthalmos left eye, unspecified eyelid
	左側眼之兔眼，未特定上或下眼瞼
   H02209	Unspecified lagophthalmos unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之兔眼
  H0221	Cicatricial lagophthalmos
	瘢痕性兔眼
   H02211	Cicatricial lagophthalmos right upper eyelid
	右側上眼瞼瘢痕性兔眼
   H02212	Cicatricial lagophthalmos right lower eyelid
	右側下眼瞼瘢痕性兔眼
   H02213	Cicatricial lagophthalmos right eye, unspecified eyelid
	右側眼瘢痕性兔眼，未特定上或下眼瞼
   H02214	Cicatricial lagophthalmos left upper eyelid
	左側上眼瞼瘢痕性兔眼
   H02215	Cicatricial lagophthalmos left lower eyelid
	左側下眼瞼瘢痕性兔眼
   H02216	Cicatricial lagophthalmos left eye, unspecified eyelid
	左側眼瘢痕性兔眼，未特定上或下眼瞼
   H02219	Cicatricial lagophthalmos unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之瘢痕性兔眼
  H0222	Mechanical lagophthalmos
	機械性兔眼
   H02221	Mechanical lagophthalmos right upper eyelid
	右側上眼瞼機械性兔眼
   H02222	Mechanical lagophthalmos right lower eyelid
	右側下眼瞼機械性兔眼
   H02223	Mechanical lagophthalmos right eye, unspecified eyelid
	右側眼機械性兔眼，未特定上或下眼瞼
   H02224	Mechanical lagophthalmos left upper eyelid
	左側上眼瞼機械性兔眼
   H02225	Mechanical lagophthalmos left lower eyelid
	左側下眼瞼之機械性兔眼
   H02226	Mechanical lagophthalmos left eye, unspecified eyelid
	左側眼機械性兔眼，未特定上或下眼瞼
   H02229	Mechanical lagophthalmos unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之機械性兔眼
  H0223	Paralytic lagophthalmos
	麻痺性兔眼
   H02231	Paralytic lagophthalmos right upper eyelid
	右側上眼瞼麻痺性兔眼
   H02232	Paralytic lagophthalmos right lower eyelid
	右側下眼瞼麻痺性兔眼
   H02233	Paralytic lagophthalmos right eye, unspecified eyelid
	右側眼麻痺性兔眼，未特定上或下眼瞼
   H02234	Paralytic lagophthalmos left upper eyelid
	左側上眼瞼麻痺性兔眼
   H02235	Paralytic lagophthalmos left lower eyelid
	左側下眼瞼麻痺性兔眼
   H02236	Paralytic lagophthalmos left eye, unspecified eyelid
	左側眼麻痺性兔眼，未特定上或下眼瞼
   H02239	Paralytic lagophthalmos unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之麻痺性兔眼
 H023	Blepharochalasis
	眼瞼鬆弛
  H0230	Blepharochalasis unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼鬆弛
  H0231	Blepharochalasis right upper eyelid
	右側上眼瞼鬆弛
  H0232	Blepharochalasis right lower eyelid
	右側下眼瞼鬆弛
  H0233	Blepharochalasis right eye, unspecified eyelid
	右側眼瞼鬆弛，未特定上或下眼瞼
  H0234	Blepharochalasis left upper eyelid
	左側上眼瞼鬆弛
  H0235	Blepharochalasis left lower eyelid
	左側下眼瞼鬆弛
  H0236	Blepharochalasis left eye, unspecified eyelid
	左側眼瞼鬆弛，未特定上或下眼瞼
 H024	Ptosis of eyelid
	眼瞼下垂
  H0240	Unspecified ptosis of eyelid
	未特定之眼瞼下垂
   H02401	Unspecified ptosis of right eyelid
	右側眼瞼下垂
   H02402	Unspecified ptosis of left eyelid
	左側眼瞼下垂
   H02403	Unspecified ptosis of bilateral eyelids
	雙側眼瞼下垂
   H02409	Unspecified ptosis of unspecified eyelid
	眼瞼下垂
  H0241	Mechanical ptosis of eyelid
	機械性眼瞼下垂
   H02411	Mechanical ptosis of right eyelid
	右側眼機械性眼瞼下垂
   H02412	Mechanical ptosis of left eyelid
	左側眼機械性眼瞼下垂
   H02413	Mechanical ptosis of bilateral eyelids
	雙側眼機械性眼瞼下垂
   H02419	Mechanical ptosis of unspecified eyelid
	未特定側性之機械性眼瞼下垂
  H0242	Myogenic ptosis of eyelid
	肌原性眼瞼下垂
   H02421	Myogenic ptosis of right eyelid
	右側眼肌原性眼瞼下垂
   H02422	Myogenic ptosis of left eyelid
	左側眼肌原性眼瞼下垂
   H02423	Myogenic ptosis of bilateral eyelids
	雙側眼肌原性眼瞼下垂
   H02429	Myogenic ptosis of unspecified eyelid
	未特定側性之肌原性眼瞼下垂
  H0243	Paralytic ptosis of eyelid
	麻痺性眼瞼下垂
   H02431	Paralytic ptosis of right eyelid
	右側眼麻痺性眼瞼下垂
   H02432	Paralytic ptosis of left eyelid
	左側眼麻痺性眼瞼下垂
   H02433	Paralytic ptosis of bilateral eyelids
	雙側眼麻痺性眼瞼下垂
   H02439	Paralytic ptosis unspecified eyelid
	未特定側性之麻痺性眼瞼下垂
 H025	Other disorders affecting eyelid function
	未特定左側、右側眼及上或下之眼瞼退縮
  H0251	Abnormal innervation syndrome
	異常神經支配徵候群
   H02511	Abnormal innervation syndrome right upper eyelid
	右側上眼瞼異常神經支配徵候群
   H02512	Abnormal innervation syndrome right lower eyelid
	右側下眼瞼異常神經支配徵候群
   H02513	Abnormal innervation syndrome right eye, unspecified eyelid
	右側眼異常神經支配徵候群，未特定上或下眼瞼
   H02514	Abnormal innervation syndrome left upper eyelid
	左側上眼瞼異常神經支配徵候群
   H02515	Abnormal innervation syndrome left lower eyelid
	左側下眼瞼異常神經支配徵候群
   H02516	Abnormal innervation syndrome left eye, unspecified eyelid
	左側眼異常神經支配徵候群，未特定上或下眼瞼
   H02519	Abnormal innervation syndrome unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下眼瞼之異常神經支配徵候群
  H0252	Blepharophimosis
	眼瞼裂縫狹小
   H02521	Blepharophimosis right upper eyelid
	右側上眼瞼裂縫狹小
   H02522	Blepharophimosis right lower eyelid
	右側下眼瞼裂縫狹小
   H02523	Blepharophimosis right eye, unspecified eyelid
	右側眼瞼裂縫狹小，未特定上或下眼瞼
   H02524	Blepharophimosis left upper eyelid
	左側上眼瞼裂縫狹小
   H02525	Blepharophimosis left lower eyelid
	左側下眼瞼裂縫狹小
   H02526	Blepharophimosis left eye, unspecified eyelid
	左側眼瞼裂縫狹小，未特定上或下眼瞼
   H02529	Blepharophimosis unspecified eye, unspecified lid
	未特定左側、右側眼及上或下之瞼裂縫狹小
  H0253	Eyelid retraction
	眼瞼退縮
   H02531	Eyelid retraction right upper eyelid
	右側上眼瞼退縮
   H02532	Eyelid retraction right lower eyelid
	右側下眼瞼退縮
   H02533	Eyelid retraction right eye, unspecified eyelid
	右側眼眼瞼退縮，未特定上或下眼瞼
   H02534	Eyelid retraction left upper eyelid
	左側上眼瞼退縮
   H02535	Eyelid retraction left lower eyelid
	左側下眼瞼退縮
   H02536	Eyelid retraction left eye, unspecified eyelid
	左側眼眼瞼退縮，未特定上或下眼瞼
   H02539	Eyelid retraction unspecified eye, unspecified lid
	未特定左側、右側眼及上或下之眼瞼退縮
  H0259	Other disorders affecting eyelid function
	其它影響眼瞼功能之疾患
 H026	Xanthelasma of eyelid
	眼瞼黃斑瘤
  H0260	Xanthelasma of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼黃斑瘤
  H0261	Xanthelasma of right upper eyelid
	右側上眼瞼黃斑瘤
  H0262	Xanthelasma of right lower eyelid
	右側下眼瞼黃斑瘤
  H0263	Xanthelasma of right eye, unspecified eyelid
	右側眼瞼黃斑瘤，未特定上或下眼瞼
  H0264	Xanthelasma of left upper eyelid
	左側上眼瞼黃斑瘤
  H0265	Xanthelasma of left lower eyelid
	左側下眼瞼黃斑瘤
  H0266	Xanthelasma of left eye, unspecified eyelid
	左側眼瞼黃斑瘤，未特定上或下眼瞼
 H027	Other and unspecified degenerative disorders of eyelid and periocular area
	眼瞼及眼周其他及未特定之退化性疾患
  H0270	Unspecified degenerative disorders of eyelid and periocular area
	眼瞼及眼周之退化性疾患
  H0271	Chloasma of eyelid and periocular area
	眼瞼及眼周黃褐斑
   H02711	Chloasma of right upper eyelid and periocular area
	右側上眼瞼及眼周黃褐斑
   H02712	Chloasma of right lower eyelid and periocular area
	右側下眼瞼及眼周黃褐斑
   H02713	Chloasma of right eye, unspecified eyelid and periocular area
	右側眼黃褐斑，未特定上或下眼瞼及眼周
   H02714	Chloasma of left upper eyelid and periocular area
	左側上眼瞼及眼周黃褐斑
   H02715	Chloasma of left lower eyelid and periocular area
	左側下眼瞼及眼周黃褐斑
   H02716	Chloasma of left eye, unspecified eyelid and periocular area
	左側眼黃褐斑，未特定上或下眼瞼及眼周
   H02719	Chloasma of unspecified eye, unspecified eyelid and periocular area
	未特定左側、右側眼及上或下眼瞼及眼周之黃褐斑
  H0272	Madarosis of eyelid and periocular area
	眼瞼及眼周睫毛脫落
   H02721	Madarosis of right upper eyelid and periocular area
	右側上眼瞼及眼周睫毛脫落
   H02722	Madarosis of right lower eyelid and periocular area
	右側下眼瞼及眼周睫毛脫落
   H02723	Madarosis of right eye, unspecified eyelid and periocular area
	右側眼瞼睫毛脫落，未特定上或下眼瞼及眼周
   H02724	Madarosis of left upper eyelid and periocular area
	左側上眼瞼及眼周睫毛脫落
   H02725	Madarosis of left lower eyelid and periocular area
	左側下眼瞼及眼周睫毛脫落
   H02726	Madarosis of left eye, unspecified eyelid and periocular area
	左側眼瞼睫毛脫落，未特定上或下眼瞼及眼周
   H02729	Madarosis of unspecified eye, unspecified eyelid and periocular area
	未特定左側、右側眼及上或下眼瞼及眼周之眼瞼睫毛脫落
  H0273	Vitiligo of eyelid and periocular area
	眼瞼及眼周白斑
   H02731	Vitiligo of right upper eyelid and periocular area
	右側上眼瞼及眼周白斑
   H02732	Vitiligo of right lower eyelid and periocular area
	右側下眼瞼及眼周白斑
   H02733	Vitiligo of right eye, unspecified eyelid and periocular area
	右側眼瞼白斑，未特定上或下眼瞼及眼周
   H02734	Vitiligo of left upper eyelid and periocular area
	左側上眼瞼及眼周白斑
   H02735	Vitiligo of left lower eyelid and periocular area
	左側下眼瞼及眼周白斑
   H02736	Vitiligo of left eye, unspecified eyelid and periocular area
	左側眼瞼白斑，未特定上或下眼瞼及眼周
   H02739	Vitiligo of unspecified eye, unspecified eyelid and periocular area
	未特定左側、右側眼及上或下眼瞼及眼周之眼瞼白斑
  H0279	Other degenerative disorders of eyelid and periocular area
	其他眼瞼及眼周皮膚之退化疾患
 H028	Other specified disorders of eyelid
	眼瞼其他特定疾患
  H0281	Retained foreign body in eyelid
	眼瞼異物滯留
