M00	Pyogenic arthritis
   M00229	Other streptococcal arthritis, unspecified elbow
	未特定側性肘部其他鏈球菌性關節炎
  M0023	Other streptococcal arthritis, wrist
	腕部其他鏈球菌性關節炎
   M00231	Other streptococcal arthritis, right wrist
	右側腕部其他鏈球菌性關節炎
   M00232	Other streptococcal arthritis, left wrist
	左側腕部其他鏈球菌性關節炎
   M00239	Other streptococcal arthritis, unspecified wrist
	未特定側性腕部其他鏈球菌性關節炎
  M0024	Other streptococcal arthritis, hand
	手部其他鏈球菌性關節炎
   M00241	Other streptococcal arthritis, right hand
	右側手部其他鏈球菌性關節炎
   M00242	Other streptococcal arthritis, left hand
	左側手部其他鏈球菌性關節炎
   M00249	Other streptococcal arthritis, unspecified hand
	未特定側性手部其他鏈球菌性關節炎
  M0025	Other streptococcal arthritis, hip
	髖部其他鏈球菌性關節炎
   M00251	Other streptococcal arthritis, right hip
	右側髖部其他鏈球菌性關節炎
   M00252	Other streptococcal arthritis, left hip
	左側髖部其他鏈球菌性關節炎
   M00259	Other streptococcal arthritis, unspecified hip
	未特定側性髖部其他鏈球菌性關節炎
  M0026	Other streptococcal arthritis, knee
	膝部其他鏈球菌性關節炎
   M00261	Other streptococcal arthritis, right knee
	右側膝部其他鏈球菌性關節炎
   M00262	Other streptococcal arthritis, left knee
	左側膝部其他鏈球菌性關節炎
   M00269	Other streptococcal arthritis, unspecified knee
	未特定側性膝部其他鏈球菌性關節炎
  M0027	Other streptococcal arthritis, ankle and foot
	踝部及足部其他鏈球菌性關節炎
   M00271	Other streptococcal arthritis, right ankle and foot
	右側踝部及足部其他鏈球菌性關節炎
   M00272	Other streptococcal arthritis, left ankle and foot
	左側踝部及足部其他鏈球菌性關節炎
   M00279	Other streptococcal arthritis, unspecified ankle and foot
	未特定側性髖部及足部其他鏈球菌性關節炎
  M0028	Other streptococcal arthritis, vertebrae
	脊椎其他鏈球菌性關節炎
  M0029	Other streptococcal polyarthritis
	其他鏈球菌性多關節
 M008	Arthritis and polyarthritis due to other bacteria
	其他特定細菌原所致的關節炎及多關節炎
  M0080	Arthritis due to other bacteria, unspecified joint
	未特定側性關節其他細菌性關節炎
  M0081	Arthritis due to other bacteria, shoulder
	肩部其他細菌性關節炎
   M00811	Arthritis due to other bacteria, right shoulder
	右側肩部其他細菌性關節炎
   M00812	Arthritis due to other bacteria, left shoulder
	左側肩部其他細菌性關節炎
   M00819	Arthritis due to other bacteria, unspecified shoulder
	未特定側性肩部其他細菌性關節炎
  M0082	Arthritis due to other bacteria, elbow
	肘部其他細菌性關節炎
   M00821	Arthritis due to other bacteria, right elbow
	右側肘部其他細菌性關節炎
   M00822	Arthritis due to other bacteria, left elbow
	左側肘部其他細菌性關節炎
   M00829	Arthritis due to other bacteria, unspecified elbow
	未特定側性肘部其他細菌性關節炎
  M0083	Arthritis due to other bacteria, wrist
	腕部其他細菌性關節炎
   M00831	Arthritis due to other bacteria, right wrist
	右側腕部其他細菌性關節炎
   M00832	Arthritis due to other bacteria, left wrist
	左側腕部其他細菌性關節炎
   M00839	Arthritis due to other bacteria, unspecified wrist
	未特定側性腕部其他細菌性關節炎
  M0084	Arthritis due to other bacteria, hand
	手部其他細菌性關節炎
   M00841	Arthritis due to other bacteria, right hand
	右側手部其他細菌性關節炎
   M00842	Arthritis due to other bacteria, left hand
	左側手部其他細菌性關節炎
   M00849	Arthritis due to other bacteria, unspecified hand
	未特定側性手部其他細菌性關節炎
  M0085	Arthritis due to other bacteria, hip
	髖部其他細菌性關節炎
   M00851	Arthritis due to other bacteria, right hip
	右側髖部其他細菌性關節炎
   M00852	Arthritis due to other bacteria, left hip
	左側髖部其他細菌性關節炎
   M00859	Arthritis due to other bacteria, unspecified hip
	未特定側性髖部其他細菌性關節炎
  M0086	Arthritis due to other bacteria, knee
	膝部其他細菌性關節炎
   M00861	Arthritis due to other bacteria, right knee
	右側膝部其他細菌性關節炎
   M00862	Arthritis due to other bacteria, left knee
	左側膝部其他細菌性關節炎
   M00869	Arthritis due to other bacteria, unspecified knee
	未特定側性膝部其他細菌性關節炎
  M0087	Arthritis due to other bacteria, ankle and foot
	踝部及足部其他細菌性關節炎
   M00871	Arthritis due to other bacteria, right ankle and foot
	右側踝部及足部其他細菌性關節炎
   M00872	Arthritis due to other bacteria, left ankle and foot
	左側踝部及足部其他細菌性關節炎
   M00879	Arthritis due to other bacteria, unspecified ankle and foot
	未特定側性髖部及足部其他細菌性關節炎
  M0088	Arthritis due to other bacteria, vertebrae
	脊椎其他細菌性關節炎
  M0089	Polyarthritis due to other bacteria
	其他細菌性多關節炎
 M009	Pyogenic arthritis, unspecified
	化膿性關節炎，未特定
M01	Direct infections of joint in infectious and parasitic diseases classified elsewhere
	歸類於他處感染症及寄生蟲疾病所致之直接關節感染
  M01x0	Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere
	未特定側性關節歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x1	Direct infection of shoulder joint in infectious and parasitic diseases classified elsewhere
	肩部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x11	Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere
	右側肩部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x12	Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere
	左側肩部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x19	Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere
	未特定側性肩部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x2	Direct infection of elbow in infectious and parasitic diseases classified elsewhere
	肘部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x21	Direct infection of right elbow in infectious and parasitic diseases classified elsewhere
	右側肘部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x22	Direct infection of left elbow in infectious and parasitic diseases classified elsewhere
	左側肘部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x29	Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere
	未特定側性肘部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x3	Direct infection of wrist in infectious and parasitic diseases classified elsewhere
	腕部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x31	Direct infection of right wrist in infectious and parasitic diseases classified elsewhere
	右側腕部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x32	Direct infection of left wrist in infectious and parasitic diseases classified elsewhere
	左側腕部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x39	Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere
	未特定側性腕部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x4	Direct infection of hand in infectious and parasitic diseases classified elsewhere
	手部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x41	Direct infection of right hand in infectious and parasitic diseases classified elsewhere
	右側手部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x42	Direct infection of left hand in infectious and parasitic diseases classified elsewhere
	 左側手部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x49	Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere
	未特定側性手部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x5	Direct infection of hip in infectious and parasitic diseases classified elsewhere
	髖部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x51	Direct infection of right hip in infectious and parasitic diseases classified elsewhere
	右側髖部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x52	Direct infection of left hip in infectious and parasitic diseases classified elsewhere
	左側髖部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x59	Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere
	 未特定側性髖部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x6	Direct infection of knee in infectious and parasitic diseases classified elsewhere
	膝部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x61	Direct infection of right knee in infectious and parasitic diseases classified elsewhere
	 右側膝部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x62	Direct infection of left knee in infectious and parasitic diseases classified elsewhere
	 左側膝部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x69	Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere
	 未特定側性膝部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x7	Direct infection of ankle and foot in infectious and parasitic diseases classified elsewhere
	踝部及足部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x71	Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
	右側踝部及足部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x72	Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere
	左側踝部及足部歸類於他處感染症及寄生蟲疾病所致的直接感染
   M01x79	Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere
	未特定側性髖部及足部歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x8	Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere
	 脊椎歸類於他處感染症及寄生蟲疾病所致的直接感染
  M01x9	Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere
	 關節歸類於他處感染症及寄生蟲疾病所致的直接感染
M02	Postinfective and reactive arthropathies
	感染後及反應性關節病變
 M020	Arthropathy following intestinal bypass
	腸道分流後所致的關節病變
  M0200	Arthropathy following intestinal bypass, unspecified site
	未特定部位腸道分流後所致的關節病變
  M0201	Arthropathy following intestinal bupass, shoulder
	肩部腸道分流後所致的關節病變
   M02011	Arthropathy following intestinal bypass, right shoulder
	 右側肩部腸道分流後所致的關節病變
   M02012	Arthropathy following intestinal bypass, left shoulder
	 左側肩部腸道分流後所致的關節病變
   M02019	Arthropathy following intestinal bypass, unspecified shoulder
	 未特定側性肩部腸道分流後所致的關節病變
  M0202	Arthropathy following intestinal bypass, elbow
	肘部腸道分流後所致的關節病變
   M02021	Arthropathy following intestinal bypass, right elbow
	 右側肘部腸道分流後所致的關節病變
   M02022	Arthropathy following intestinal bypass, left elbow
	 左側肘部腸道分流後所致的關節病變
   M02029	Arthropathy following intestinal bypass, unspecified elbow
	 未特定側性肘部腸道分流後所致的關節病變
  M0203	Arthropathy following intestinal bypass, wrist
	腕部腸道分流後所致的關節病變
   M02031	Arthropathy following intestinal bypass, right wrist
	 右側腕部腸道分流後所致的關節病變
   M02032	Arthropathy following intestinal bypass, left wrist
	 左側腕部腸道分流後所致的關節病變
   M02039	Arthropathy following intestinal bypass, unspecified wrist
	 未特定側性腕部腸道分流後所致的關節病變
  M0204	Arthropathy following intestinal bypass, hand
	手部腸道分流後所致的關節病變
   M02041	Arthropathy following intestinal bypass, right hand
	 右側手部腸道分流後所致的關節病變
   M02042	Arthropathy following intestinal bypass, left hand
	 左側手部腸道分流後所致的關節病變
   M02049	Arthropathy following intestinal bypass, unspecified hand
	 未特定側性手部腸道分流後所致的關節病變
  M0205	Arthropathy following intestinal bypass, hip
	髖部腸道分流後所致的關節病變
   M02051	Arthropathy following intestinal bypass, right hip
	 右側髖部腸道分流後所致的關節病變
   M02052	Arthropathy following intestinal bypass, left hip
	 左側髖部腸道分流後所致的關節病變
   M02059	Arthropathy following intestinal bypass, unspecified hip
	 未特定側性髖部腸道分流後所致的關節病變
  M0206	Arthropathy following intestinal bypass, knee
	膝部腸道分流後所致的關節病變
   M02061	Arthropathy following intestinal bypass, right knee
	 右側膝部腸道分流後所致的關節病變
   M02062	Arthropathy following intestinal bypass, left knee
	 左側膝部腸道分流後所致的關節病變
   M02069	Arthropathy following intestinal bypass, unspecified knee
	 未特定側性膝部腸道分流後所致的關節病變
  M0207	Arthropathy following intestinal bypass, ankle and foot
	踝部及足部腸道分流後所致的關節病變
   M02071	Arthropathy following intestinal bypass, right ankle and foot
	 右側踝部及足部腸道分流後所致的關節病變
   M02072	Arthropathy following intestinal bypass, left ankle and foot
	 左側踝部及足部腸道分流後所致的關節病變
   M02079	Arthropathy following intestinal bypass, unspecified ankle and foot
	 未特定側性髖部及足部腸道分流後所致的關節病變
  M0208	Arthropathy following intestinal bypass, vertebrae
	 脊椎腸道分流後所致的關節病變
  M0209	Arthropathy following intestinal bypass, multiple sites
	 多部位腸道分流後所致的關節病變
 M021	Postdysenteric arthropathy
	痢疾後關節病變
  M0210	Postdysenteric arthropathy, unspecified site
	未特定部位痢疾後關節病變
  M0211	Postdysenteric arthropathy, shoulder
	肩部痢疾後關節病變
   M02111	Postdysenteric arthropathy, right shoulder
	 右側肩部痢疾後關節病變
   M02112	Postdysenteric arthropathy, left shoulder
	 左側肩部痢疾後關節病變
   M02119	Postdysenteric arthropathy, unspecified shoulder
	 未特定側性肩部痢疾後關節病變
  M0212	Postdysenteric arthropathy, elbow
	肘部痢疾後關節病變
   M02121	Postdysenteric arthropathy, right elbow
	 右側肘部痢疾後關節病變
   M02122	Postdysenteric arthropathy, left elbow
	 左側肘部痢疾後關節病變
   M02129	Postdysenteric arthropathy, unspecified elbow
	 未特定側性肘部痢疾後關節病變
  M0213	Postdysenteric arthropathy, wrist
	腕部痢疾後關節病變
   M02131	Postdysenteric arthropathy, right wrist
	 右側腕部痢疾後關節病變
   M02132	Postdysenteric arthropathy, left wrist
	 左側腕部痢疾後關節病變
   M02139	Postdysenteric arthropathy, unspecified wrist
	 未特定側性腕部痢疾後關節病變
  M0214	Postdysenteric arthropathy, hand
	手部痢疾後關節病變
   M02141	Postdysenteric arthropathy, right hand
	 右側手部痢疾後關節病變
   M02142	Postdysenteric arthropathy, left hand
	 左側手部痢疾後關節病變
   M02149	Postdysenteric arthropathy, unspecified hand
	 未特定側性手部痢疾後關節病變
  M0215	Postdysenteric arthropathy, hip
	髖部痢疾後關節病變
   M02151	Postdysenteric arthropathy, right hip
	 右側髖部痢疾後關節病變
   M02152	Postdysenteric arthropathy, left hip
	 左側髖部痢疾後關節病變
   M02159	Postdysenteric arthropathy, unspecified hip
	 未特定側性髖部痢疾後關節病變
  M0216	Postdysenteric arthropathy, knee
	膝部痢疾後關節病變
   M02161	Postdysenteric arthropathy, right knee
	 右側膝部痢疾後關節病變
   M02162	Postdysenteric arthropathy, left knee
	 左側膝部痢疾後關節病變
   M02169	Postdysenteric arthropathy, unspecified knee
	 未特定側性膝部痢疾後關節病變
  M0217	Postdysenteric arthropathy, ankle and foot
	踝部及足部痢疾後關節病變
   M02171	Postdysenteric arthropathy, right ankle and foot
	右側踝部及足部痢疾後關節病變
   M02172	Postdysenteric arthropathy, left ankle and foot
	左側踝部及足部痢疾後關節病變
   M02179	Postdysenteric arthropathy, unspecified ankle and foot
	 未特定側性髖部及足部痢疾後關節病變
  M0218	Postdysenteric arthropathy, vertebrae
	 脊椎痢疾後關節病變
  M0219	Postdysenteric arthropathy, multiple sites
	多部位痢疾後關節病變
 M022	Postimmunization arthropathy
	免疫接種後關節病變
  M0220	Postimmunization arthropathy, unspecified site
	未特定部位免疫接種後關節病變
  M0221	Postimmunization arthropathy, shoulder
	肩部免疫接種後關節病變
   M02211	Postimmunization arthropathy, right shoulder
	右側肩部免疫接種後關節病變
   M02212	Postimmunization arthropathy, left shoulder
	左側肩部免疫接種後關節病變
   M02219	Postimmunization arthropathy, unspecified shoulder
	未特定側性肩部免疫接種後關節病變
  M0222	Postimmunization arthropathy, elbow
	肘部免疫接種後關節病變
   M02221	Postimmunization arthropathy, right elbow
	右側肘部免疫接種後關節病變
   M02222	Postimmunization arthropathy, left elbow
	左側肘部免疫接種後關節病變
   M02229	Postimmunization arthropathy, unspecified elbow
	未特定側性肘部免疫接種後關節病變
  M0223	Postimmunization arthropathy, wrist
	腕部免疫接種後關節病變
   M02231	Postimmunization arthropathy, right wrist
	右側腕部免疫接種後關節病變
   M02232	Postimmunization arthropathy, left wrist
	左側腕部免疫接種後關節病變
   M02239	Postimmunization arthropathy, unspecified wrist
	未特定側性腕部免疫接種後關節病變
  M0224	Postimmunization arthropathy, hand
	手部免疫接種後關節病變
   M02241	Postimmunization arthropathy, right hand
	右側手部免疫接種後關節病變
   M02242	Postimmunization arthropathy, left hand
	左側手部免疫接種後關節病變
   M02249	Postimmunization arthropathy, unspecified hand
	未特定側性手部免疫接種後關節病變
  M0225	Postimmunization arthropathy, hip
	髖部免疫接種後關節病變
   M02251	Postimmunization arthropathy, right hip
	右側髖部免疫接種後關節病變
   M02252	Postimmunization arthropathy, left hip
	左側髖部免疫接種後關節病變
   M02259	Postimmunization arthropathy, unspecified hip
	未特定側性髖部免疫接種後關節病變
  M0226	Postimmunization arthropathy, knee
	膝部免疫接種後關節病變
   M02261	Postimmunization arthropathy, right knee
	右側膝部免疫接種後關節病變
   M02262	Postimmunization arthropathy, left knee
	左側膝部免疫接種後關節病變
   M02269	Postimmunization arthropathy, unspecified knee
	未特定側性膝部免疫接種後關節病變
  M0227	Postimmunization arthropathy, ankle and foot
	踝部及足部免疫接種後關節病變
   M02271	Postimmunization arthropathy, right ankle and foot
	右側踝部及足部免疫接種後關節病變
   M02272	Postimmunization arthropathy, left ankle and foot
	左側踝部及足部免疫接種後關節病變
   M02279	Postimmunization arthropathy, unspecified ankle and foot
	未特定側性踝部及足部免疫接種後關節病變
  M0228	Postimmunization arthropathy, vertebrae
	脊椎免疫接種後關節病變
  M0229	Postimmunization arthropathy, multiple sites
	多部位免疫接種後關節病變
 M023	Reiter's disease
	Reiter氏病
  M0230	Reiter's disease, unspecified site
	未特定部位Reiter氏病
  M0231	Reiter's disease, shoulder
	肩部Reiter氏病
   M02311	Reiter's disease, right shoulder
	右側肩部Reiter氏病
   M02312	Reiter's disease, left shoulder
	左側肩部Reiter氏病
   M02319	Reiter's disease, unspecified shoulder
	未特定側性肩部Reiter氏病
  M0232	Reiter's disease, elbow
	肘部Reiter氏病
   M02321	Reiter's disease, right elbow
	右側肘部Reiter氏病
   M02322	Reiter's disease, left elbow
	左側肘部Reiter氏病
   M02329	Reiter's disease, unspecified elbow
	未特定側性肘部Reiter氏病
  M0233	Reiter's disease, wrist
	腕部Reiter氏病
   M02331	Reiter's disease, right wrist
	右側腕部Reiter氏病
   M02332	Reiter's disease, left wrist
	左側腕部Reiter氏病
   M02339	Reiter's disease, unspecified wrist
	未特定側性腕部Reiter氏病
  M0234	Reiter's disease, hand
	手部Reiter氏病
   M02341	Reiter's disease, right hand
	右側手部Reiter氏病
   M02342	Reiter's disease, left hand
	左側手部Reiter氏病
   M02349	Reiter's disease, unspecified hand
	未特定側性手部Reiter氏病
  M0235	Reiter's disease, hip
	髖部Reiter氏病
   M02351	Reiter's disease, right hip
	右側髖部Reiter氏病
   M02352	Reiter's disease, left hip
	左側髖部Reiter氏病
   M02359	Reiter's disease, unspecified hip
	未特定側性髖部Reiter氏病
  M0236	Reiter's disease, knee
	膝部Reiter氏病
   M02361	Reiter's disease, right knee
	右側膝部Reiter氏病
   M02362	Reiter's disease, left knee
	左側膝部Reiter氏病
   M02369	Reiter's disease, unspecified knee
	未特定側性膝部Reiter氏病
  M0237	Reiter's disease, ankle and foot
	踝部及足部Reiter氏病
   M02371	Reiter's disease, right ankle and foot
	右側踝部及足部Reiter氏病
   M02372	Reiter's disease, left ankle and foot
	左側踝部及足部Reiter氏病
   M02379	Reiter's disease, unspecified ankle and foot
	未特定側性髖部及足部Reiter氏病
  M0238	Reiter's disease, vertebrae
	脊椎Reiter氏病
  M0239	Reiter's disease, multiple sites
	多部位Reiter氏病
 M028	Other reactive arthropathies
	其他反應性關節病變
  M0280	Other reactive arthropathies, unspecified site
	未特定部位其他反應性關節病變
  M0281	Other reactive arthropathies, shoulder
	肩部其他反應性關節病變
   M02811	Other reactive arthropathies, right shoulder
	右側肩部其他反應性關節病變
   M02812	Other reactive arthropathies, left shoulder
	左側肩部其他反應性關節病變
   M02819	Other reactive arthropathies, unspecified shoulder
	未特定側性肩部其他反應性關節病變
  M0282	Other reactive arthropathies, elbow
	肘部其他反應性關節病變
   M02821	Other reactive arthropathies, right elbow
	右側肘部其他反應性關節病變
   M02822	Other reactive arthropathies, left elbow
	左側肘部其他反應性關節病變
   M02829	Other reactive arthropathies, unspecified elbow
	未特定側性肘部其他反應性關節病變
  M0283	Other reactive arthropathies, wrist
	腕部其他反應性關節病變
   M02831	Other reactive arthropathies, right wrist
	右側腕部其他反應性關節病變
   M02832	Other reactive arthropathies, left wrist
	左側腕部其他反應性關節病變
   M02839	Other reactive arthropathies, unspecified wrist
	未特定側性腕部其他反應性關節病變
  M0284	Other reactive arthropathies, hand
	手部其他反應性關節病變
   M02841	Other reactive arthropathies, right hand
	右側手部其他反應性關節病變
   M02842	Other reactive arthropathies, left hand
	左側手部其他反應性關節病變
   M02849	Other reactive arthropathies, unspecified hand
	未特定側性手部其他反應性關節病變
  M0285	Other reactive arthropathies, hip
	髖部其他反應性關節病變
   M02851	Other reactive arthropathies, right hip
	右側髖部其他反應性關節病變
   M02852	Other reactive arthropathies, left hip
	左側髖部其他反應性關節病變
   M02859	Other reactive arthropathies, unspecified hip
	未特定側性髖部其他反應性關節病變
  M0286	Other reactive arthropathies, knee
	膝部其他反應性關節病變
   M02861	Other reactive arthropathies, right knee
	右側膝部其他反應性關節病變
   M02862	Other reactive arthropathies, left knee
	左側膝部其他反應性關節病變
   M02869	Other reactive arthropathies, unspecified knee
	未特定側性膝部其他反應性關節病變
  M0287	Other reactive arthropathies, ankle and foot
	踝部及足部其他反應性關節病變
   M02871	Other reactive arthropathies, right ankle and foot
	右側踝部及足部其他反應性關節病變
   M02872	Other reactive arthropathies, left ankle and foot
	左側踝部及足部其他反應性關節病變
   M02879	Other reactive arthropathies, unspecified ankle and foot
