E00	Congential iodine-deficiency syndrome
 E050	Thyrotoxicosis with diffuse goiter
	毒性瀰漫性甲狀腺腫
  E0500	Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
	毒性瀰漫性甲狀腺腫，未伴有甲狀腺毒性危象或風暴
  E0501	Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
	毒性瀰漫性甲狀腺腫，伴有甲狀腺毒性危象或風暴
 E051	Thyrotoxicosis with toxic single thyroid nodule
	毒性單一性甲狀腺結節
  E0510	Thyrotoxicosis with toxic single thyroid nodule without thyrotoxic crisis or storm
	毒性單一甲狀腺結節，未伴有甲狀腺毒性危象或風暴
  E0511	Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
	毒性單一甲狀腺結節，伴有甲狀腺毒性危象或風暴
 E052	Thyrotoxicosis with toxic multinodular goiter
	毒性多結節性甲狀腺腫
  E0520	Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
	毒性多結節性甲狀腺腫，未伴有甲狀腺毒性危象或風暴
  E0521	Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm
	毒性多結節性甲狀腺腫，伴有甲狀腺毒性危象或風暴
 E053	Thyrotoxicosis from ectopic thyroid tissue
	異位甲狀腺組織所致之甲狀腺毒症
  E0530	Thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm
	異位甲狀腺組織所致之甲狀腺毒症，未伴有甲狀腺毒性危象或風暴
  E0531	Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm
	異位甲狀腺組織所致之甲狀腺毒症，伴有甲狀腺毒性危象或風暴
 E054	Thyrotoxicosis factitia
	人造的甲狀腺毒症
  E0540	Thyrotoxicosis factitia without thyrotoxic crisis or storm
	人造的甲狀腺毒症，未伴有甲狀腺毒性危象或風暴
  E0541	Thyrotoxicosis factitia with thyrotoxic crisis or storm
	人造的甲狀腺毒症，伴有甲狀腺毒性危象或風暴
 E058	Other thyrotoxicosis
	其他病源所致之甲狀腺毒症
  E0580	Other thyrotoxicosis without thyrotoxic crisis or storm
	其他病源所致之甲狀腺毒症，未伴有甲狀腺毒性危象或風暴
  E0581	Other thyrotoxicosis with thyrotoxic crisis or storm
	其他病源所致之甲狀腺毒症，伴有甲狀腺毒性危象或風暴
 E059	Thyrotoxicosis, unspecified
	未特定之甲狀腺毒症
  E0590	Thyrotoxicosis, unspecified without thyrotoxic crisis or storm
	未特定之甲狀腺毒症，未伴有甲狀腺毒性危象或風暴
  E0591	Thyrotoxicosis, unspecified with thyrotoxic crisis or storm
	未特定之甲狀腺毒症，伴有甲狀腺毒性危象或風暴
E06	Thyroiditis
	甲狀腺炎
 E060	Acute thyroiditis
	急性甲狀腺炎
 E061	Subacute thyroiditis
	亞急性甲狀腺炎
 E062	Chronic thyroiditis with transient thyrotoxicosis
	慢性甲狀腺炎伴有短暫性甲狀腺毒症
 E063	Autoimmune thyroiditis
	自體免疫的甲狀腺炎
 E064	Drug-induced thyroiditis
	藥物導致之甲狀腺炎
 E065	Other chronic thyroiditis
	其他慢性甲狀腺炎
 E069	Thyroiditis, unspecified
	甲狀腺炎，未特定
E07	Other disorders of thyroid
	其他甲狀腺疾患
 E070	Hypersecretion of calcitonin
	抑鈣素分泌過度
 E071	Dyshormogenetic goiter
	賀爾蒙失調性甲狀腺腫
 E078	Other specified disorders of thyroid
	其他特定之甲狀腺疾患
  E0781	Sick-euthyroid syndrome
	正常的病態甲狀腺症候群
  E0789	Other specified disorders of thyroid
	其他特定的甲狀腺疾患
 E079	Disorder of thyroid, unspecified
	甲狀腺疾患，未特定
E08	Diabetes mellitus due to underlying condition
	起因於潛在病的糖尿病
 E080	Diabetes mellitus due to underlying condition with hyperosmolarity
	起因於潛在病的糖尿病，伴有高滲透壓
  E0800	Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	起因於潛在病的糖尿病，伴有高滲透壓，未伴有非酮病之高血糖-高滲透壓的昏迷
  E0801	Diabetes mellitus due to underlying condition with hyperosmolarity with coma
	起因於潛在病的糖尿病，伴有高滲透壓，伴有昏迷
 E081	Diabetes mellitus due to underlying condition with ketoacidosis
	起因於潛在病的糖尿病，伴有酮酸中毒
  E0810	Diabetes mellitus due to underlying condition with ketoacidosis without coma
	起因於潛在病的糖尿病，伴有酮酸中毒，未伴有昏迷
  E0811	Diabetes mellitus due to underlying condition with ketoacidosis with coma
	起因於潛在病的糖尿病，伴有酮酸中毒，伴有昏迷
 E082	Diabetes mellitus due to underlying condition with kidney complications
	起因於潛在病的糖尿病，伴有腎臟併發症
  E0821	Diabetes mellitus due to underlying condition with diabetic nephropathy
	起因於潛在病的糖尿病，伴有糖尿病的腎臟病變
  E0822	Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
	起因於潛在病的糖尿病，糖尿病的慢性腎臟疾病
  E0829	Diabetes mellitus due to underlying condition with other diabetic kidney complication
	起因於潛在病的糖尿病，伴有其他糖尿病的腎臟併發症
 E083	Diabetes mellitus due to underlying condition with ophthalmic complications
	起因於潛在病的糖尿病，伴有眼部併發症
  E0831	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy
	起因於潛在病的糖尿病，伴有糖尿病的視網膜病變
   E08311	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
	起因於潛在病的糖尿病，伴有糖尿病的視網膜病變，伴有黃斑部水腫
   E08319	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema
	起因於潛在病的糖尿病，伴有糖尿病的視網膜病變，未伴有黃斑部水腫
  E0832	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy
	起因於潛在病的糖尿病，伴有輕度糖尿病的非增殖型視網膜病變
   E08321	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema
	起因於潛在病的糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E08329	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
	起因於潛在病的糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E0833	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy
	起因於潛在病的糖尿病，伴有中度糖尿病的非增殖型視網膜病變
   E08331	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema
	起因於潛在病的糖尿病，伴有中度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E08339	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema
	起因於潛在病的糖尿病，伴有中度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E0834	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy
	起因於潛在病的糖尿病，伴有重度糖尿病的非增殖型視網膜病變
   E08341	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
	起因於潛在病的糖尿病，伴有重度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E08349	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema
	起因於潛在病的糖尿病，伴有重度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E0835	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy
	起因於潛在病的糖尿病，伴有糖尿病的增殖型視網膜病變
   E08351	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema
	起因於潛在病的糖尿病，伴有糖尿病的增殖型視網膜病變，伴有黃斑部水腫
   E08359	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema
	起因於潛在病的糖尿病，伴有糖尿病的增殖型視網膜病變，未伴有黃斑部水腫
  E0836	Diabetes mellitus due to underlying condition with diabetic cataract
	起因於潛在病的糖尿病，伴有糖尿病的白內障
  E0839	Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication
	起因於潛在病的糖尿病，伴有其他糖尿病的眼睛併發症
 E084	Diabetes mellitus due to underlying condition with neurological complications
	起因於潛在病的糖尿病，伴有神經併發症
  E0840	Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified
	起因於潛在病的糖尿病，伴有糖尿病的神經病變，未特定
  E0841	Diabetes mellitus due to underlying condition with diabetic mononeuropathy
	起因於潛在病的糖尿病，伴有糖尿病的單一神經病變
  E0842	Diabetes mellitus due to underlying condition with diabetic polyneuropathy
	起因於潛在病的糖尿病，伴有糖尿病的多發神經病變
  E0843	Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy
	起因於潛在病的糖尿病，伴有糖尿病的自主(多發)神經病變
  E0844	Diabetes mellitus due to underlying condition with diabetic amyotrophy
	起因於潛在病的糖尿病，糖尿病的肌肉萎縮
  E0849	Diabetes mellitus due to underlying condition with other diabetic neurological complication
	起因於潛在病的糖尿病，伴有其他糖尿病的神經併發症
 E085	Diabetes mellitus due to underlying condition with circulatory complications
	起因於潛在病的糖尿病，伴有循環併發症
  E0851	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
	起因於潛在病的糖尿病，伴有糖尿病的周邊血管病變，未伴有壞疽
  E0852	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
	起因於潛在病的糖尿病，伴有糖尿病的周邊血管病變，伴有壞疽
  E0859	Diabetes mellitus due to underlying condition with other circulatory complications
	起因於潛在病的糖尿病，伴有其他糖尿病的循環併發症
 E086	Diabetes mellitus due to underlying condition with other specified complications
	起因於潛在病的糖尿病，伴有其他特定併發症
  E0861	Diabetes mellitus due to underlying condition with diabetic arthropathy
	起因於潛在病的糖尿病，伴有其他糖尿病的關節病變
   E08610	Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy
	起因於潛在病的糖尿病，伴有糖尿病的神經病變引起之關節病變
   E08618	Diabetes mellitus due to underlying condition with other diabetic arthropathy
	起因於潛在病的糖尿病，伴有其他糖尿病的關節病變
  E0862	Diabetes mellitus due to underlying condition with skin complications
	起因於潛在病的糖尿病，伴有皮膚併發症
   E08620	Diabetes mellitus due to underlying condition with diabetic dermatitis
	起因於潛在病的糖尿病，伴有糖尿病性皮膚炎
   E08621	Diabetes mellitus due to underlying condition with foot ulcer
	起因於潛在病的糖尿病，伴有足部潰瘍
   E08622	Diabetes mellitus due to underlying condition with other skin ulcer
	起因於潛在病的糖尿病，伴有其他皮膚潰瘍
   E08628	Diabetes mellitus due to underlying condition with other skin complications
	起因於潛在病的糖尿病，伴有其他皮膚併發症
  E0863	Diabetes mellitus due to underlying condition with oral complications
	起因於潛在病的糖尿病，伴有口腔併發症
   E08630	Diabetes mellitus due to underlying condition with periodontal disease
	起因於潛在病的糖尿病，伴有牙周疾病
   E08638	Diabetes mellitus due to underlying condition with other oral complications
	起因於潛在病的糖尿病，伴有其他口腔併發症
  E0864	Diabetes mellitus due to underlying condition with hypoglycemia
	起因於潛在病的糖尿病，伴有低血糖
   E08641	Diabetes mellitus due to underlying condition with hypoglycemia with coma
	起因於潛在病的糖尿病，伴有低血糖，伴有昏迷
   E08649	Diabetes mellitus due to underlying condition with hypoglycemia without coma
	起因於潛在病的糖尿病，伴有低血糖，未伴有昏迷
  E0865	Diabetes mellitus due to underlying condition with hyperglycemia
	起因於潛在病的糖尿病，伴有高血糖
  E0869	Diabetes mellitus due to underlying condition with other specified complication
	起因於潛在病的糖尿病，伴有其他特定的併發症
 E088	Diabetes mellitus due to underlying condition with unspecified complications
	起因於潛在病的糖尿病，伴有未特定之併發症
 E089	Diabetes mellitus due to underlying condition without complications
	起因於潛在病的糖尿病，未伴有併發症
E09	Drug or chemical induced diabetes mellitus
	藥物或化學物導致之糖尿病
 E090	Drug or chemical induced diabetes mellitus with hyperosmolarity
	藥物或化學物導致之糖尿病，伴有高滲透壓
  E0900	Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	藥物或化學物導致之糖尿病，伴有高滲透壓，未伴有非酮病之高血糖-高滲透壓的昏迷
  E0901	Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
	藥物或化學物導致之糖尿病，伴有高滲透壓，伴有昏迷
 E091	Drug or chemical induced diabetes mellitus with ketoacidosis
	藥物或化學物導致之糖尿病，伴有酮酸中毒
  E0910	Drug or chemical induced diabetes mellitus with ketoacidosis without coma
	藥物或化學物導致之糖尿病，伴有酮酸中毒，未伴有昏迷
  E0911	Drug or chemical induced diabetes mellitus with ketoacidosis with coma
	藥物或化學物導致之糖尿病，伴有酮酸中毒，伴有昏迷
 E092	Drug or chemical induced diabetes mellitus with kidney complications
	藥物或化學物導致之糖尿病，伴有腎臟併發症
  E0921	Drug or chemical induced diabetes mellitus with diabetic nephropathy
	藥物或化學物導致之糖尿病，伴有糖尿病的腎臟病變
  E0922	Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
	藥物或化學物導致之糖尿病，糖尿病的慢性腎臟疾病
  E0929	Drug or chemical induced diabetes mellitus with other diabetic kidney complication
	藥物或化學物導致之糖尿病，伴有其他糖尿病的腎臟併發症
 E093	Drug or chemical induced diabetes mellitus with ophthalmic complications
	藥物或化學物導致之糖尿病，伴有眼部併發症
  E0931	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy
	藥物或化學物導致之糖尿病，伴有未明示糖尿病的視網膜病變
   E09311	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema
	藥物或化學物導致之糖尿病，伴有糖尿病的視網膜病變，伴有黃斑部水腫
   E09319	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema
	藥物或化學物導致之糖尿病，伴有糖尿病的視網膜病變，未伴有黃斑部水腫
  E0932	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy
	藥物或化學物導致之糖尿病，伴有輕度糖尿病的非增殖型視網膜病變
   E09321	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	藥物或化學物導致之糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E09329	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	藥物或化學物導致之糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E0933	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy
	藥物或化學物導致之糖尿病，伴有中度糖尿病的非增殖型視網膜病變
   E09331	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	藥物或化學物導致之糖尿病，伴有中度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E09339	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	藥物或化學物導致之糖尿病，伴有中度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E0934	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy
	藥物或化學物導致之糖尿病，伴有重度糖尿病的非增殖型視網膜病變
   E09341	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	藥物或化學物導致之糖尿病，伴有重度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E09349	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	藥物或化學物導致之糖尿病，伴有重度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E0935	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy
	藥物或化學物導致之糖尿病，伴有糖尿病的增殖型視網膜病變
   E09351	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema
	藥物或化學物導致之糖尿病，伴有糖尿病的增殖型視網膜病變，伴有黃斑部水腫
   E09359	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema
	藥物或化學物導致之糖尿病，伴有糖尿病的增殖型視網膜病變，未伴有黃斑部水腫
  E0936	Drug or chemical induced diabetes mellitus with diabetic cataract
	藥物或化學物導致之糖尿病，伴有糖尿病的白內障
  E0939	Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication
	藥物或化學物導致之糖尿病，伴有其他糖尿病的眼睛併發症
 E094	Drug or chemical induced diabetes mellitus with neurological complications
	藥物或化學物導致之糖尿病，伴有神經併發症
  E0940	Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified
	藥物或化學物導致之糖尿病，伴有糖尿病的神經病變，未特定
  E0941	Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy
	藥物或化學物導致之糖尿病，伴有糖尿病的單一神經病變
  E0942	Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy
	藥物或化學物導致之糖尿病，伴有糖尿病的多發神經病變
  E0943	Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy
	藥物或化學物導致之糖尿病，伴有糖尿病的自主(多發)神經病變
  E0944	Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy
	藥物或化學物導致之糖尿病，糖尿病的肌肉萎縮
  E0949	Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication
	藥物或化學物導致之糖尿病，伴有其他糖尿病的神經併發症
 E095	Drug or chemical induced diabetes mellitus with circulatory complications
	藥物或化學物導致之糖尿病，伴有循環併發症
  E0951	Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene
	藥物或化學物導致之糖尿病，伴有糖尿病的周邊血管病變，未伴有壞疽
  E0952	Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene
	藥物或化學物導致之糖尿病，伴有糖尿病的周邊血管病變，伴有壞疽
  E0959	Drug or chemical induced diabetes mellitus with other circulatory complications
	藥物或化學物導致之糖尿病，伴有其他糖尿病的循環併發症
 E096	Drug or chemical induced diabetes mellitus with other specified complications
	藥物或化學物導致之糖尿病，伴有其他特定併發症
  E0961	Drug or chemical induced diabetes mellitus with diabetic arthropathy
	藥物或化學物導致之糖尿病，伴有其他糖尿病的關節病變
   E09610	Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
	藥物或化學物導致之糖尿病，伴有糖尿病的神經病變導致之關節病變
   E09618	Drug or chemical induced diabetes mellitus with other diabetic arthropathy
	藥物或化學物導致之糖尿病，伴有其他糖尿病的關節病變
  E0962	Drug or chemical induced diabetes mellitus with skin complications
	藥物或化學物導致之糖尿病，伴有皮膚併發症
   E09620	Drug or chemical induced diabetes mellitus with diabetic dermatitis
	藥物或化學物導致之糖尿病，伴有糖尿病性皮膚炎
   E09621	Drug or chemical induced diabetes mellitus with foot ulcer
	藥物或化學物導致之糖尿病，伴有足部潰瘍
   E09622	Drug or chemical induced diabetes mellitus with other skin ulcer
	藥物或化學物導致之糖尿病，伴有其他皮膚潰瘍
   E09628	Drug or chemical induced diabetes mellitus with other skin complications
	藥物或化學物導致之糖尿病，伴有其他皮膚併發症
  E0963	Drug or chemical induced diabetes mellitus with oral complications
	藥物或化學物導致之糖尿病，伴有口腔併發症
   E09630	Drug or chemical induced diabetes mellitus with periodontal disease
	藥物或化學物導致之糖尿病，伴有牙周疾病
   E09638	Drug or chemical induced diabetes mellitus with other oral complications
	藥物或化學物導致之糖尿病，伴有其他口腔併發症
  E0964	Drug or chemical induced diabetes mellitus with hypoglycemia
	藥物或化學物導致之糖尿病，伴有低血糖
   E09641	Drug or chemical induced diabetes mellitus with hypoglycemia with coma
	藥物或化學物導致之糖尿病，伴有低血糖，伴有昏迷
   E09649	Drug or chemical induced diabetes mellitus with hypoglycemia without coma
	藥物或化學物導致之糖尿病，伴有低血糖，未伴有昏迷
  E0965	Drug or chemical induced diabetes mellitus with hyperglycemia
	藥物或化學物導致之糖尿病，伴有高血糖
  E0969	Drug or chemical induced diabetes mellitus with other specified complication
	藥物或化學物導致之糖尿病，伴有其他特定的併發症
 E098	Drug or chemical induced diabetes mellitus with unspecified complications
	藥物或化學物導致之糖尿病，伴有未特定之併發症
 E099	Drug or chemical induced diabetes mellitus without complications
	藥物或化學物導致之糖尿病，未伴有併發症
E10	Type 1 diabetes mellitus
	第1型糖尿病
 E101	Type 1 diabetes mellitus with ketoacidosis
	第1型糖尿病，伴有酮酸中毒
  E1010	Type 1 diabetes mellitus with ketoacidosis without coma
	第1型糖尿病，伴有酮酸中毒，未伴有昏迷
  E1011	Type 1 diabetes mellitus with ketoacidosis with coma
	第1型糖尿病，伴有酮酸中毒，伴有昏迷
 E102	Type 1 diabetes mellitus with kidney complications
	第1型糖尿病，伴有腎臟併發症
  E1021	Type 1 diabetes mellitus with diabetic nephropathy
	第1型糖尿病，伴有糖尿病的腎臟病變
  E1022	Type 1 diabetes mellitus with diabetic chronic kidney disease
	第1型糖尿病，糖尿病的慢性腎臟疾病
  E1029	Type 1 diabetes mellitus with other diabetic kidney complication
	第1型糖尿病，伴有其他糖尿病的腎臟併發症
 E103	Type 1 diabetes mellitus with ophthalmic
	第1型糖尿病，伴有眼部併發症
  E1031	Type 1 diabetes mellitus with unspecified diabetic retinopathy
	第1型糖尿病，伴有未明示糖尿病的視網膜病變
   E10311	Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
	第1型糖尿病，伴有糖尿病的視網膜病變，伴有黃斑部水腫
   E10319	Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema
	第1型糖尿病，伴有糖尿病的視網膜病變，未伴有黃斑部水腫
  E1032	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy
	第1型糖尿病，伴有輕度糖尿病的非增殖型視網膜病變
   E10321	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	第1型糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E10329	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	第1型糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1033	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy
	第1型糖尿病，伴有中度糖尿病的非增殖型視網膜病變
   E10331	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	第1型糖尿病，伴有中度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E10339	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	第1型糖尿病，伴有中度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1034	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy
	第1型糖尿病，伴有重度糖尿病的非增殖型視網膜病變
   E10341	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	第1型糖尿病，伴有重度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E10349	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	第1型糖尿病，伴有重度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1035	Type 1 diabetes mellitus with proliferative diabetic retinopathy
	第1型糖尿病，伴有糖尿病的增殖型視網膜病變
   E10351	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema
	第1型糖尿病，伴有糖尿病的增殖型視網膜病變，伴有黃斑部水腫
   E10359	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
	第1型糖尿病，伴有糖尿病的增殖型視網膜病變，未伴有黃斑部水腫
  E1036	Type 1 diabetes mellitus with diabetic cataract
	第1型糖尿病，伴有糖尿病的白內障
  E1039	Type 1 diabetes mellitus with other diabetic ophthalmic complication
	第1型糖尿病，伴有其他糖尿病的眼睛併發症
 E104	Type 1 diabetes mellitus with neurological complications
	第1型糖尿病，伴有神經併發症
  E1040	Type 1 diabetes mellitus with diabetic neuropathy, unspecified
	第1型糖尿病，伴有糖尿病的神經病變，未特定
  E1041	Type 1 diabetes mellitus with diabetic mononeuropathy
	第1型糖尿病，伴有糖尿病的單一神經病變
  E1042	Type 1 diabetes mellitus with diabetic polyneuropathy
	第1型糖尿病，伴有糖尿病的多發神經病變
  E1043	Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
	第1型糖尿病，伴有糖尿病的自主(多發)神經病變
  E1044	Type 1 diabetes mellitus with diabetic amyotrophy
	第1型糖尿病，糖尿病的肌肉萎縮
  E1049	Type 1 diabetes mellitus with other diabetic neurological complication
	第1型糖尿病，伴有其他糖尿病的神經併發症
 E105	Type 1 diabetes mellitus with circulatory complications
	第1型糖尿病，伴有循環併發症
  E1051	Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
	第1型糖尿病，伴有糖尿病的周邊血管病變，未伴有壞疽
  E1052	Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
	第1型糖尿病，伴有糖尿病的周邊血管病變，伴有壞疽
  E1059	Type 1 diabetes mellitus with other circulatory complications
	第1型糖尿病，伴有其他糖尿病的循環併發症
 E106	Type 1 diabetes mellitus with other specified complications
	第1型糖尿病，伴有其他特定併發症
  E1061	Type 1 diabetes mellitus with diabetic arthropathy
	第1型糖尿病，伴有其他糖尿病的關節病變
   E10610	Type 1 diabetes mellitus with diabetic neuropathic arthropathy
	第1型糖尿病，伴有糖尿病的神經病變引起之關節病變
   E10618	Type 1 diabetes mellitus with other diabetic arthropathy
	第1型糖尿病，伴有其他糖尿病的關節病變
  E1062	Type 1 diabetes mellitus with skin complications
	第1型糖尿病，伴有皮膚併發症
   E10620	Type 1 diabetes mellitus with diabetic dermatitis
	第1型糖尿病，伴有糖尿病性皮膚炎
   E10621	Type 1 diabetes mellitus with foot ulcer
	第1型糖尿病，伴有足部潰瘍
   E10622	Type 1 diabetes mellitus with other skin ulcer
	第1型糖尿病，伴有其他皮膚潰瘍
